Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
ST and SC Development Deptt||ITDA Gunupur,2025_STSCD_113765_18,ITDAGNP-03/2024-25,Construction of Multi purpose Community cum Cultural centres (MPCC) at Buduni under Bissamcuttack Block,1.0,2951518.0,RAGHUNATH KONDAGORI,INR,"2,051,600.33",1,2952199,BASUDEB DAS,05-Jun-2025 11:58 AM,Rejected-Finance,Not Sucess in the Lottery Process,09-Jan-2026 05:57 PM,09-Jan-2026,"INR 2,051,600.33",180.0,Ajaya Kumar Pradhan,09-Jan-2026 05:59 PM,1650.pdf (411.00 KB),"PA,ITDA, AEE,ITDA, Gunupur",Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,09-Jan-2026 05:57 PM,finsummary_540925.pdf (795.02 KB),Technical,Technicla Evalation,Ajaya Kumar Pradhan,07-Jul-2025 05:44 PM,technical_540925.pdf,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, SERWD,Gunupur",Ajaya Kumar Pradhan,07-Jul-2025 05:47 PM,08-Jul-2025 11:00 AM,techsummary_540925.pdf (152.84 KB),Finance,technical evalation,Ajaya Kumar Pradhan,09-Jan-2026 05:54 PM,finance_540925.pdf,BOQ Comparative Chart,AOC,"Projrct Administrator, ITDA, Gunupur","Projrct Administrator, ITDA, Gunupur",1,Fee/PreQual/Technical,.pdf,"Papercost,EMD.Contractorlicense, Affidavit, PAN, GSTIN and other document as per DTCN",1,ICICI BANK,"6,000",0.0,Nil,Nil,No,ST and SC Development Deptt||ITDA Gunupur,ITDAGNP-03/2024-25,2025_STSCD_113765_18,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Multi purpose Community cum Cultural centres (MPCC) at Buduni under Bissamcuttack Block,Building work,Please refer Tender documents. ,NA ,"22,05,785",Civil Works - Buildings,NA ,Tender,90.0,180.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Project Administrator, ITDA, Gunupur",No ,No,23-May-2025 11:30 AM,06-Jun-2025 11:00 AM,23-May-2025 11:30 AM,05-Jun-2025 05:00 PM,23-May-2025 11:30 AM ,05-Jun-2025 05:00 PM ,23-May-2025 11:30 AM,05-Jun-2025 05:00 PM,08-Jul-2025 11:00 AM,"22,058",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,2,2951518,RAGHUNATH KONDAGORI,04-Jun-2025 05:42 PM,Accepted-AOC,Awarded to Lowest 1,09-Jan-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,Finance,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
