Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Finance,"5Nos Bidder are participate, Tender Under Scrutiny.",Somanath Tripathy,13-Sep-2025 01:50 PM,finance_551396.pdf,BOQ Comparative Chart,1.0,3076735.0,KK SERVICE,INR,"347,787",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2025_EICCL_117661_2,SE RandB Divn No.I-BAM-04/2025-26,Provision of annual comprehensive maintenance contract of fire-fighting alarm system at Drug De-Addiction Centre Berhampur.,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,15-Jan-2026 11:50 AM,finsummary_551396.pdf (1691.70 KB),"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,15-Jan-2026 11:38 AM,techsummary_551396.pdf (1691.70 KB),15-Jan-2026,"INR 347,787",365.0,Somanath Tripathy,15-Jan-2026 11:53 AM,645.pdf (1692.00 KB),Contract Awarded to Sri/Smt K K Service,1,3076735,KK SERVICE,11-Sep-2025 06:01 PM,Accepted-AOC,Win in Lottery,15-Jan-2026 11:53 AM,AOC,04-Sep-2025 06:55 PM,13-Sep-2025 11:30 AM,04-Sep-2025 06:55 PM,12-Sep-2025 04:00 PM,04-Sep-2025 06:55 PM ,12-Sep-2025 04:00 PM ,04-Sep-2025 06:55 PM,12-Sep-2025 04:00 PM,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE RandB Divn No.I-BAM-04/2025-26,2025_EICCL_117661_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Provision of annual comprehensive maintenance contract of fire-fighting alarm system at Drug De-Addiction Centre Berhampur.,Provision of annual comprehensive maintenance contract of fire-fighting alarm system at Drug De-Addiction Centre Berhampur.,Please refer Tender documents. ,NA ,"4,09,113",Electrical Works,NA ,Tender,90.0,365.0,Berhampur,760005.0,NA ,NA ,NA ,SE R and B Division No I Berhampur,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.","4,100",Yes,fixed,,Nil,Nil,1.0,"DTCN, Modification",Other,,"2,000",0.0,Nil,Nil,No,SE R and B Division No I Berhampur,SE R and B Division No I Berhampur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3076781,M/S FIRESTOP SALES AND SERVICES,12-Sep-2025 12:08 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 11:38 AM,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3072755,M/S OM CONSTRUCTION,10-Sep-2025 06:52 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 11:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3076785,S R INDUSTRIES,11-Sep-2025 06:24 PM,Rejected-AOC,Reject in Lottery,15-Jan-2026 11:53 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3076982,TRANSTECH SOLUTION,12-Sep-2025 02:03 AM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 11:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
