Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Tender Stage
Finance,"7Nos Bidder are participate, Tender Under Scrutiny.",Somanath Tripathy,13-Sep-2025 01:45 PM,finance_551395.pdf,BOQ Comparative Chart,1.0,3076777.0,S R INDUSTRIES,INR,"2,181,172",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2025_EICCL_117661_1,SE RandB Divn No.I-BAM-04/2025-26,Provision of annual comprehensive maintenance contract of fire-fighting alarm system at DHH City Hospital Berhampur.,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,12-Jan-2026 12:01 PM,finsummary_551395.pdf (2063.97 KB),"Superintending Engineer Ganjam (R and B) Division No.I, Berhampurx",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,12-Jan-2026 11:57 AM,techsummary_551395.pdf (2063.97 KB),1,3076715,KK SERVICE,11-Sep-2025 05:56 PM,Rejected-AOC,Reject in Lottery,12-Jan-2026 12:05 PM,12-Jan-2026,"INR 2,181,172",365.0,Somanath Tripathy,12-Jan-2026 12:05 PM,644.pdf (2064.00 KB),"Contract awarded to Sri/Smt S/R Industries, Electrical Contractor",AOC,1.0,"DTCN, Modification",Other,,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE RandB Divn No.I-BAM-04/2025-26,2025_EICCL_117661_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"25,700",Yes,fixed,,Nil,Nil,SE R and B Division No I Berhampur,SE R and B Division No I Berhampur,Provision of annual comprehensive maintenance contract of fire-fighting alarm system at DHH City Hospital Berhampur.,Provision of annual comprehensive maintenance contract of fire-fighting alarm system at DHH City Hospital Berhampur.,Please refer Tender documents. ,NA ,"25,65,783",Electrical Works,NA ,Tender,90.0,365.0,Berhampur,760005.0,NA ,NA ,NA ,SE R and B Division No I Berhampur,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.",04-Sep-2025 06:55 PM,13-Sep-2025 11:30 AM,04-Sep-2025 06:55 PM,12-Sep-2025 04:00 PM,04-Sep-2025 06:55 PM ,12-Sep-2025 04:00 PM ,04-Sep-2025 06:55 PM,12-Sep-2025 04:00 PM,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3076774,M/S FIRESTOP SALES AND SERVICES,12-Sep-2025 12:02 PM,Rejected-Technical,Rejected due to not submit proper authorization,12-Jan-2026 11:57 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3072752,M/S OM CONSTRUCTION,10-Sep-2025 06:50 PM,Rejected-Technical,Rejected due to not submit proper authorization,12-Jan-2026 11:57 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3076777,S R INDUSTRIES,11-Sep-2025 06:20 PM,Accepted-AOC,Win in Lottery,12-Jan-2026 12:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3077287,TOSHALI INDUSTRIES PRIVATE LIMITED,12-Sep-2025 12:11 PM,Rejected-Technical,Rejected due to not submit proper authorization,12-Jan-2026 11:57 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3076912,TRANSTECH SOLUTION,11-Sep-2025 08:57 PM,Rejected-Technical,Rejected due to not submit proper authorization,12-Jan-2026 11:57 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3076111,UMAFIRE SERVICES PVT. LTD,11-Sep-2025 01:41 PM,Rejected-Technical,Rejected due to not submit proper authorization,12-Jan-2026 11:57 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
