EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"17,900",Yes,fixed,,Nil,Nil,"Maintenance and renovation of conference hall and office of the Superintending Engineer, Earth Dam Division, Chitrakonda for the year 2025-26.","Ceiling work,double skill wall penalling,Brick work,12mm CP,Supply MS Pipe and GCI sheet.",Please refer Tender documents. ,NA ,"17,83,220",Civil Works - Others,NA ,Tender,90.0,90.0,Main Admn building Chitrakonda.,764052.0,NA ,NA ,NA ,"O/O SE, Chitrakonda.",No ,No,"Superintending Engineer, EDD,CKD","O/o. Superintending Engineer, Earth Dam Division, Chitrakonda,Dist. Malkangiri.","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,20-Dec-2025 10:00 AM,31-Dec-2025 10:30 AM,20-Dec-2025 10:00 AM,30-Dec-2025 05:00 PM,20-Dec-2025 10:00 AM ,29-Dec-2025 05:00 PM ,20-Dec-2025 10:00 AM,30-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD, ,Contractor RC, GSTIN, PAN, Affidavit, NRC, and any other documents as per DTCN.","CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Potteru Canal Divn-III,MV79,Bhubanapali",SE-EDD-CKD-02/2025-26.,2025_CCEBA_123496_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Er.Sanoj Sahu,Internal,Er.A.K.Hembram and Sri Vijayasingh Meena,SANOJ SAHU,16-Jan-2026 07:28 PM,finsummary_572532.pdf (242.53 KB),Er.Sanoj Sahu,Internal,Er.A.K.Hembram and Vijayasingh Meena.,SANOJ SAHU,16-Jan-2026 02:13 PM,techsummary_572532.pdf (242.53 KB),16-Jan-2026,"INR 1,515,915",90.0,SANOJ SAHU,17-Jan-2026 01:36 PM,AOC02.pdf (682.00 KB),"The work has awarded to Sri Rabin Mandal, Contractor vide this office Agreement No. 45P1/25-26.",1,3338578,BIBEK KUMAR DEURI,29-Dec-2025 09:26 PM,Rejected-Finance,Unsuccessful in transparent lottery,16-Jan-2026 07:28 PM,1.0,3327355.0,RABIN MANDAL,INR,"1,515,915","CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Potteru Canal Divn-III,MV79,Bhubanapali",2025_CCEBA_123496_12,SE-EDD-CKD-02/2025-26.,"Maintenance and renovation of conference hall and office of the Superintending Engineer, Earth Dam Division, Chitrakonda for the year 2025-26.",Finance,The tender has opened on 08.01.2026,SANOJ SAHU,16-Jan-2026 01:19 PM,finance_572532.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Bill of Quantity.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,3331214,BIBHUDATTA PATRA,27-Dec-2025 12:03 PM,Rejected-Finance,Unsuccessful in transparent lottery,16-Jan-2026 07:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3338501,BIKRAM MONDAL,29-Dec-2025 08:30 PM,Rejected-Finance,Unsuccessful in transparent lottery,16-Jan-2026 07:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3338050,CHAMELI BISWAS,29-Dec-2025 09:03 PM,Rejected-Finance,Unsuccessful in transparent lottery,16-Jan-2026 07:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,3338509,KANCHAN DEURI,30-Dec-2025 09:27 AM,Rejected-Finance,Unsuccessful in transparent lottery,16-Jan-2026 07:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,3327355,RABIN MANDAL,25-Dec-2025 12:27 PM,Accepted-AOC,"The work has awarded to Sri Rabin Mandal, Contractor vide this office Agreement No. 45P1/25-26.",17-Jan-2026 01:36 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,3330784,RADHAKANTA MANDAL,26-Dec-2025 08:52 PM,Rejected-Finance,Unsuccessful in transparent lottery,16-Jan-2026 07:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,3327762,Rahel Dev Mondal,25-Dec-2025 03:07 PM,Rejected-Finance,Unsuccessful in transparent lottery,16-Jan-2026 07:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,3325454,rajendra kumar siya,24-Dec-2025 11:32 AM,Rejected-Finance,Unsuccessful in transparent lottery,16-Jan-2026 07:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,3336418,Ram Prasad Bhadra,29-Dec-2025 05:18 PM,Rejected-Finance,Unsuccessful in transparent lottery,16-Jan-2026 07:28 PM,,,,,,,,,,,,,,,,AOC
