Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,2 Nos. of bidders have participated.,Sanjay Kumar Mohanty,25-Oct-2025 06:30 PM,,BOQ Comparative Chart,Municipal Bodies||Balangir Municipality,2025_ORULB_118958_31,BLGRMPTY/08(01-41)/2025-26,"Constrction of Road and Drain with Cover Slab from Bhagabata mandap to Maheswar Sahu res,W.No.10",1.0,3127315.0,SIDDHESWAR PADHI,INR,"1,271,017.69",1,3127391,ANANDINI MISHRA,14-Oct-2025 12:06 PM,Rejected-Finance,other then L1 Bidder,09-Jan-2026 12:54 PM,13-Jan-2026,"INR 1,271,017.69",90.0,Sanjay Kumar Mohanty,13-Jan-2026 11:20 AM,WO0820252631.pdf (120.00 KB),"After approval of the tender Committee, the contractor Sri Sidheswar Padhi is awarded the above work.","SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Sanjay Kumar Mohanty,09-Jan-2026 12:41 PM,techsummary_554739.pdf (445.35 KB),"SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Sanjay Kumar Mohanty,09-Jan-2026 12:54 PM,finsummary_554739.pdf (192.86 KB),AOC,"12,723",Yes,percentage,1.0%,Nil,Nil,06-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,06-Oct-2025 11:00 AM,18-Oct-2025 05:00 PM,NA ,NA ,06-Oct-2025 11:00 AM,18-Oct-2025 05:00 PM,"Constrction of Road and Drain with Cover Slab from Bhagabata mandap to Maheswar Sahu res,W.No.10",Road and Drain Work,Please refer tender Documents  ,NA ,"12,72,290",Civil Works - Roads,NA ,Tender,120.0,90.0,Balangir,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,1,ICICI BANK,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Balangir Municipality,BLGRMPTY/08(01-41)/2025-26,2025_ORULB_118958_31,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",AOC
,,,,,,,,,,,,,,,2,3127315,SIDDHESWAR PADHI,14-Oct-2025 11:39 AM,Accepted-AOC,L1,13-Jan-2026 11:20 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",,,AOC
