S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"online proof copy of tender cost, EMD, GSTIN,PAN,RC, Affidavit etc.",SE RW Divn Sambaplpur,SE RW Divn Sambaplpur,"35,290",Yes,percentage,1.0%,Nil,Nil,AMP OF Basupali Laumal road for t he year 25-26,AMP OF Basupali Laumal road for t he year 25-26,Please refer Tender documents. ,NA ,"35,29,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Sambalpur,768001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SAMBALPUR",No ,No,"6,000",0.0,Nil,Nil,No,20-Oct-2025 02:00 PM,28-Oct-2025 10:00 AM,20-Oct-2025 02:00 PM,27-Oct-2025 05:00 PM,20-Oct-2025 02:00 PM ,26-Oct-2025 02:00 PM ,20-Oct-2025 02:00 PM,27-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-SAMBALPUR,Tenderonline SBPR 04 OF 25-26,2025_CERWI_119628_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,SE,Internal,DAOAE,Ashirbad Panda,09-Jan-2026 11:09 AM,techsummary_557231.pdf (193.30 KB),SE,Internal,DAOAE,Ashirbad Panda,09-Jan-2026 11:11 AM,finsummary_557231.pdf (193.30 KB),Finance,all 10 nos,Ashirbad Panda,28-Oct-2025 12:37 PM,finance_557231.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-SAMBALPUR,2025_CERWI_119628_39,Tenderonline SBPR 04 OF 25-26,AMP OF Basupali Laumal road for t he year 25-26,1.0,3147154.0,KASTURI PRADHAN,INR,"3,000,335",1,3156111,ABHILASH SAMAL,26-Mar-2025 10:07 AM,Rejected-Technical,ok,09-Jan-2026 11:09 AM,09-Jan-2026,"INR 3,000,335",60.0,Ashirbad Panda,09-Jan-2026 11:23 AM,BasupaliLaumal.pdf (755.00 KB),aoc,AOC
2.0,ICICI NEFT/RTGS,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3140491,ARUN KUMAR BHATTACHARYA,21-Oct-2025 05:40 PM,Rejected-Technical,ok,09-Jan-2026 11:09 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3153838,BADRINATH BHOI,26-Oct-2025 12:27 PM,Rejected-Technical,ok,09-Jan-2026 11:09 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3145536,GURSIMRAN SALUJA,24-Oct-2025 05:39 PM,Rejected-Technical,ok,09-Jan-2026 11:09 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3147154,KASTURI PRADHAN,23-Oct-2025 10:22 PM,Accepted-AOC,Selected through transparent lottery,09-Jan-2026 11:23 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3149655,NABIN KUMAR MISHRA,26-Oct-2025 02:56 PM,Rejected-Technical,ok,09-Jan-2026 11:09 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3140689,NEHA BHATTACHARYA,21-Oct-2025 06:46 PM,Rejected-Technical,ok,09-Jan-2026 11:09 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3141396,PRATIK CONSTRUCTION,21-Oct-2025 10:49 PM,Rejected-Technical,ok,09-Jan-2026 11:09 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3158512,PUJARANI SAMAL,27-Oct-2025 01:23 PM,Rejected-Technical,ok,09-Jan-2026 11:09 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3156546,Shree Salasar Enterprise,26-Oct-2025 11:01 PM,Rejected-Technical,ok,09-Jan-2026 11:09 AM,,,,,,,,AOC
