Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-DEOGARH,SERWDGH-Online-03 of 2025-26,2025_CERWI_119448_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"3,390",Yes,percentage,1.0%,Nil,Nil,15-Oct-2025 10:00 AM,23-Oct-2025 11:00 AM,15-Oct-2025 10:00 AM,22-Oct-2025 05:00 PM,15-Oct-2025 10:00 AM ,21-Oct-2025 05:00 PM ,15-Oct-2025 10:00 AM,22-Oct-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,TCN,1.0,ICICI BANK,Repair and maintenance of RI Office-cum-Residential Building at Barkote.,Building,Please refer Tender documents. ,NA ,"3,38,988",Civil Works - Buildings,NA ,Tender,90.0,30.0,Deogarh,768119.0,NA ,NA ,NA ,O/o the SE RW Division Deogarh,No ,No,SE RW Division Deogarh,O/o the SE RW Division Deogarh,"2,000",0.0,Nil,Nil,No,AOC,SE,Internal,,Subash Chandra Besra,18-Jan-2026 06:29 PM,techsummary_556060.pdf (152.08 KB),SE,Internal,,Subash Chandra Besra,18-Jan-2026 06:37 PM,finsummary_556060.pdf (143.56 KB),Finance,All are admitted,Subash Chandra Besra,24-Oct-2025 05:15 PM,,BOQ Comparative Chart,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-DEOGARH,2025_CERWI_119448_13,SERWDGH-Online-03 of 2025-26,Repair and maintenance of RI Office-cum-Residential Building at Barkote.,1.0,3143170.0,JUDHISTIR KISAN,INR,"288,174",1,3138304,AKASH KUMAR PRADHAN,20-Oct-2025 02:52 PM,Rejected-AOC,Loss the lottery,18-Jan-2026 06:42 PM,18-Jan-2026,"INR 288,174",30.0,Subash Chandra Besra,18-Jan-2026 06:42 PM,agt.pdf (144.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3140855,BHAGABANA PRADHAN,21-Oct-2025 07:35 PM,Rejected-AOC,Loss the lottery,18-Jan-2026 06:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3143029,BISMITA BISWAL,22-Oct-2025 03:12 PM,Rejected-AOC,Loss the lottery,18-Jan-2026 06:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3131937,DHARITRI NAYAK,19-Oct-2025 11:46 AM,Rejected-AOC,Loss the lottery,18-Jan-2026 06:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3140163,DHIREN DHAL,21-Oct-2025 04:03 PM,Rejected-AOC,Loss the lottery,18-Jan-2026 06:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3140389,DHIREN KUMAR DEO,21-Oct-2025 05:07 PM,Rejected-AOC,Loss the lottery,18-Jan-2026 06:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3135948,DJ CONSTRUCTIONS,19-Oct-2025 03:38 PM,Rejected-AOC,Loss the lottery,18-Jan-2026 06:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3142123,HIMANSHU SEKHAR APAT,22-Oct-2025 12:01 PM,Rejected-AOC,Loss the lottery,18-Jan-2026 06:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3139807,ITISHREE RAUT,21-Oct-2025 02:11 PM,Rejected-AOC,Loss the lottery,18-Jan-2026 06:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3143170,JUDHISTIR KISAN,22-Oct-2025 04:31 PM,Accepted-AOC,Drawn the agreement,18-Jan-2026 06:42 PM,,,,,,,AOC
