Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,2025_OLIC_121475_8,EE/OLIC/BGH-05/2025-26,"Execution of work for Power supply, Installation of pump sets and energisation of Padampur-III Package L.I. Project in Padampur and Gaisilat Block in Bargarh District.",1.0,3248305.0,SOUBHAGYA CHANDRA SAHU,INR,"13,023,883.09",S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,11-Dec-2025 05:26 PM,12-Dec-2025 11:00 AM,techsummary_565325.pdf (468.48 KB),S N Tripathy,Internal,"S ROUT, R C BESHRA",Surya Narayan Tripathy,10-Jan-2026 11:19 AM,finsummary_565325.pdf (488.13 KB),10-Jan-2026,"INR 13,023,883.09",90.0,Surya Narayan Tripathy,10-Jan-2026 05:21 PM,Pkg_VIII.pdf (3038.00 KB),Awarded,Finance,Open Financial Bid,SRIKANTA ROUT,12-Dec-2025 01:00 PM,finance_565325.pdf,BOQ Comparative Chart,1,3256895,ANANTA SAHU,26-Nov-2025 12:59 PM,Rejected-Finance,Unsuccessful bidder,10-Jan-2026 11:19 AM,Technical,Open Technical bid,SRIKANTA ROUT,29-Nov-2025 04:13 PM,technical_565325.pdf,AOC,"Execution of work for Power supply, Installation of pump sets and energisation of Padampur-III Package L.I. Project in Padampur and Gaisilat Block in Bargarh District.",Irrigation work,Please refer Tender documents. ,NA ,"1,53,20,413",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I. Division, Bargarh",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, GST Registration Certificate, PAN, Contractor RC Affidavit, undertaking and as per DTCN",19-Nov-2025 10:00 AM,29-Nov-2025 11:00 AM,19-Nov-2025 10:00 AM,28-Nov-2025 05:00 PM,19-Nov-2025 10:00 AM ,27-Nov-2025 05:00 PM ,19-Nov-2025 10:00 AM,28-Nov-2025 05:00 PM,12-Dec-2025 11:00 AM,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,"1,53,204",Yes,percentage,1.0%,Nil,Nil,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,EE/OLIC/BGH-05/2025-26,2025_OLIC_121475_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, L.I. Division, Bargarh","O/o the Executive Engineer, L.I. Division, Bargarh",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3256090,ANURAG BHOI,28-Nov-2025 07:29 AM,Rejected-Finance,Unsuccessful bidder,10-Jan-2026 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3262485,BALDEV PANDA,28-Nov-2025 01:49 PM,Rejected-Finance,Unsuccessful bidder,10-Jan-2026 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3255193,BIBHUTI PADHAN,28-Nov-2025 06:46 AM,Rejected-Finance,Unsuccessful bidder,10-Jan-2026 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3255059,BISWAJIT DAS,26-Nov-2025 01:50 PM,Rejected-Finance,Unsuccessful bidder,10-Jan-2026 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3255980,Bolli Shyam Babu,28-Nov-2025 02:52 PM,Rejected-Finance,Unsuccessful bidder,10-Jan-2026 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3260214,HARISH PADHAN,27-Nov-2025 02:28 PM,Rejected-Finance,Unsuccessful bidder,10-Jan-2026 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3261378,HAWAMA MEMON,28-Nov-2025 09:45 AM,Rejected-Finance,Unsuccessful bidder,10-Jan-2026 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3255041,JYOTSNA BHOI,26-Nov-2025 06:27 AM,Rejected-Finance,Unsuccessful bidder,10-Jan-2026 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3261282,MOHAMMAD ANISH,28-Nov-2025 08:30 AM,Rejected-Finance,Unsuccessful bidder,10-Jan-2026 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
