S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,3075484.0,M/S. RASHMIKANTA JENA,INR,"2,783,612",Finance,13 no bid found,DEBARAJ SETHI,14-Sep-2025 01:57 PM,finance_551117.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"DA, Estimator",DEBARAJ SETHI,23-Dec-2025 05:08 PM,finsummary_551117.pdf (393.70 KB),Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Angul,2025_OLIC_117587_10,EE/OLIC(AGL)02/2025-26,Revival of Kochiabeda-I and II L.I. Project under Pallahara Block,Executive Engineer,Internal,"DA, Estimator",DEBARAJ SETHI,11-Nov-2025 06:29 PM,techsummary_551117.pdf (393.70 KB),1,3075142,ABHIRAM DASH,11-Sep-2025 12:17 PM,Rejected-AOC,non winner in lottery,16-Jan-2026 05:55 PM,16-Jan-2026,"INR 2,783,612",90.0,DEBARAJ SETHI,16-Jan-2026 05:55 PM,10.pdf (636.00 KB),AOC,AOC,Revival of Kochiabeda-I and II L.I. Project under Pallahara Block,Revival of Kochiabeda-I and II L.I. Project under Pallahara Block,Please refer Tender documents ,NA ,"27,74,960",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,NA ,Angul,759122.0,NA ,NA ,NA ,"Executive Engineer, L.I. Division, Angul",No ,No,"27,750",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Angul,EE/OLIC(AGL)02/2025-26,2025_OLIC_117587_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper, cost in online, GST Chalan, RC, PAN, GST, Affidavit and others as per DTCN",03-Sep-2025 11:00 AM,12-Sep-2025 11:00 AM,03-Sep-2025 11:00 AM,11-Sep-2025 05:00 PM,03-Sep-2025 11:00 AM ,09-Sep-2025 05:00 PM ,03-Sep-2025 11:00 AM,11-Sep-2025 05:00 PM,"7,080",0.0,Nil,Nil,No,"Executive Engineer, L.I. Division, Angul","Lift Irrigation Division, Angul, Near Labour Office",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3074498,AUROBINDA SAMAL,11-Sep-2025 03:17 PM,Rejected-AOC,non winner in lottery,16-Jan-2026 05:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3074653,CHITTA RANJAN GARNAYAK,11-Sep-2025 02:39 PM,Rejected-Technical,GSTR 3B not Submitted as per DTCN,11-Nov-2025 06:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3075372,GIRIJA SANKAR NANDA,11-Sep-2025 06:15 AM,Rejected-AOC,non winner in lottery,16-Jan-2026 05:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3075030,Golekha Bihari Aich,11-Sep-2025 10:29 AM,Rejected-AOC,non winner in lottery,16-Jan-2026 05:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3073870,HEMANT KUMAR SAMAL,11-Sep-2025 07:11 AM,Rejected-AOC,non winner in lottery,16-Jan-2026 05:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3073958,KALANDI CHARAN JENA,11-Sep-2025 03:57 PM,Rejected-Finance,Not eligible for Lottery,23-Dec-2025 05:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3076132,LAXMI NARAYAN CONSTRUCTION PROP PRATAP KUMAR SAHU,11-Sep-2025 02:47 PM,Rejected-AOC,non winner in lottery,16-Jan-2026 05:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3073740,"M/S GURUKRUPA CONSTRUCTION, PROPRIETOR , TRUPTI SINGH",10-Sep-2025 12:40 PM,Rejected-AOC,non winner in lottery,16-Jan-2026 05:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3075484,M/S. RASHMIKANTA JENA,11-Sep-2025 02:36 PM,Accepted-AOC,work order issued after execution of agreement,16-Jan-2026 05:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
