Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage
Finance,15 bidders bid the tender,Tusar Kanti Behera,08-Dec-2025 08:06 PM,,BOQ Comparative Chart,1.0,3249333.0,ANIL KUMAR NAYAK,INR,"677,897",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,2025_CERWI_121418_1,09/EE/RW/AND/2025-26,RD Road to Khasapada_Road_Repair to such as box-cell culvert of size (1 x 3 x 3) along th approaches_At 1/150 km At 4/920 km,Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,26-Dec-2025 08:48 PM,finsummary_564976.pdf (219.93 KB),Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,09-Dec-2025 08:51 AM,techsummary_564976.pdf (219.93 KB),1,3249333,ANIL KUMAR NAYAK,24-Nov-2025 12:55 AM,Accepted-AOC,Won the bid in lottery process,06-Jan-2026 07:18 PM,05-Jan-2026,"INR 797,432",20.0,Tusar Kanti Behera,06-Jan-2026 07:18 PM,AoCKhasapada.pdf (194.00 KB),AOC,RD Road to Khasapada_Road_Repair to such as box-cell culvert of size (1 x 3 x 3) along th approaches_At 1/150 km At 4/920 km,RD Road to Khasapada_Road_Repair to such as box-cell culvert of size (1 x 3 x 3) along th approaches_At 1/150 km At 4/920 km,Please refer tender documents ,NA ,"7,97,432",Civil Works - Roads,NA ,Tender,90.0,20.0,Salapada,758020.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, ANANDPUR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online Tender Cost, EMD, GSTIN, PAN, RC, Affidavit and other required Docs as per DTCN","7,974",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,17-Nov-2025 10:30 AM,25-Nov-2025 11:30 AM,17-Nov-2025 10:30 AM,24-Nov-2025 05:00 PM,17-Nov-2025 10:30 AM ,21-Nov-2025 05:00 PM ,17-Nov-2025 10:30 AM,24-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,09/EE/RW/AND/2025-26,2025_CERWI_121418_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Divisional Officer,"RURAL WORKS DIVISION, ANANDPUR",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3242657,BIRAKISHORE MUKHI,20-Nov-2025 07:12 PM,Rejected-AOC,Not win in lottery process,06-Jan-2026 07:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3244983,DURYODHAN SAHOO,21-Nov-2025 05:50 PM,Rejected-AOC,Not win in lottery process,06-Jan-2026 07:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3242655,GITA RANI SAHOO,20-Nov-2025 07:39 PM,Rejected-AOC,Not win in lottery process,06-Jan-2026 07:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3248417,HITESH KUMAR PRUSTY,23-Nov-2025 05:20 PM,Rejected-AOC,Not win in lottery process,06-Jan-2026 07:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3250614,JAGANNATH OJHA,24-Nov-2025 01:29 PM,Rejected-AOC,Not win in lottery process,06-Jan-2026 07:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3247847,MAHAVIR CONSTRUCTION,23-Nov-2025 12:51 PM,Rejected-AOC,Not win in lottery process,06-Jan-2026 07:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3251372,NARAYAN SAHOO,24-Nov-2025 04:16 PM,Rejected-AOC,Not win in lottery process,06-Jan-2026 07:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3251303,NISHIKANTA SUTAR,24-Nov-2025 04:00 PM,Rejected-AOC,Not win in lottery process,06-Jan-2026 07:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3251414,PRADEEP KUMAR NAYAK,24-Nov-2025 04:25 PM,Rejected-AOC,Not win in lottery process,06-Jan-2026 07:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
