S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
1.0,3076807.0,S R INDUSTRIES,INR,"1,879,703",Finance,"10Nos Bidder are participate, Tender Under Scrutiny.",Somanath Tripathy,13-Sep-2025 02:48 PM,finance_551404.pdf,BOQ Comparative Chart,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,15-Jan-2026 12:52 PM,finsummary_551404.pdf (1978.90 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2025_EICCL_117661_7,SE RandB Divn No.I-BAM-04/2025-26,"SITC of fire-fighting and alarm system at radiology Building, at MKCG, MCandH, Berhampur.","Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,15-Jan-2026 12:43 PM,techsummary_551404.pdf (1978.90 KB),1,3077699,HAREKRUSHNA INDUSTRIES PROP. SURENDRA KUMAR JENA,12-Sep-2025 03:23 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 12:43 PM,15-Jan-2026,"INR 1,879,703",90.0,Somanath Tripathy,15-Jan-2026 12:59 PM,650.pdf (1979.00 KB),Contract Awarded to Sri/Smt S.R Industries,AOC,"22,200",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,04-Sep-2025 06:55 PM,13-Sep-2025 11:30 AM,04-Sep-2025 06:55 PM,12-Sep-2025 04:00 PM,04-Sep-2025 06:55 PM ,12-Sep-2025 04:00 PM ,04-Sep-2025 06:55 PM,12-Sep-2025 04:00 PM,1.0,"DTCN, Modification",Other,,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE RandB Divn No.I-BAM-04/2025-26,2025_EICCL_117661_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.","6,000",0.0,Nil,Nil,No,"SITC of fire-fighting and alarm system at radiology Building, at MKCG, MCandH, Berhampur.","SITC of fire-fighting and alarm system at radiology Building, at MKCG, MCandH, Berhampur.",Please refer Tender documents. ,NA ,"22,11,155",Electrical Works,NA ,Tender,90.0,90.0,Berhampur,760005.0,NA ,NA ,NA ,SE R and B Division No I Berhampur,No ,No,SE R and B Division No I Berhampur,SE R and B Division No I Berhampur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3076787,KK SERVICE,11-Sep-2025 06:26 PM,Rejected-AOC,Reject in Lottery,15-Jan-2026 12:59 PM,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3076708,M/S FIRESTOP SALES AND SERVICES,12-Sep-2025 11:04 AM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 12:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3075830,M/S JAGANNATH FIRE SERVICES,11-Sep-2025 12:28 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 12:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3072774,M/S OM CONSTRUCTION,10-Sep-2025 06:59 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 12:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3077472,SMART I TECHNOLOGIES,12-Sep-2025 03:59 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 12:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3076807,S R INDUSTRIES,11-Sep-2025 06:46 PM,Accepted-AOC,Win in Lottery,15-Jan-2026 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3077315,TOSHALI INDUSTRIES PRIVATE LIMITED,12-Sep-2025 12:25 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 12:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3077026,TRANSTECH SOLUTION,12-Sep-2025 02:17 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 12:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3076492,UMAFIRE SERVICES PVT. LTD,11-Sep-2025 04:08 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 12:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
