EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,19,300",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",CCE RWC Baripada,CCE RWC Baripada,06-Sep-2025 12:00 PM,22-Sep-2025 11:00 AM,06-Sep-2025 12:00 PM,20-Sep-2025 05:00 PM,06-Sep-2025 12:00 PM ,19-Sep-2025 05:00 PM ,06-Sep-2025 12:00 PM,20-Sep-2025 05:00 PM,06-Nov-2025 11:00 AM,Construction of PHC Building at Ambsikida under Samakhunta Block for the year 2024-25.,Construction of PHC Building at Ambsikida under Samakhunta Block for the year 2024-25.,Please refer Tender documents. ,NA ,"1,19,30,000",Civil Works - Buildings,NA ,Tender,90.0,365.0,"SERW Division, Baripada",757002.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,CE RW I||RWCIRCLE-BARIPADA,NCB 388 Building Works,2025_CERWI_117723_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,AOC,1,3086095,AJAY KUMAR ROUT,19-Sep-2025 12:32 PM,Rejected-AOC,L1,20-Jan-2026 01:28 PM,20-Dec-2025,"INR 10,140,968",365.0,Akshaya Kumar Naik,20-Jan-2026 01:27 PM,Ambsikida.pdf (844.00 KB),"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,31-Oct-2025 04:20 PM,06-Nov-2025 11:00 AM,techsummary_551666.pdf (1671.94 KB),Finance,31 Nos of bidders admitted,Akshaya Kumar Naik,17-Nov-2025 12:58 PM,,BOQ Comparative Chart,Technical,31 Nos of bidders participated,Akshaya Kumar Naik,31-Oct-2025 12:43 PM,,CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_117723_2,NCB 388 Building Works,Construction of PHC Building at Ambsikida under Samakhunta Block for the year 2024-25.,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,18-Nov-2025 12:37 PM,finsummary_551666.pdf (1189.59 KB),1.0,3088306.0,SANDEEB MOHAPATRA,INR,"10,140,968",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EI and PH Agreement with valid Licence etc as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3086088,Arun Kumar Nayak,20-Sep-2025 01:19 AM,Rejected-AOC,L1,20-Jan-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Affidavit etc as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3078937,ARUN KUMAR SARGHARIA,15-Sep-2025 09:58 PM,Rejected-AOC,L1,20-Jan-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3079241,BASUDEB SAHU,14-Sep-2025 10:41 AM,Rejected-AOC,L1,20-Jan-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3090818,BIREN KUMAR PATTANAIK,20-Sep-2025 04:24 PM,Rejected-AOC,L1,20-Jan-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3082343,CHANDAN KUMAR NATH,15-Sep-2025 09:33 PM,Rejected-AOC,L1,20-Jan-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3084121,DEBAPRIYA MOHAPATRA,16-Sep-2025 06:34 PM,Rejected-AOC,L1,20-Jan-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3089269,Debasis Das,20-Sep-2025 12:36 PM,Rejected-AOC,L1,20-Jan-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3087150,GOBARDHAN NATH,18-Sep-2025 09:10 PM,Rejected-AOC,L1,20-Jan-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3079076,JANMEJAY PUTY,14-Sep-2025 11:12 AM,Rejected-AOC,L1,20-Jan-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
