Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
25-Jan-2026,"INR 7,939,556",180.0,Pritam Pothal,25-Jan-2026 08:17 PM,NID176.pdf (1010.00 KB),"L1 bid of Sri RAMAKANTA GURU selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",2025_CELBB_121201_28,e-Procurement Notice No.- 05 of 2025-26,NID-176- Improvement to Service Road of Pateligaon Sub-Minor from RD 0.00Km. to 1.280Km. (Pateligaon Crematorium).,1.0,3260139.0,RAMAKANTA GURU,INR,"7,939,556",1,3263043,ABHIJIT SWAIN,28-Nov-2025 12:33 PM,Rejected-Finance,Not won in the transparent Lottery,30-Dec-2025 09:01 PM,Finance,All the bidders have been downloaded successfully.,BISHAL KESHARI SINGH,08-Dec-2025 09:18 PM,finance_564190.pdf,BOQ Comparative Chart,"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",Pritam Pothal,05-Dec-2025 09:17 PM,06-Dec-2025 11:00 AM,techsummary_564190.pdf (628.94 KB),Technical,All the bids are downloaded successfully.,BISHAL KESHARI SINGH,01-Dec-2025 12:24 PM,technical_564190.pdf,"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",BISHAL KESHARI SINGH,30-Dec-2025 09:01 PM,finsummary_564190.pdf (201.66 KB),AOC,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,GSTIN PAN Contractor R.C Affidavits undertakings Bid declaration No Relation Certificate,14-Nov-2025 11:00 AM,29-Nov-2025 11:00 AM,14-Nov-2025 11:00 AM,28-Nov-2025 05:30 PM,14-Nov-2025 11:00 AM ,23-Nov-2025 05:30 PM ,14-Nov-2025 11:00 AM,28-Nov-2025 05:30 PM,06-Dec-2025 11:00 AM,1.0,ICICI BANK,"79,500",Yes,fixed,,Nil,Nil,NID-176- Improvement to Service Road of Pateligaon Sub-Minor from RD 0.00Km. to 1.280Km. (Pateligaon Crematorium).,Improvement to Service Road of Pateligaon Sub-Minor from RD 0.00Km. to 1.280Km. (Pateligaon Crematorium).,Please refer Tender Documents ,NA ,"79,39,556",Civil Works - Canal,Canal ,Tender,90.0,180.0,Nimapara,752106.0,NA ,NA ,NA ,"S.E., Nimapara Irr Divn. Nimapara",No ,No,"Superintending Engineer., Nimapara Irr Divn.","Office of the Superintending Engineer Nimapara Irrigation Division, Nimapara Puri.","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",e-Procurement Notice No.- 05 of 2025-26,2025_CELBB_121201_28,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,3262065,AJAY KUMAR BEHERA,28-Nov-2025 01:01 PM,Rejected-Finance,Not won in the transparent Lottery,30-Dec-2025 09:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.pdf,any other document as per DTCN,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3264624,ANIL KUMAR SATAPATHY,28-Nov-2025 05:06 PM,Rejected-Technical,Technically Not Qualified,05-Dec-2025 09:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3263536,BHABANI SANKAR SWAIN,28-Nov-2025 01:53 PM,Rejected-Finance,Not won in the transparent Lottery,30-Dec-2025 09:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3248042,CLAVAX POWER PRIVATE LIMITED,26-Nov-2025 07:25 PM,Rejected-Finance,Not won in the transparent Lottery,30-Dec-2025 09:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3260181,DEEPAK PRASA BARIK,27-Nov-2025 02:42 PM,Rejected-Finance,Not won in the transparent Lottery,30-Dec-2025 09:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3263102,DEEPAK RANJAN MALLICK,28-Nov-2025 01:08 PM,Rejected-Finance,Not won in the transparent Lottery,30-Dec-2025 09:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3263057,DWEETI PRASAD DAS,28-Nov-2025 12:55 PM,Rejected-Finance,Not won in the transparent Lottery,30-Dec-2025 09:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3264008,Lalita Mohanty,28-Nov-2025 03:32 PM,Rejected-Finance,Not won in the transparent Lottery,30-Dec-2025 09:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3260882,PABITRA CHANDRA MOHAPATRA,27-Nov-2025 04:52 PM,Rejected-Finance,Not won in the transparent Lottery,30-Dec-2025 09:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
