S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,Municipal Bodies||Hindol NAC,04/2025-26,2025_ORULB_122434_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,03-Dec-2025 11:00 AM,15-Dec-2025 11:00 AM,03-Dec-2025 11:00 AM,14-Dec-2025 05:00 PM,NA ,NA ,03-Dec-2025 11:00 AM,14-Dec-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"EO , NAC Hindol","NAC Office, Hindol",Installation of 11KV line and 63KVA Transformer with necessary fiitings for nearly created MCC and MRF at Kandarasuni Ward No 12Hindol NAC,Installation of 11KV line and 63KVA Transformer with necessary fiitings for nearly created MCC and MRF at Kandarasuni Ward No 12 Hindol NAC,Please refer Tender documents. ,NA ,"10,64,058",Electrical Works,NA ,Tender,120.0,NA ,"Kandarasuni, Ward No. 12, NAC Hindol",759022.0,NA ,NA ,NA ,"NAC Office, Hindol",No ,No,"10,641",Yes,fixed,,Nil,Nil,AOC,EO,Internal,,Rajiba Lochan Behera,15-Dec-2025 05:12 PM,finsummary_568823.pdf (318.00 KB),Municipal Bodies||Hindol NAC,2025_ORULB_122434_1,04/2025-26,Installation of 11KV line and 63KVA Transformer with necessary fiitings for nearly created MCC and MRF at Kandarasuni Ward No 12Hindol NAC,1.0,3300266.0,LAXMI NARAYAN CONSTRUCTION PROP PRATAP KUMAR SAHU,INR,"904,556",Finance,Proceeding,Rajiba Lochan Behera,15-Dec-2025 05:04 PM,finance_568823.pdf,BOQ Comparative Chart,1,3300266,LAXMI NARAYAN CONSTRUCTION PROP PRATAP KUMAR SAHU,13-Dec-2025 08:03 PM,Accepted-AOC,Awarded,08-Jan-2026 05:23 PM,08-Jan-2026,"INR 904,556",90.0,Rajiba Lochan Behera,08-Jan-2026 05:23 PM,AOC11.pdf (366.00 KB),"Installation of 11 KV line & 63 KVA transformer with necessary fittings for newly created MCC and MRF at Kandarasuni, Ward No.12",EO,Internal,,Rajiba Lochan Behera,15-Dec-2025 05:08 PM,techsummary_568823.pdf (318.00 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3299631,Power Links,13-Dec-2025 02:54 PM,Rejected-AOC,Awarded,08-Jan-2026 05:23 PM,,,,,,,,,,,,,,AOC
