Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
28-Oct-2025 01:00 PM,06-Nov-2025 05:30 PM,28-Oct-2025 01:00 PM,06-Nov-2025 05:00 PM,28-Oct-2025 01:00 PM ,06-Nov-2025 03:00 PM ,28-Oct-2025 01:00 PM,06-Nov-2025 05:00 PM,1.0,ICICI BANK,SE RWD Udala,SE RWD Udala,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, RC, PAN, GSTIN, Affidavits and other required documents as per DTCN.",CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,01(Onilne)/RWD/UDALA/2025-26,2025_CERWI_120111_42,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,Date Corrigendum,Date,,SR to MDR-70 to Dutikadeipur for the year 2025-26.,SR to MDR-70 to Dutikadeipur for the year 2025-26.,Please refer Tender documents. ,NA ,"21,01,000",Civil Works - Roads,NA ,Tender,90.0,60.0,"SERW Division, Udala",757041.0,NA ,NA ,NA ,Office of the SE RWD Udala,No ,No,"21,010",Yes,percentage,1.0%,Nil,Nil,AOC,SE RWD Udala,Internal,,Haripriya Behera,08-Jan-2026 06:36 AM,techsummary_558642.pdf (2142.03 KB),SE RWD Udala,Internal,,Haripriya Behera,08-Jan-2026 06:40 AM,finsummary_558642.pdf (2142.03 KB),Finance,43 Nos of bidders admitted,Haripriya Behera,08-Jan-2026 06:31 AM,,BOQ Comparative Chart,1,3181110,AJAY KUMAR SETHI,04-Nov-2025 02:55 PM,Rejected-AOC,L1,08-Jan-2026 06:46 AM,1.0,3184411.0,DEBASHIS BARIK,INR,"1,785,918",CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_120111_42,01(Onilne)/RWD/UDALA/2025-26,SR to MDR-70 to Dutikadeipur for the year 2025-26.,08-Jan-2026,"INR 1,785,918",60.0,Haripriya Behera,08-Jan-2026 06:45 AM,No42A.pdf (748.00 KB),AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,2.0,Revised DTCN,Other,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3178962,AJIT KUMAR BEHERA,04-Nov-2025 07:25 AM,Rejected-AOC,L1,08-Jan-2026 06:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3188851,AMIT KUMAR POTHAL,06-Nov-2025 01:41 PM,Rejected-AOC,L1,08-Jan-2026 06:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3187479,ANANTA PARIDA,06-Nov-2025 10:22 AM,Rejected-AOC,L1,08-Jan-2026 06:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3174942,ARNAB KUMAR PRADHAN,06-Nov-2025 04:14 AM,Rejected-AOC,L1,08-Jan-2026 06:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3175989,ARPIT ROUT,03-Nov-2025 07:54 AM,Rejected-AOC,L1,08-Jan-2026 06:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3171499,BHABESH NAYAK,06-Nov-2025 10:51 AM,Rejected-AOC,L1,08-Jan-2026 06:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3179442,BISHESWAR ROUT,04-Nov-2025 07:26 AM,Rejected-AOC,L1,08-Jan-2026 06:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3168856,Debadatta behera,30-Oct-2025 09:19 PM,Rejected-AOC,L1,08-Jan-2026 06:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3184411,DEBASHIS BARIK,06-Nov-2025 10:55 AM,Accepted-AOC,L1,08-Jan-2026 06:46 AM,,,,,,,,,,,,,,,,AOC
