Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
installation and Energisation of Santhasara-III L.I.P under Gondia Block in Dhenkanal District.,installation and Energisation of Santhasara-III L.I.P under Gondia Block in Dhenkanal District.,Please refer Tender documents. ,NA ,"30,06,258",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Dhenkanal,759001.0,NA ,NA ,NA ,"EE, LI Division, Dhenkanal",No ,No,"30,063",Yes,fixed,,Nil,Nil,1,ICICI BANK,"EE, LI Division, Dhenkanal","EE, LI Division, Dhenkanal",1,Fee/PreQual/Technical,.pdf,"Paper Cost, EMD in online mode, RC, PAN, GST, Affidavit and others as per DTCN","7,080",0.0,Nil,Nil,No,27-Nov-2025 09:30 AM,05-Dec-2025 11:00 AM,27-Nov-2025 09:30 AM,04-Dec-2025 05:00 PM,NA ,NA ,27-Nov-2025 09:30 AM,04-Dec-2025 05:00 PM,24-Dec-2025 04:45 PM,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Dhenkanal,EEDKL(OLIC)-03/2025-26,2025_OLIC_121931_63,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,3277011,Pinaki Mishra,04-Dec-2025 06:23 AM,Rejected-Finance,L2 Bidder,17-Jan-2026 11:23 AM,17-Jan-2026,"INR 3,004,754.85",90.0,BIJAY KUMAR TARAI,17-Jan-2026 11:28 AM,Tech.pdf (60.00 KB),Awarded,EE,Internal,"DA, Estimator",BIJAY KUMAR TARAI,24-Dec-2025 04:30 PM,24-Dec-2025 04:45 PM,techsummary_567382.pdf (110.49 KB),Finance,Opened,PRATYUSA KUMAR MALLA,24-Dec-2025 05:02 PM,,BOQ Comparative Chart,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Dhenkanal,2025_OLIC_121931_63,EEDKL(OLIC)-03/2025-26,installation and Energisation of Santhasara-III L.I.P under Gondia Block in Dhenkanal District.,Technical,Opened,PRATYUSA KUMAR MALLA,14-Dec-2025 04:19 AM,,EE,Internal,DAO estimator,BIJAY KUMAR TARAI,17-Jan-2026 11:23 AM,finsummary_567382.pdf (60.04 KB),1.0,3278212.0,saumendu sutar,INR,"3,004,754.85",AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3278212,saumendu sutar,04-Dec-2025 03:34 PM,Accepted-AOC,Awarded,17-Jan-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
