Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Executive Engineer,"O/O EE,Boudh Irrigation Division, Boudh",Flood protection work to the right bank of River Tel in between RD 59.00 KM TO RD 59.200KM near village Kantamal under Kantamal Block.,River Embankment,Please refer Tender documents. ,NA ,"33,85,000",Civil Works - Others,NA ,Tender,90.0,120.0,Boudh,762014.0,NA ,NA ,NA ,"O/O EE,Boudh Irrigation Division, Boudh",No ,No,"34,000",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,"CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Boudh Irr Divn Boudh",EE BOD-05/25-26,2025_CEBMT_117489_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,03-Sep-2025 11:00 AM,17-Sep-2025 11:00 AM,03-Sep-2025 11:00 AM,16-Sep-2025 05:00 PM,03-Sep-2025 11:00 AM ,12-Sep-2025 05:00 PM ,03-Sep-2025 11:00 AM,16-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, GST,PAN, Contractor RC,NRC,Affidavits",1.0,ICICI BANK,AOC,Executive Engineer,Internal,,BISHNUPRIYA DEHURI,06-Nov-2025 10:48 AM,techsummary_550819.pdf (1359.25 KB),Executive Engineer,Internal,,BISHNUPRIYA DEHURI,13-Nov-2025 01:13 PM,finsummary_550819.pdf (1010.49 KB),Finance,tender already open 17.09.25,BISHNUPRIYA DEHURI,22-Sep-2025 04:37 PM,,BOQ Comparative Chart,21-Feb-2026,"INR 2,878,193",120.0,BISHNUPRIYA DEHURI,27-Jan-2026 01:53 PM,W13.pdf (641.00 KB),1,3083612,ABINASH KUDEI,16-Sep-2025 02:02 PM,Rejected-Finance,Not found L1 in the lottery process,13-Nov-2025 01:13 PM,1.0,3083479.0,SOUMYA SIBRAN KHETI,INR,"2,878,193","CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Boudh Irr Divn Boudh",2025_CEBMT_117489_13,EE BOD-05/25-26,Flood protection work to the right bank of River Tel in between RD 59.00 KM TO RD 59.200KM near village Kantamal under Kantamal Block.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,financial,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3082448,ALOK KUMAR DANG,15-Sep-2025 08:18 PM,Rejected-Finance,Not found L1 in the lottery process,13-Nov-2025 01:13 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3080959,ANCHAL AGRAWAL,16-Sep-2025 04:18 PM,Rejected-Finance,Not found L1 in the lottery process,13-Nov-2025 01:13 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3078904,ANNAPURNNA BARIK,13-Sep-2025 06:46 PM,Rejected-Finance,Not found L1 in the lottery process,13-Nov-2025 01:13 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3082518,ASHISH KUMAR BEHERA,15-Sep-2025 08:46 PM,Rejected-Finance,Not found L1 in the lottery process,13-Nov-2025 01:13 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3078078,ASHISH SINGH,12-Sep-2025 08:38 PM,Rejected-Finance,Not found L1 in the lottery process,13-Nov-2025 01:13 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3077680,ASHOK KUMAR SINGH,12-Sep-2025 02:54 PM,Rejected-Finance,Not found L1 in the lottery process,13-Nov-2025 01:13 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3076711,BISWAJIT SAHOO,15-Sep-2025 06:33 PM,Rejected-Finance,Not found L1 in the lottery process,13-Nov-2025 01:13 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3078524,Biswambhar karna,13-Sep-2025 01:58 PM,Rejected-Finance,Not found L1 in the lottery process,13-Nov-2025 01:13 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3079171,Biswanath Patra,16-Sep-2025 12:05 PM,Rejected-Finance,Not found L1 in the lottery process,13-Nov-2025 01:13 PM,,,,,,,,,,AOC
