Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Tender Open,Dhanraj Hanumant Dhamdhere,17-Nov-2025 12:35 PM,finance_558851.pdf,BOQ Comparative Chart,16-Jan-2026,"INR 566,122",90.0,Dhanraj Hanumant Dhamdhere,16-Jan-2026 01:25 PM,Workorder.pdf (472.00 KB),Work Order issued to L1 Bidder selected through Lottery,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2025_DFOKJ_119942_18,FEnCC-DFO(T) KJR-02/2025-26,Digging of Water Body inside Sidhamatha RF of Barbil Range under SSWLCP CAMPA APO 2025 26,1.0,3203095.0,RAJENDRA NARAYAN SETHY,INR,"566,122",1,3198517,ANNAPURNA ROUT,10-Nov-2025 04:16 PM,Rejected-Technical,DIS-QUALIFIED,16-Jan-2026 01:15 PM,"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,16-Jan-2026 01:15 PM,techsummary_558851.pdf (544.69 KB),"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,16-Jan-2026 01:17 PM,finsummary_558851.pdf (393.81 KB),AOC,"5,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,29-Oct-2025 10:00 AM,12-Nov-2025 11:30 AM,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,29-Oct-2025 10:00 AM ,11-Nov-2025 05:00 PM ,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFO(T) KJR-02/2025-26,2025_DFOKJ_119942_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,DFO Keonjhar,AT-PO-DIST- KEONJHAR-758001,Digging of Water Body inside Sidhamatha RF of Barbil Range under SSWLCP CAMPA APO 2025 26,Digging of Water Body inside Sidhamatha RF of Barbil Range under SSWLCP CAMPA APO 2025 26,Please refer Tender documents. ,NA ,"5,64,363",Civil Works - Water Works,NA ,Tender,120.0,90.0,SIDDHAMATHA RF OF BARBIL RANGE,758035.0,NA ,NA ,NA ,"Office of the Divisional Forest Officer, Keonjhar",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, PAN, GST, ContractorRegistration Certificate and Other Documents as per DTCN","4,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3193792,BISHNUPRASAD JENA,07-Nov-2025 02:05 PM,Rejected-AOC,Not Selected,16-Jan-2026 01:25 PM,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3203095,RAJENDRA NARAYAN SETHY,09-Nov-2025 07:07 PM,Accepted-AOC,Selected,16-Jan-2026 01:25 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3210684,SAROJINI JENA,11-Nov-2025 01:46 AM,Rejected-AOC,Not Selected,16-Jan-2026 01:25 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
