Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB DIVN RAYAGADA I,CCE R and B RGDA- 01/2025-26,2025_EICCL_114483_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CCE Rayagada R and B Circle,CCE Rayagada R and B Circle Rayagada,"2,93,500",Yes,fixed,,Nil,Nil,"Construction of 10 Nos F Type staff quarter (G plus 2) for DHH, Paralakhemundi in the District of Gajapati, Odisha.",Building works,Please refer Tender documents. ,NA ,"2,93,44,692",Civil Works - Buildings,NA ,Tender,90.0,180.0,Paralakhemundi,761200.0,NA ,NA ,NA ,CCE Rayagada R and B Circle,No ,No,1.0,Fee/PreQual/Technical,.pdf,"cost of tender paper, EMD,PAN,Labour license, Affidavit, Regd Certificate",16-Jun-2025 12:00 PM,01-Jul-2025 11:00 AM,16-Jun-2025 12:00 PM,30-Jun-2025 05:00 PM,16-Jun-2025 12:00 PM ,23-Jun-2025 05:00 PM ,16-Jun-2025 12:00 PM,30-Jun-2025 05:00 PM,01-Aug-2025 12:00 PM,AOC,1,2983582,Allapa Ganapati Rao,30-Jun-2025 12:19 PM,Rejected-Technical,Dis-Qualified as per Technical Evaluation Sheet,29-Jul-2025 01:45 PM,17-Jan-2026,"INR 24,945,923",180.0,Ambikeya Mishra,17-Jan-2026 06:46 PM,WO_10no_F.pdf (1940.00 KB),Letter no. 6428 Dt. 04.11.2025 of SE PKD,Finance,11 Nos Qualified Bidders BOQ downloaded,Ambikeya Mishra,18-Oct-2025 11:41 AM,,BOQ Comparative Chart,CCE,Internal,DAO PA to CCE,Ambikeya Mishra,29-Jul-2025 01:45 PM,01-Aug-2025 12:00 PM,techsummary_543201.pdf (871.78 KB),CCE,Internal,SE DAO JE Estimator,Ambikeya Mishra,18-Oct-2025 12:01 PM,finsummary_543201.pdf (1140.85 KB),EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB DIVN RAYAGADA I,2025_EICCL_114483_3,CCE R and B RGDA- 01/2025-26,"Construction of 10 Nos F Type staff quarter (G plus 2) for DHH, Paralakhemundi in the District of Gajapati, Odisha.",Technical,Tender Opened for Technical evaluation.,Ambikeya Mishra,08-Jul-2025 01:25 PM,technical_543201.pdf,1.0,2984180.0,Subrat Sahu,INR,"24,945,923",AOC
,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN,,,,,,,,,,AOC,2,2980604,Arjun Enterprises,30-Jun-2025 01:20 PM,Rejected-AOC,First lowest,17-Jan-2026 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,AOC,3,2981821,B Nirmal Kumar Subudhi,27-Jun-2025 10:55 PM,Rejected-AOC,First lowest,17-Jan-2026 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2982330,KARAKARIA GAJENDRA,28-Jun-2025 07:04 PM,Rejected-AOC,2nd lowest,17-Jan-2026 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2983379,NIMAIN CHARAN DAS,30-Jun-2025 03:59 PM,Rejected-Finance,Qualified,18-Oct-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2983906,Radha Krishna Pradhan,30-Jun-2025 03:14 PM,Rejected-AOC,3rd lowest,17-Jan-2026 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2983817,Ramesh Pradhan,30-Jun-2025 03:33 PM,Rejected-AOC,4th lowest,17-Jan-2026 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2984048,RANJAN KUMAR PATRO,30-Jun-2025 04:42 PM,Rejected-AOC,3rd lowest,17-Jan-2026 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2981960,SANJAY KUMAR CHAUDHURY,28-Jun-2025 01:32 PM,Rejected-Finance,Qualified,18-Oct-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2982985,SASMITA PANIGRAHY,29-Jun-2025 07:48 PM,Rejected-AOC,3rd lowest,17-Jan-2026 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
