Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Finance,BOQ Chart,Dhanraj Hanumant Dhamdhere,17-Nov-2025 04:18 PM,finance_558869.pdf,BOQ Comparative Chart,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2025_DFOKJ_119942_21,FEnCC-DFO(T) KJR-02/2025-26,Construction of Wire Mesh Loose Bouder Check Dam (WLBCD) on Bhalu Nallah-1 inside Ukhunda RF of Champua Range under OMBADC (DPR 2022-23),1.0,3185461.0,SUDHIR KUMAR SWAIN,INR,"1,715,847",1,3204632,ANNAPURNA ROUT,10-Nov-2025 04:30 PM,Rejected-Technical,DisQualified,27-Jan-2026 05:05 PM,27-Jan-2026,"INR 1,715,847",90.0,Dhanraj Hanumant Dhamdhere,27-Jan-2026 05:22 PM,Workorder.pdf (487.00 KB),Work Order issued to L1 Bidder selected through Lottery,"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,27-Jan-2026 05:05 PM,techsummary_558869.pdf (1007.87 KB),"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,27-Jan-2026 05:19 PM,finsummary_558869.pdf (501.52 KB),AOC,29-Oct-2025 10:00 AM,12-Nov-2025 11:30 AM,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,29-Oct-2025 10:00 AM ,11-Nov-2025 05:00 PM ,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,"6,000",Nil,Nil,No,1.0,ICICI BANK,"17,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, PAN, GST, ContractorRegistration Certificate and Other Documents as per DTCN",Construction of Wire Mesh Loose Bouder Check Dam (WLBCD) on Bhalu Nallah-1 inside Ukhunda RF of Champua Range under OMBADC (DPR 2022-23),Construction of Wire Mesh Loose Bouder Check Dam (WLBCD) on Bhalu Nallah-1 inside Ukhunda RF of Champua Range under OMBADC (DPR 2022-23),Please refer Tender documents. ,NA ,"17,10,513",Civil Works - Water Works,NA ,Tender,120.0,90.0,Ukhunda Rf of Champua Range,758032.0,NA ,NA ,NA ,"Office of the Divisional Forest Officer, Keonjhar",No ,No,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFO(T) KJR-02/2025-26,2025_DFOKJ_119942_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,DFO Keonjhar,AT-PO-DIST- KEONJHAR-758001,AOC
,,,,,,,,,,,,,,,2,3210407,ASHUTOSH SETHI,11-Nov-2025 04:52 PM,Rejected-AOC,Not Selected,27-Jan-2026 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3212549,BALARAM SENAPATI,11-Nov-2025 02:03 PM,Rejected-AOC,Not Selected,27-Jan-2026 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3209490,BASANTA KUMAR MAHANTA,11-Nov-2025 12:35 AM,Rejected-AOC,Not Selected,27-Jan-2026 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3188971,BISHNUPRASAD JENA,06-Nov-2025 01:56 PM,Rejected-AOC,Not Selected,27-Jan-2026 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3211498,JIBAN JYOTI BEJ,11-Nov-2025 11:02 AM,Rejected-AOC,Not Selected,27-Jan-2026 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3210845,MAHAVIR CONSTRUCTION,11-Nov-2025 07:24 AM,Rejected-AOC,Not Selected,27-Jan-2026 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3188636,SAGARIKA GIRI,06-Nov-2025 01:09 PM,Rejected-AOC,Not Selected,27-Jan-2026 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3185461,SUDHIR KUMAR SWAIN,05-Nov-2025 07:10 PM,Accepted-AOC,Selected,27-Jan-2026 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
