Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Municipal Bodies||Kuchinda NAC,KCDA/NAC-6/2025-26,2025_ORULB_123154_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,240",Yes,percentage,1.0%,Nil,Nil,13-Dec-2025 10:00 AM,20-Dec-2025 10:00 AM,13-Dec-2025 10:00 AM,19-Dec-2025 06:30 PM,13-Dec-2025 10:00 AM ,19-Dec-2025 05:30 PM ,13-Dec-2025 10:00 AM,19-Dec-2025 06:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Executive Officer,"NAC KUCHINDA , AT/PO-KUCHINDA,DIST-SAMBALPUR",Const. of road from Jagat Mahananda House to Santosh Mahananda house in W.No-4,Const. of road from Jagat Mahananda House to Santosh Mahananda house in W.No-4,As per DTCN ,NA ,"4,24,020",Civil Works - Roads,NA ,Tender,90.0,30.0,Ward No-4 NAC Kuchinda,768222.0,NA ,NA ,NA ,Office of the NAC Kuchinda,No ,No,AOC,Pradyut Kumar Mohanty,Internal,"B K Sa, N Nag, M Suna",Nilamadhab Nag,30-Dec-2025 05:03 PM,techsummary_571584.pdf (923.50 KB),Pradyut kumar Mohanty,Internal,"B K Sa, N Nag, M Suna",Nilamadhab Nag,31-Dec-2025 05:24 PM,finsummary_571584.pdf (923.50 KB),Finance,ok,Nilamadhab Nag,22-Dec-2025 12:53 PM,finance_571584.pdf,BOQ Comparative Chart,13-Jan-2026,"INR 424,020.23",30.0,Nilamadhab Nag,13-Jan-2026 06:55 PM,55.pdf (431.00 KB),work order Issued,1.0,3315927.0,Sushanta Kumar Dwibedy,INR,"424,020.23",Municipal Bodies||Kuchinda NAC,2025_ORULB_123154_16,KCDA/NAC-6/2025-26,Const. of road from Jagat Mahananda House to Santosh Mahananda house in W.No-4,1,3312928,AMIT AGRAWAL,19-Dec-2025 12:10 PM,Rejected-AOC,Rejected,13-Jan-2026 06:55 PM,AOC
,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3316040,ANANTA NARAYAN BEHERA,19-Dec-2025 08:41 AM,Rejected-AOC,Rejected,13-Jan-2026 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3310358,BINAPANI PATEL,19-Dec-2025 12:28 PM,Rejected-AOC,Rejected,13-Jan-2026 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3317906,BISHAL AGRAWAL,19-Dec-2025 05:22 PM,Rejected-AOC,Rejected,13-Jan-2026 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3315954,GOVIND MEHER,19-Dec-2025 05:04 PM,Rejected-AOC,Rejected,13-Jan-2026 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3315823,KAPILASH NAYAK,19-Dec-2025 12:48 AM,Rejected-AOC,Rejected,13-Jan-2026 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3312304,KULAMANI SAHANSIA,18-Dec-2025 09:48 AM,Rejected-AOC,Rejected,13-Jan-2026 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3317217,LAXMI AGRAWAL,19-Dec-2025 02:43 PM,Rejected-AOC,Rejected,13-Jan-2026 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3314904,PRABIN PRATAP SINGH,19-Dec-2025 06:09 PM,Rejected-AOC,Rejected,13-Jan-2026 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3316053,Santosh Kumar Agrawal,19-Dec-2025 09:54 AM,Rejected-AOC,Rejected,13-Jan-2026 06:55 PM,AOC
