S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"16,923",Yes,fixed,,Nil,Nil,Municipal Bodies||Athgarh NAC,ATH-NAC-02/2025-26,2025_ORULB_122613_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Market Complex Building at Chandbali Chhaka W No.15 Athgarh NAC,Construction of Market Complex Building at Chandbali Chhaka W No.15 Athgarh NAC,Please refer Tender documents. ,NA ,"16,92,293",Civil Works - Buildings,NA ,Tender,90.0,NA ,Athgarh NAC,754029.0,NA ,NA ,NA ,Athgarh NAC,No ,No,"7,080",0.0,Nil,Nil,No,EXECUTIVE OFFICER,"Executive Officer, Athgarh NAC",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,08-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,08-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,NA ,NA ,08-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,AOC,Executive Officer,Internal,Assistant Engineer,BALAYA DEHURY,29-Jan-2026 04:33 PM,finsummary_569607.pdf (230.47 KB),Municipal Bodies||Athgarh NAC,2025_ORULB_122613_7,ATH-NAC-02/2025-26,Construction of Market Complex Building at Chandbali Chhaka W No.15 Athgarh NAC,1.0,3312082.0,BISWAJIT SETHY,INR,"1,692,370",Finance,Eighteen bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidder to be verified,BALAYA DEHURY,24-Dec-2025 02:28 PM,finance_569607.pdf,BOQ Comparative Chart,1,3309243,AJAYA KUMAR ROUT,16-Dec-2025 07:00 PM,Rejected-AOC,Reject,29-Jan-2026 04:38 PM,29-Jan-2026,"INR 1,692,370",30.0,BALAYA DEHURY,29-Jan-2026 04:38 PM,workorder7.pdf (1311.00 KB),work order,Executive Officer,Internal,Assistant Engineer,BALAYA DEHURY,29-Jan-2026 04:25 PM,techsummary_569607.pdf (230.47 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,AS PER BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3312238,ARPITA SARGAM SAHOO,17-Dec-2025 07:19 PM,Rejected-AOC,Reject,29-Jan-2026 04:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3292149,ASHISH KUMAR SAHOO,14-Dec-2025 07:11 PM,Rejected-AOC,Reject,29-Jan-2026 04:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3310087,BANDITA DAS,18-Dec-2025 08:25 AM,Rejected-AOC,Reject,29-Jan-2026 04:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3312082,BISWAJIT SETHY,17-Dec-2025 06:40 PM,Accepted-AOC,Accepted,29-Jan-2026 04:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3314564,CHANDAN KUMAR DHAL SAMANT,18-Dec-2025 04:14 PM,Rejected-AOC,Reject,29-Jan-2026 04:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3314311,HAREKRUSHNA DAS,18-Dec-2025 03:02 PM,Rejected-AOC,Reject,29-Jan-2026 04:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3304760,JIBAN RANJAN MOHANTY,15-Dec-2025 05:51 PM,Rejected-AOC,Reject,29-Jan-2026 04:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3304456,KHITISH PRASAD ROUT,15-Dec-2025 04:43 PM,Rejected-AOC,Reject,29-Jan-2026 04:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3309663,MINATI JENA,16-Dec-2025 09:22 PM,Rejected-AOC,Reject,29-Jan-2026 04:38 PM,,,,,,,,,,,,,,AOC
