S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3298210.0,Drite Automation and Engineering,INR,"3,983,176",General Manager,Internal,Manager,Sridhar Pattnaik,21-Jan-2026 01:19 PM,finsummary_568239.pdf (38.42 KB),Technical,Summary,Sridhar Pattnaik,23-Dec-2025 12:54 PM,technical_568239.pdf,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Rourkela,2025_WDRKL_122293_1,GM WATCO/RKL-18/2025-26 dt.18.11.2025,Procurement and installation of 2 Nos 100 HP VT pump sets with VFD panel at Intake Well Koelnagar WTP Rourkela,Finance,Summary,Sridhar Pattnaik,21-Jan-2026 01:14 PM,finance_568239.pdf,BOQ Comparative Chart,General Manager,Internal,Manager,Alekh Dalai,31-Dec-2025 11:40 AM,01-Jan-2026 03:30 PM,techsummary_568239.pdf (86.60 KB),1,3298210,Drite Automation and Engineering,12-Dec-2025 04:34 PM,Accepted-AOC,Selected through transparent lottery,21-Jan-2026 01:25 PM,21-Jan-2026,"INR 3,983,176",90.0,Sridhar Pattnaik,21-Jan-2026 01:25 PM,AOC.pdf (213.00 KB),AOC,AOC,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Rourkela,GM WATCO/RKL-18/2025-26 dt.18.11.2025,2025_WDRKL_122293_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",Nil,Nil,No,"G.M WATCO Division, Rourkela","G.M WATCO Division,Panposh, Rourkela",Procurement and installation of 2 Nos 100 HP VT pump sets with VFD panel at Intake Well Koelnagar WTP Rourkela,Procurement and installation of 2 Nos 100 HP VT pump sets with VFD panel at Intake Well Koelnagar WTP Rourkela,Please refer Tender documents. ,NA ,"46,85,538",Civil Works - Water Works,NA ,Tender,120.0,90.0,Rourkela,769004.0,NA ,NA ,NA ,"O/o G.M WATCO Division, Rourkela",No ,No,1.0,ICICI BANK,01-Dec-2025 11:00 AM,15-Dec-2025 12:30 PM,01-Dec-2025 11:00 AM,12-Dec-2025 05:00 PM,01-Dec-2025 11:00 AM ,10-Dec-2025 05:00 PM ,01-Dec-2025 11:00 AM,12-Dec-2025 05:00 PM,01-Jan-2026 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender paper, EMD,PAN, GST, Certificate and other documents etc as per DTCN","46,855",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3298095,Kunal Agarwal,12-Dec-2025 04:05 PM,Rejected-AOC,Not selected through transparent lottery,21-Jan-2026 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3293203,M/S. A.B.ELECTRICALS AND MECHANICAL WORKS,12-Dec-2025 11:56 AM,Rejected-Finance,Not qualified,21-Jan-2026 01:19 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3290135,M/s WATCO,10-Dec-2025 03:13 PM,Rejected-AOC,Not selected through transparent lottery,21-Jan-2026 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3298228,shree lakshmi engineering,12-Dec-2025 04:42 PM,Rejected-AOC,Not selected through transparent lottery,21-Jan-2026 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
