Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||BHUBANESWAR Block,14/02/BPS/2025-26,2025_BBSR_114390_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"BDO, BHUBANESWAR","PANCHAYAT SAMITI OFFICE, BHUBANESWAR","14,147",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Construction of Additional Class Room Building at Tamando BB High School, Bhubaneswar",AS PER BOQ,Please refer Tender documents. ,NA ,"14,14,700",Civil Works - Buildings,NA ,Tender,120.0,180.0,TAMANDO,752054.0,NA ,NA ,NA ,"PANCHAYAT SAMITI OFFICE, BHUBANESWAR",No ,No,1.0,ICICI BANK,11-Jun-2025 06:15 PM,24-Jun-2025 11:00 AM,11-Jun-2025 06:15 PM,23-Jun-2025 05:00 PM,NA ,NA ,11-Jun-2025 06:15 PM,23-Jun-2025 05:00 PM,"7,080",Nil,Nil,No,AOC,1,2978321,BISHNUPRIYA BARAL,23-Jun-2025 03:02 PM,Rejected-AOC,L2,06-Jan-2026 10:39 PM,DEVIPRASAD MOHANTY,Internal,,DEVIPRASAD MOHANTY,06-Jan-2026 10:24 PM,finsummary_542853.pdf (403.40 KB),Finance,bid open in presence of tender committee,DEVIPRASAD MOHANTY,24-Jun-2025 07:15 PM,,BOQ Comparative Chart,06-Jan-2026,"INR 1,202,636.87",180.0,DEVIPRASAD MOHANTY,06-Jan-2026 10:39 PM,95.pdf (520.00 KB),DEVIPRASAD MOHANTY,Internal,,DEVIPRASAD MOHANTY,06-Jan-2026 10:21 PM,techsummary_542853.pdf (403.40 KB),1.0,2977977.0,Kailas Chandra Dalei,INR,"1,202,636.87",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||BHUBANESWAR Block,2025_BBSR_114390_1,14/02/BPS/2025-26,"Construction of Additional Class Room Building at Tamando BB High School, Bhubaneswar",AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,AOC,2,2977977,Kailas Chandra Dalei,23-Jun-2025 04:52 PM,Accepted-AOC,L1,06-Jan-2026 10:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2978498,MANOJ KUMAR SAHOO,23-Jun-2025 04:57 PM,Rejected-AOC,L3,06-Jan-2026 10:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
