Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Finance,Financial bid opened for 2 nos. bidders.,BADAL CHANDRA CHOUDHURY,03-Dec-2025 04:55 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,BADAL CHANDRA CHOUDHURY,21-Nov-2025 03:48 PM,21-Nov-2025 04:00 PM,techsummary_559662.pdf (547.07 KB),1,3200207,ASIT KUMAR SAHANI,09-Nov-2025 01:01 PM,Accepted-AOC,WO issued,17-Jan-2026 01:26 PM,10-Jan-2026,"INR 5,488,307",90.0,BADAL CHANDRA CHOUDHURY,17-Jan-2026 01:26 PM,P23.pdf (3576.00 KB),1.0,3200207.0,ASIT KUMAR SAHANI,INR,"5,488,307",Executive Engineer,Internal,,BADAL CHANDRA CHOUDHURY,09-Jan-2026 03:10 PM,finsummary_559662.pdf (547.07 KB),Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Keonjhar,2025_OLIC_120279_23,e-Procurement BID ID No. 05 EELID (KJR/2025-26),Installation and energisation of Daradipal-V L.I. Project under Ghasipura block in Keonjhar district,Technical,"Out of 3 nos. bidders participated in this tender, 2 nos. accepted and one no. rejected",BADAL CHANDRA CHOUDHURY,21-Nov-2025 03:37 PM,,AOC,01-Nov-2025 10:00 AM,11-Nov-2025 10:00 AM,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,01-Nov-2025 10:00 AM ,06-Nov-2025 05:00 PM ,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,21-Nov-2025 04:00 PM,"Executive Engineer, L.I. Division, Keonjhar","At/Po- Dhrupada, Via- Raisuan, Dist- Keonjhar",Installation and energisation of Daradipal-V L.I. Project under Ghasipura block in Keonjhar district,Installation and energisation of Daradipal-V L.I. Project under Ghasipura block in Keonjhar district,Please refer Tender documents. ,NA ,,Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,Keonjhar,758001.0,NA ,NA ,NA ,"Office of the E.E., L.I. Division, Keonjhar",No ,No,"54,883",Yes,fixed,,Nil,Nil,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Keonjhar,e-Procurement BID ID No. 05 EELID (KJR/2025-26),2025_OLIC_120279_23,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"PAPER COST,EMD,LICENSE COPY,HT LICENSE,PAN,GSTIN,AFFIDAVIT,JOINT VENTURE AND OTHER AS PER DTCN",1.0,ICICI BANK,1.0,NIT Corriggendum,Other,,AOC
,,,,,,,,,,,,,2,3200499,LALATENDU NAYAK,09-Nov-2025 12:00 PM,Rejected-Finance,Unsuccessful bidder,09-Jan-2026 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITIES,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,3,3182361,TANMAYA KUMAR JENA,09-Nov-2025 11:20 PM,Not Admitted-Fee/PreQual/Technical,"Others-As per the request letter of the bidder for withdraw the bid in this package, the bid is not admitted.",21-Nov-2025 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
