Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,10 nos of Bidders.,Subhrata Meher,16-Nov-2025 01:24 PM,,BOQ Comparative Chart,1.0,3211251.0,TAPAN RUIDAS,INR,"285,508",CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,2025_CERWI_120518_6,BI No.Tender Online SNPR-07 of 2025-26.,S/R to RI Office cum Res at Singhijuba.,Er Subhrata Meher,Internal,,Subhrata Meher,03-Jan-2026 08:07 PM,finsummary_560868.pdf (359.71 KB),Er Subhrata Meher,Internal,,Subhrata Meher,03-Jan-2026 08:06 PM,techsummary_560868.pdf (359.71 KB),03-Jan-2026,"INR 285,508",120.0,Subhrata Meher,03-Jan-2026 08:10 PM,Result.pdf (485.00 KB),1,3179748,ANANDA KUMAR PANDA,11-Nov-2025 12:05 AM,Rejected-AOC,Rejected,03-Jan-2026 08:10 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CERTIFICATE VALID CONTRACT LICENCE AFFIDAVIT AS PER DTCN ETC,S/R to RI Office cum Res at Singhijuba.,S/R Buildings Work,Please refer Tender documents. ,NA ,"3,36,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o the S E, R.W. Division, Sonepur",No ,No,1.0,ICICI BANK,"3,360",Yes,fixed,,Nil,Nil,01-Nov-2025 05:00 PM,12-Nov-2025 11:00 AM,01-Nov-2025 05:00 PM,11-Nov-2025 05:00 PM,01-Nov-2025 05:00 PM ,10-Nov-2025 04:00 PM ,01-Nov-2025 05:00 PM,11-Nov-2025 05:00 PM,"Executive Engineer, R W Div., Sonepur","O/o the S E, R.W. Division, Sonepur",CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,BI No.Tender Online SNPR-07 of 2025-26.,2025_CERWI_120518_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3201801,BIPRACHANDRA BEHERA,11-Nov-2025 03:33 PM,Rejected-AOC,Rejected,03-Jan-2026 08:10 PM,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3200733,DILIP KUMAR PANDA,09-Nov-2025 04:12 PM,Rejected-AOC,Rejected,03-Jan-2026 08:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3208931,JEEVARDHAN NAIK,11-Nov-2025 01:58 PM,Rejected-AOC,Rejected,03-Jan-2026 08:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3201381,Manoj Kumar Panda,09-Nov-2025 01:29 PM,Rejected-AOC,Rejected,03-Jan-2026 08:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3178742,PADMAN KUMAR PANDA,11-Nov-2025 03:03 AM,Rejected-AOC,Rejected,03-Jan-2026 08:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3211757,RASHMI REKHA SAMAL,11-Nov-2025 12:19 PM,Rejected-AOC,Rejected,03-Jan-2026 08:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3201648,SAMUGA NAIKEL,09-Nov-2025 02:21 PM,Rejected-AOC,Rejected,03-Jan-2026 08:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3210201,Sunil Kumar Naik,10-Nov-2025 10:50 PM,Rejected-AOC,Rejected,03-Jan-2026 08:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3211251,TAPAN RUIDAS,11-Nov-2025 10:09 AM,Accepted-AOC,Work awarded in regular lottery system,03-Jan-2026 08:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
