S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
1.0,3325116.0,Kapilash Naik,INR,"4,264,229.52",Superintending Engineer,Internal,"Saroj Sha, S.E, L. K . Bastia , D.A.O, N. Panna, AE",SAROJ SHA,08-Jan-2026 07:34 PM,finsummary_572088.pdf (343.69 KB),Technical,all bids are open time,SAROJ SHA,30-Dec-2025 07:13 PM,technical_572088.pdf,"CE,Minor Irrigation,BBSR||SEKBKMIC-BHAWANIPATNA||KALAHANDI",2025_CEMIB_123387_5,SE MID BPT 07/2025-26 (Double Cover),sl 16 Construction of Rengsapali-III (KA-03-0093) Check Dam over Local Nalla near village Rengsapali in Golamunda Block of Kalahandi District under MATY Scheme 2025-26,Finance,All Bidders are qualified.,SAROJ SHA,08-Jan-2026 06:32 PM,finance_572088.pdf,BOQ Comparative Chart,Er Saroj Sha,Internal,"Lal Krishna Bastia, DAO, Nituza Panna AE Estr are the committee members",SAROJ SHA,04-Jan-2026 01:59 PM,06-Jan-2026 11:00 AM,techsummary_572088.pdf (823.02 KB),19-Jan-2026,"INR 4,264,229.52",180.0,SAROJ SHA,31-Jan-2026 06:34 PM,16Rengsapali3KAPILAS.pdf (972.00 KB),Kapilash Naik is the lottery winner,1,3332012,ABHIJEET MANDAL,28-Dec-2025 10:08 AM,Rejected-AOC,Rejected by Lottery,31-Jan-2026 06:34 PM,AOC,"CE,Minor Irrigation,BBSR||SEKBKMIC-BHAWANIPATNA||KALAHANDI",SE MID BPT 07/2025-26 (Double Cover),2025_CEMIB_123387_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"License, GSTIN, PAN, Affidavit, EMDs, Paper cost, no relation certificate etc as per DTCN","50,200",Yes,fixed,,Nil,Nil,sl 16 Construction of Rengsapali-III (KA-03-0093) Check Dam over Local Nalla near village Rengsapali in Golamunda Block of Kalahandi District under MATY Scheme 2025-26,Construction of Rengsapali-III (KA-03-0093) Check Dam over Local Nalla near village Rengsapali in Golamunda Block of Kalahandi District under MATY Scheme 2025-26,Please refer Tender documents. ,NA ,"50,16,150",Civil Works - Others,Check Dam ,Tender,90.0,180.0,Golamunda,766016.0,NA ,NA ,NA ,"O/o the SE, M.I. Division, Kalahandi, Bhawanipatna",No ,No,19-Dec-2025 11:00 AM,30-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,29-Dec-2025 05:30 PM,19-Dec-2025 11:00 AM ,26-Dec-2025 05:30 PM ,19-Dec-2025 11:00 AM,29-Dec-2025 05:30 PM,06-Jan-2026 11:00 AM,"SE, M.I. Division, Kalahandi, Bhawanipatna","O/o the SE, M.I. Division, Kalahandi, Bhawanipatna",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3336959,AMIT KUMAR AGRAWAL,29-Dec-2025 04:19 PM,Rejected-AOC,Rejected by Lottery,31-Jan-2026 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Valid Mobile No and Email address Experience Certificate and Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3328077,ANJAN KUMAR BEHERA,27-Dec-2025 10:39 PM,Rejected-AOC,Rejected by Lottery,31-Jan-2026 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3319994,ANKIT KUMAR AGRAWAL,27-Dec-2025 08:45 AM,Rejected-AOC,Rejected by Lottery,31-Jan-2026 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3334756,Bhakta Charan Bhoi,28-Dec-2025 11:07 PM,Rejected-AOC,Rejected by Lottery,31-Jan-2026 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3329512,Bhawani Sankar Harpal,26-Dec-2025 05:48 PM,Rejected-AOC,Rejected by Lottery,31-Jan-2026 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3333868,Bhojraj Rana,28-Dec-2025 07:03 PM,Rejected-AOC,Rejected by Lottery,31-Jan-2026 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3333050,BIKASH KUMAR AGRAWAL,28-Dec-2025 06:49 PM,Rejected-AOC,Rejected by Lottery,31-Jan-2026 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3332959,Chanchal Mahapatra,29-Dec-2025 08:53 AM,Rejected-AOC,Rejected by Lottery,31-Jan-2026 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3324368,CHANDRAKANTA PANDA,26-Dec-2025 09:34 AM,Rejected-AOC,Rejected by Lottery,31-Jan-2026 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
