Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
Finance,"As per technical evaluation, 6 out of 6 bidders are found to be qualified",ELEENA MISHRA,08-Jan-2026 01:44 PM,finance_566934.pdf,BOQ Comparative Chart,1.0,3288314.0,SULOCHANA RAUT,INR,"807,156","CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Balasore",2025_CEMIB_121937_7,SEMIDBLS-07/2025- 26,Improvement to Saheb Bandha Check Dam in Khaira Block of Balasore District for the year 2025-26,Superintending Engineer,Internal,"The following persons of this office will act as members of tender committee of this division Smt Rama Dutta, D.A.O. as Member, Er Eleena Mishra, A.E (Estimator)as Member. Er Saraswati Hembram, A.E.",ELEENA MISHRA,08-Jan-2026 01:51 PM,finsummary_566934.pdf (45.92 KB),Superintending Engineer,Internal,"The following persons of this office will act as members of tender committee of this division Smt Rama Dutta, D.A.O. as Member, Er Eleena Mishra, A.E (Estimator)as Member. Er Saraswati Hembram, A.E.",ELEENA MISHRA,08-Jan-2026 01:47 PM,techsummary_566934.pdf (45.92 KB),08-Jan-2026,"INR 807,156",60.0,ELEENA MISHRA,08-Jan-2026 01:56 PM,AOCSahebbandha.pdf (213.00 KB),"As per the result of transparent lottery, the lowest bidder being 14.99%less than the estimated cost put to tender, Sulochana Raut contractor is declared as winner",1,3285647,AJIT KUMAR SWAIN,07-Dec-2025 12:36 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,08-Jan-2026 01:51 PM,AOC,Improvement to Saheb Bandha Check Dam in Khaira Block of Balasore District for the year 2025-26,Improvement to Saheb Bandha Check Dam in Khaira Block of Balasore District for the year 2025-26,Please refer Tender documents. ,NA ,"9,49,483",Civil Works - Others,NA ,Tender,90.0,60.0,Khaira Block,756048.0,NA ,NA ,NA ,Office of the Superintending Engineer Minor Irriga,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online Bid cost, EMD, Valid RC, GSTN, PAN, NRC, Affidavit and any other documents as per DTCN","CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Balasore",SEMIDBLS-07/2025- 26,2025_CEMIB_121937_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"9,500",Yes,fixed,,Nil,Nil,29-Nov-2025 10:00 AM,09-Dec-2025 11:00 AM,29-Nov-2025 10:00 AM,08-Dec-2025 05:00 PM,NA ,NA ,29-Nov-2025 10:00 AM,08-Dec-2025 05:00 PM,"Superintending Engineer,M.I Division, Balasore",Office of the Superintending Engineer Minor Irrigation Division Balasore Near Fandi Chhaka Balasore 756001,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3284608,ANANTA PRASAD BARIK,08-Dec-2025 11:30 AM,Rejected-Finance,1st lowest tenderer is not Lottery winner,08-Jan-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3289346,DAYANIDHI KABI,08-Dec-2025 04:24 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,08-Jan-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3288290,RABINDRA KUMAR ROUT,08-Dec-2025 01:11 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,08-Jan-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3282545,Sanjaya Kumar Mohapatra,05-Dec-2025 04:32 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,08-Jan-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3288314,SULOCHANA RAUT,08-Dec-2025 04:20 PM,Accepted-AOC,You have been awarded the contract for this tender,08-Jan-2026 01:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
