S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,2941488.0,M/s. DNS CONSTRUCTIONS,INR,"32,797,445",Technical,52NOS. BIDDERS ARE PARTICIPATED,Pradeep Kisan,31-May-2025 06:09 PM,,CE RW I||RWCIRCLE-BHAWANIPATNA,2025_CERWI_113391_3,BPT/Online-03/2025-26,Construction of bridge over Local Nallah at 3.60Km. on Sankenguda to Mangalpur Road in the district of Kalahandi for the year 2025-26 under Setu Bandhana Yojana.,Arjuna Behera,Internal,,Pradeep Kisan,21-Sep-2025 08:02 PM,finsummary_539455.pdf (625.07 KB),Arjuna Behera,Internal,,Pradeep Kisan,10-Sep-2025 01:43 PM,13-Sep-2025 11:00 AM,techsummary_539455.pdf (1162.19 KB),Finance,50nos. bidders are participated,Biswajit Rayaguru,15-Sep-2025 12:45 PM,,BOQ Comparative Chart,1,2943406,ABHIJEET BOSE,30-May-2025 03:07 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,02-Jan-2026,"INR 37,874,891",365.0,Pradeep Kisan,02-Jan-2026 07:18 PM,Document62.pdf (364.00 KB),AOC,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of bridge over Local Nallah at 3.60Km. on Sankenguda to Mangalpur Road in the district of Kalahandi for the year 2025-26 under Setu Bandhana Yojana.,Construction of bridge over Local Nallah at 3.60Km. on Sankenguda to Mangalpur Road in the district of Kalahandi for the year 2025-26 under Setu Bandhana Yojana.,Please refer Tender documents. ,NA ,"3,78,75,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,Dharmagarh/Kalahandi,766105.0,NA ,NA ,NA ,"O/o the CCE RW Circle, Bhawanipatna",No ,No,CE RW I||RWCIRCLE-BHAWANIPATNA,BPT/Online-03/2025-26,2025_CERWI_113391_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, PAN, GSTIN, Affidavit regarding correctness, No relation certificate",16-May-2025 09:00 AM,31-May-2025 11:00 AM,16-May-2025 09:00 AM,30-May-2025 05:00 PM,16-May-2025 09:00 AM ,29-May-2025 05:00 PM ,16-May-2025 09:00 AM,30-May-2025 05:00 PM,13-Sep-2025 11:00 AM,"3,78,750",Yes,percentage,1.0%,Nil,Nil,Chief Construction Engineer,"O/o the CCE RW Circle, Bhawanipatna",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2936377,Ajit Pattnaik,28-May-2025 08:45 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, Similar Nature of Work, Work hand,Work experience, machinarie and other document as per DTCN",,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2942465,AMAN AGRAWAL,30-May-2025 03:49 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2942504,ANKITA MUND,30-May-2025 04:30 PM,Rejected-Technical,Disqualified,10-Sep-2025 01:43 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2942666,Ankit Kumar Agrawal,30-May-2025 02:07 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2942972,Anup kumar agrawal,30-May-2025 01:21 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2941713,Bharat Bhusan Panda,30-May-2025 01:19 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2930013,BIJAYA KUMAR BEHERA,29-May-2025 12:00 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2939016,BIKRAM KUMAR GUPTA,29-May-2025 08:36 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2939222,B. K. Construction Co.,28-May-2025 09:55 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2942780,Dhiraj Kumar Agrawal,30-May-2025 02:03 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2939979,ER. MOHIT KUMAR JAIN,29-May-2025 12:41 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
