Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
ST and SC Development Deptt||ITDA Paralakhemundi,2025_STSCD_117654_52,ITDAPKD/04/2025-26,Construction of Additional Classroom at Malaspadar Ashram School in under Mohana Block,1.0,3095068.0,Krushna Sethi,INR,"2,128,635",1,3094737,BABULI BIRUA,22-Sep-2025 02:21 PM,Rejected-Technical,unsuccessful bidder,30-Jan-2026 11:54 AM,30-Jan-2026,"INR 2,128,635",180.0,SANDHYA RANI SABAR,30-Jan-2026 12:06 PM,52malaspadar.pdf (84.00 KB),L1 BIDDER WIN BY LOTTERY AND WORK AWARDED TO Krushna Sethi,Finance,L1 BIDDER WIN BY LOTTERY AND WORK AWARDED TO Krushna Sethi,SANDHYA RANI SABAR,30-Jan-2026 11:31 AM,finance_551657.pdf,BOQ Comparative Chart,Anshuman Mahapatra,Internal,PAITDA,SANDHYA RANI SABAR,30-Jan-2026 12:00 PM,finsummary_551657.pdf (84.20 KB),Anshuman Mahapatra,Internal,PAITDA,SANDHYA RANI SABAR,30-Jan-2026 11:54 AM,techsummary_551657.pdf (84.20 KB),AOC,1.0,ICICI BANK,"25,040",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,ST and SC Development Deptt||ITDA Paralakhemundi,ITDAPKD/04/2025-26,2025_STSCD_117654_52,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,Yes,"Project Administrator, Paralakhemundi,Gajapati","Project Administrator, Paralakhemundi,Gajapati",12-Sep-2025 10:00 AM,23-Sep-2025 11:00 AM,12-Sep-2025 10:00 AM,22-Sep-2025 05:30 PM,NA ,NA ,12-Sep-2025 10:00 AM,22-Sep-2025 05:30 PM,Construction of Additional Classroom at Malaspadar Ashram School in under Mohana Block,Construction of Additional Classroom at Malaspadar Ashram School in under Mohana Block,Please refer Tender documents. ,NA ,"25,03,982",Civil Works - Bridges,Building ,Tender,90.0,180.0,MALASPADAR,761015.0,NA ,NA ,NA ,"o/o Project AdminiProject strator, Paralakhemundi,",No ,No,AOC
,,,,,,,,,2,3095068,Krushna Sethi,22-Sep-2025 03:54 PM,Accepted-AOC,L1 BIDDER WIN BY LOTTERY AND WORK AWARDED TO Krushna Sethi,30-Jan-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3094825,PRABHAKAR GOUDA,22-Sep-2025 03:13 PM,Rejected-Technical,Unsuccessful bidder,30-Jan-2026 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3094650,Sibaram Suar,22-Sep-2025 02:21 PM,Rejected-Technical,unsuccessful bidder,30-Jan-2026 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3090617,SMRUTI SOURABHA NAYAK,20-Sep-2025 03:15 PM,Rejected-Technical,unsuccessful bidder,30-Jan-2026 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
