EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"11,900",Yes,fixed,,Nil,Nil,04-Nov-2025 10:00 AM,19-Nov-2025 11:00 AM,04-Nov-2025 10:00 AM,18-Nov-2025 05:00 PM,NA ,NA ,04-Nov-2025 10:00 AM,18-Nov-2025 05:00 PM,Construction of Bio Medical Waste Management unit at Murgabadi UPHC under Baripada Block in the District Mayurbhanj for the year 2025-26,Construction of Bio Medical Waste Management unit at Murgabadi UPHC under Baripada Block in the District Mayurbhanj for the year 2025-26,Please refer Tender documents. ,NA ,,Civil Works - Buildings,Buildings ,Tender,90.0,90.0,Baripada,757001.0,NA ,NA ,NA ,O/o the SE Mayurbhanj (R and B) Division Baripada,No ,No,SE Mayurbhanj (R and B) Division Baripada,O/o the SE Mayurbhanj (R and B) Division Baripada,"6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BARIPADA,Bid Id No. SE- 48/2025-26,2025_EICCL_120735_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, EMD, GSTIN, PAN, Affidavit, Machinery and other required documents as per DTCN",AOC,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BARIPADA,2025_EICCL_120735_3,Bid Id No. SE- 48/2025-26,Construction of Bio Medical Waste Management unit at Murgabadi UPHC under Baripada Block in the District Mayurbhanj for the year 2025-26,Er Rohan Gourav Ray,Internal,"Er Rohan Gourav Ray SE, Sri J.J.S.G Richards Sr DAO, Sri R. Kishan AEE Estimator",Ansuman Mohapatra,08-Jan-2026 06:10 PM,finsummary_561585.pdf (362.24 KB),Finance,Bid opened,Ansuman Mohapatra,08-Jan-2026 05:53 PM,finance_561585.pdf,BOQ Comparative Chart,1.0,3232096.0,PRAMOD KUMAR BHUJABAL,INR,"1,009,641",1,3220155,ASHOK KUMAR BEHERA,13-Nov-2025 09:47 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,08-Jan-2026 06:10 PM,08-Jan-2026,"INR 1,009,641",90.0,Ansuman Mohapatra,08-Jan-2026 06:13 PM,Agmt_0001.pdf (347.00 KB),Agreement drawn,Er Rohan Gourav Ray,Internal,"Er Rohan Gourav Ray SE, Sri J.J.S.G Richards Sr DAO, Sri R. Kishan AEE Estimator",Ansuman Mohapatra,08-Jan-2026 06:03 PM,techsummary_561585.pdf (256.10 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,2,3221539,BIJAYLAXMI PATI,18-Nov-2025 03:40 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,08-Jan-2026 06:10 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3225674,Biswajit Pramanik,18-Nov-2025 02:42 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,08-Jan-2026 06:10 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3231971,DOLAGOBINDA NAYAK,17-Nov-2025 11:06 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,08-Jan-2026 06:10 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3231814,JAYASMITA DAS,18-Nov-2025 01:28 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,08-Jan-2026 06:10 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3235303,LAXMI NARAYAN DAS,18-Nov-2025 02:12 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,08-Jan-2026 06:10 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3233671,LITA MARNDI,17-Nov-2025 09:24 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,08-Jan-2026 06:10 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3227691,Mina Singh,15-Nov-2025 03:29 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,08-Jan-2026 06:10 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3232096,PRAMOD KUMAR BHUJABAL,17-Nov-2025 01:58 PM,Accepted-AOC,Work order issued,08-Jan-2026 06:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3233972,PRASAD CHANDRA BEHERA,17-Nov-2025 10:25 PM,Rejected-Technical,Bid documents are invalid,08-Jan-2026 06:03 PM,,,,,,,,,,,,,,AOC
