Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY12/2025-26,2025_CEMIB_121898_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"PAN GSTIN, License, Affidavit and as per DTCN",Superintending Engineer,"Superintending Engineer, M.I. Division, Jeypore","68,300",Yes,fixed,,Nil,Nil,Construction of Sujuli Check Dam over Local nalla in Dasmantapur Block of Koraput District under MATY,Construction of Sujuli Check Dam over Local nalla in Dasmantapur Block of Koraput District under MATY,Please refer tender documents ,NA ,"68,28,175",Civil Works - Water Works,NA ,Tender,90.0,180.0,Dasmanthpur,764028.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,25-Nov-2025 10:00 AM,10-Dec-2025 11:00 AM,25-Nov-2025 10:00 AM,09-Dec-2025 05:30 PM,NA ,NA ,25-Nov-2025 10:00 AM,09-Dec-2025 05:30 PM,15-Dec-2025 05:00 PM,1.0,ICICI BANK,AOC,28-Jan-2026,"INR 5,804,631",180.0,Nihar Ranjan Behera,28-Jan-2026 12:28 PM,Sujuliaoc.pdf (172.00 KB),AOC,1,3282841,BIRAJA MAHIMA PANIGRAHI,05-Dec-2025 08:53 PM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,Superintending Engineer,Internal,,Nihar Ranjan Behera,15-Dec-2025 04:26 PM,15-Dec-2025 05:00 PM,techsummary_566692.pdf (173.45 KB),Finance,On opening the bids total 13 nos. of bids were found to be received online. Hence 13 nos. of bids were found to be valid.,Nihar Ranjan Behera,28-Jan-2026 12:18 PM,finance_566692.pdf,BOQ Comparative Chart,Technical,On opening the bids total 13 nos. of bids were found to be received online. Hence 13 nos. of bids were found to be valid.,Nihar Ranjan Behera,15-Dec-2025 04:22 PM,technical_566692.pdf,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_121898_5,MIDJEY12/2025-26,Construction of Sujuli Check Dam over Local nalla in Dasmantapur Block of Koraput District under MATY,Superintending Engineer,Internal,,Nihar Ranjan Behera,28-Jan-2026 12:23 PM,finsummary_566692.pdf (128.83 KB),1.0,3286858.0,JUDHISTIR BEHERA,INR,"5,804,631",AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2,3291916,DILIP KUMAR PRADHAN,09-Dec-2025 04:23 PM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3290904,DURMAN MUDULI (S.T),09-Dec-2025 12:59 PM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3291007,Gajendra Kumar Dami,09-Dec-2025 11:05 AM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3290169,JITENDRA SUBUDHI,08-Dec-2025 05:54 PM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3288605,JOGESH DAMI,08-Dec-2025 01:16 PM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3286858,JUDHISTIR BEHERA,07-Dec-2025 08:09 PM,Accepted-AOC,Accept,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3287054,PURNA KUMAR SAHU,07-Dec-2025 09:14 PM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3282699,RAJU BAGH,05-Dec-2025 05:19 PM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3291884,SANTOSH KUMAR PANDA,09-Dec-2025 04:27 PM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,3290282,SHARAD MUDULI,08-Dec-2025 11:30 PM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,3291666,Trinath Bisoi,09-Dec-2025 02:46 PM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,13,3283633,Tuna Kandhapan,06-Dec-2025 11:10 AM,Rejected-AOC,Reject,28-Jan-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
