Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"S.E, R.W.Division, Cuttack","At.-REO Colony, P.O.-Nayabazar, Dist.-Cuttack",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD, PAN, Affidavit,correctness and No relation certificate",S/R to Repair of H.L. Bridge over river Kandal on Pahanga - Kalakha Road for the year 2025-26,S/R to Repair of H.L. Bridge over river Kandal on Pahanga - Kalakha Road for the year 2025-26,Refer tender documents ,NA ,"21,00,829",Civil Works - Roads,NA ,Tender,90.0,30.0,"S.E, R.W.Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,"21,008",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,24-Oct-2025 09:00 AM,03-Nov-2025 11:00 AM,24-Oct-2025 09:00 AM,01-Nov-2025 05:00 PM,24-Oct-2025 09:00 AM ,31-Oct-2025 05:00 PM ,24-Oct-2025 09:00 AM,01-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-08/2025-26,2025_CERWI_119906_33,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"S.E, R.W.Division, Cuttack",Internal,"DAO-I and A.E. Estimator of R.W.Division, Cuttack",Priyadarshini Balsamanta,15-Jan-2026 09:00 AM,finsummary_557908.pdf (3375.84 KB),"S.E, R.W.Division, Cuttack",Internal,"DAO-I and A.E. Estimator of R.W.Division, Cuttack",Priyadarshini Balsamanta,15-Jan-2026 08:52 AM,techsummary_557908.pdf (3375.84 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_119906_33,RWD CTC-08/2025-26,S/R to Repair of H.L. Bridge over river Kandal on Pahanga - Kalakha Road for the year 2025-26,1.0,3171784.0,JASMINE ENTERPRISES,INR,"1,785,915",1,3166660,ABANIKANTA JENA,29-Oct-2025 07:28 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 09:08 AM,15-Jan-2026,"INR 1,785,915",30.0,Priyadarshini Balsamanta,15-Jan-2026 09:08 AM,WO.pdf (872.00 KB),Finance,Tender will be open by technical committee held on dt.03.11.2025,Priyadarshini Balsamanta,25-Nov-2025 11:23 PM,finance_557908.pdf,BOQ Comparative Chart,AOC
,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3168284,ABHIJEET JENA,30-Oct-2025 04:41 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 09:08 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3158636,ABINASH NAYAK,27-Oct-2025 05:32 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 09:08 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3152206,Alekha Chandra Bastia,27-Oct-2025 12:37 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 09:08 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3172185,AMARESWAR SWAIN,01-Nov-2025 02:13 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 09:08 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3171280,AMLAN JYOTI PRAHARAJ,01-Nov-2025 08:27 AM,Rejected-AOC,Not selected in lottery,15-Jan-2026 09:08 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3166031,ASHOK KUMAR PATRA,29-Oct-2025 03:35 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 09:08 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3169841,BISWANATH TRIPATHY,01-Nov-2025 12:38 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 09:08 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3170657,DILLIP KUMAR PARIJA,31-Oct-2025 06:59 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 09:08 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3163670,DIPTI RANJAN NAYAK,30-Oct-2025 03:56 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 09:08 AM,,,,,,,,,,,,,AOC
