S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3018335.0,MRUTUNJAYA PATTNAIK,INR,"10,049,187.19",CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_115747_1,CCERWCSBD Online - 08/2025-26,Construction of Daycare PHC (N) at MV-55 in the District of Malkangiri.,Technical,bidders name,Sushama Bhoi,24-Sep-2025 06:04 PM,technical_546486.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,09-Jan-2026 07:42 PM,finsummary_546486.pdf (986.75 KB),1.0,REKOVE,REVOKE-MV55,24-Sep-2025 05:26 PM,55.pdf ,231.32,Technical Opening,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda",Sushama Bhoi,24-Sep-2025 06:54 PM,25-Sep-2025 11:00 AM,techsummary_546486.pdf (2651.48 KB),Finance,cs,Rinku Nahak,09-Jan-2026 07:37 PM,finance_546486.pdf,BOQ Comparative Chart,1,3018182,Aryan Tawari,30-Jul-2025 03:17 PM,Rejected-AOC,REJECT,09-Jan-2026 07:50 PM,09-Jan-2026,"INR 11,821,182.436",367.0,Rinku Nahak,09-Jan-2026 07:49 PM,AOCMV55.pdf (737.00 KB),"Award of contract to Sri Mrutunjaya Pattnaik, B Class Engineering Contractor through transparency lottery system",AOC,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 08/2025-26,2025_CERWI_115747_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,19-Jul-2025 11:00 AM,31-Jul-2025 11:00 AM,19-Jul-2025 11:00 AM,30-Jul-2025 05:00 PM,19-Jul-2025 11:00 AM ,29-Jul-2025 02:00 PM ,19-Jul-2025 11:00 AM,30-Jul-2025 05:00 PM,25-Sep-2025 11:00 AM,1.0,ICICI BANK,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",Construction of Daycare PHC (N) at MV-55 in the District of Malkangiri.,Construction of Daycare PHC (N) at MV-55 in the District of Malkangiri.,N.A ,NA ,"1,18,23,000",Civil Works - Buildings,NA ,Tender,90.0,367.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,"1,19,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate","10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3017429,Dilip Somani,30-Jul-2025 10:33 AM,Rejected-AOC,REJECT,09-Jan-2026 07:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3016627,GIRADA SHYAM SUNDAR RAO,29-Jul-2025 02:36 PM,Rejected-AOC,REJECT,09-Jan-2026 07:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3017118,GITANJALI PADHAN,29-Jul-2025 11:35 PM,Rejected-AOC,REJECT,09-Jan-2026 07:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3018304,Mohanlal Padhan,30-Jul-2025 04:19 PM,Rejected-AOC,REJECT,09-Jan-2026 07:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3018335,MRUTUNJAYA PATTNAIK,30-Jul-2025 04:04 PM,Accepted-AOC,"Award of contract to Sri Mrutunjaya Pattnaik, B Class Engineering Contractor through transparency lottery system",09-Jan-2026 07:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3017790,PUJA SARKAR,30-Jul-2025 01:19 PM,Rejected-AOC,REJECT,09-Jan-2026 07:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3017770,SRI DINESH PADHIARY,30-Jul-2025 01:03 PM,Rejected-AOC,REJECT,09-Jan-2026 07:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3018348,SRI SANJAY SARKAR,30-Jul-2025 04:37 PM,Rejected-AOC,REJECT,09-Jan-2026 07:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3012631,Subham Surana,30-Jul-2025 11:48 AM,Rejected-AOC,REJECT,09-Jan-2026 07:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3018093,TAPAN KUMAR DALAI,30-Jul-2025 02:24 PM,Rejected-AOC,REJECT,09-Jan-2026 07:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
