Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,18NOS BIDDERS PARTICIPATED IN THIS PACKAGE,Nimain Charan Sethi,26-Dec-2025 12:40 PM,finance_566204.pdf,BOQ Comparative Chart,1.0,3259016.0,Ashish Samal,INR,"15,172,692","Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",2025_OLIC_121665_21,1173/LID/KDP/2025-25,SANSIDHA_VI_SANSIDHA_VII RL,EXECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,Nimain Charan Sethi,16-Jan-2026 12:23 PM,finsummary_566204.pdf (95.33 KB),ECECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,Nimain Charan Sethi,26-Dec-2025 12:45 PM,techsummary_566204.pdf (95.33 KB),16-Jan-2026,"INR 15,172,692",90.0,Nimain Charan Sethi,16-Jan-2026 12:27 PM,SANSIDHA_VI_SANSIDHA_VII_SANSIDHA_VIII.pdf (242.00 KB),WON THE LOTTERY,1,3251937,ABHISHEKA SARANGI,24-Nov-2025 06:37 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,"11,800",0.0,Nil,Nil,No,21-Nov-2025 11:00 AM,29-Nov-2025 11:00 AM,21-Nov-2025 11:00 AM,28-Nov-2025 05:00 PM,21-Nov-2025 11:00 AM ,27-Nov-2025 05:00 PM ,21-Nov-2025 11:00 AM,28-Nov-2025 05:00 PM,1.0,ICICI BANK,"1,51,727",Yes,fixed,,Nil,Nil,"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA","OFFICE OF THE EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA AT/PO-TINIMUHANI",1.0,Fee/PreQual/Technical/Finance,.pdf,paper cost/RC/GST/PAN/Joint Venture/HT licensee/Experience and other documents as per DTCN,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",1173/LID/KDP/2025-25,2025_OLIC_121665_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SANSIDHA_VI_SANSIDHA_VII RL,Papaer cost/RC/PAN/GST/Joint Venture/HT license/Esxperience with other documents as per DTCN,Please refer Tender documents. ,NA ,"1,51,72,692",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,NA ,KENDRAPARA,754211.0,NA ,NA ,NA ,"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3264367,ABINASH KUMAR MOHANTY,28-Nov-2025 04:38 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3253789,Ambika Prasad Samal,26-Nov-2025 07:59 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3259016,Ashish Samal,28-Nov-2025 12:06 AM,Accepted-AOC,WON THE LOTTERY,16-Jan-2026 12:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3261917,ASHOKDEBI PRASAD PANDA,27-Nov-2025 11:17 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3264353,G ASHISH KUMAR NAYAK,28-Nov-2025 04:12 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3244323,KAMALAKANTA MOHARANA,24-Nov-2025 12:45 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3261329,MANORANJAN PANDA,28-Nov-2025 03:16 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3263072,M/S. BALIYARSINGH ELECTRICAL ENGINEERING & CONSTRUCTION,28-Nov-2025 01:17 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3244058,MS NIRUPAMA ELECTRICALS,27-Nov-2025 03:41 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3256530,M/S POWER POINT ENGINEERING PRIVATE LIMITED,28-Nov-2025 12:05 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3261691,PRATAP RANJAN PANDA,27-Nov-2025 09:01 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3256211,Sarala Prasad Das,26-Nov-2025 03:52 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3259894,SARAT CHANDRA DASH,28-Nov-2025 03:15 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3244826,SOURAV PRAKASH NAYAK,21-Nov-2025 04:51 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3259080,SRIKANT MALLIK,27-Nov-2025 12:46 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3252124,Trupti Electrical,24-Nov-2025 07:31 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3261783,VISHNU ENTERPRISE PROP. SHAKTI PRASAD SWAIN,27-Nov-2025 09:25 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 12:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
