S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,20-Sep-2025 06:55 PM,06-Oct-2025 11:00 AM,20-Sep-2025 06:55 PM,04-Oct-2025 05:00 PM,20-Sep-2025 06:55 PM ,03-Oct-2025 05:00 PM ,20-Sep-2025 06:55 PM,04-Oct-2025 05:00 PM,21-Nov-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Experience,Bid security and other documents as per DTCN",CE RW I||RWCIRCLE-RAYAGADA,NCB-17/RWCRGDA/2025-26,2025_CERWI_118305_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Chief Construction Engineer RWC Rayagada,"Chief Construction Engineer RWC Rayagada, at raniguda hatipathar road","10,000",0.0,Nil,Nil,No,Periodical Renewal work of 5 year completed PMGSY Post DLP roads for the financial year 2025-26 under State Budget Grant for the Package No. PM-GPT-01-2025-26,Periodical Renewal work of 5 year completed PMGSY Post DLP roads for the financial year 2025-26 under State Budget Grant for the Package No. PM-GPT-01-2025-26,Please refer Tender documents. ,NA ,"2,48,73,000",Civil Works - Roads,NA ,Tender,90.0,180.0,GAJAPATI,761200.0,NA ,NA ,NA ,"O/O CCE,RWC,RAYAGADA",No ,No,"2,48,730",Yes,fixed,,Nil,Nil,AOC,05-Jan-2026,"INR 21,144,381.58",180.0,Binod Behari Das,05-Jan-2026 08:14 PM,GPT01.pdf (12608.00 KB),Work Awarded to Allapa Akhil Kumar,1,3108838,ALLAPA AKHIL KUMAR,04-Oct-2025 12:22 PM,Accepted-AOC,Admitted,05-Jan-2026 08:15 PM,Finance,Verified.,Santoshi Mahapatra,21-Nov-2025 01:27 PM,finance_553203.pdf,BOQ Comparative Chart,"Chief Construction Engineer,RW Circle Rayagada",Internal,"CCE Rayagada, Executive Engineer RW Division Gajapati, DAO Gajapati, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,17-Nov-2025 08:20 PM,21-Nov-2025 11:00 AM,techsummary_553203.pdf (8013.66 KB),OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Gajapati, DAO Gajapati, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,31-Dec-2025 07:37 PM,finsummary_553203.pdf (12608.11 KB),Technical,VERIFIED,Arjuna Muduli,06-Oct-2025 01:14 PM,,CE RW I||RWCIRCLE-RAYAGADA,2025_CERWI_118305_5,NCB-17/RWCRGDA/2025-26,Periodical Renewal work of 5 year completed PMGSY Post DLP roads for the financial year 2025-26 under State Budget Grant for the Package No. PM-GPT-01-2025-26,1.0,3108838.0,ALLAPA AKHIL KUMAR,INR,"21,144,381.58",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3109568,Bhagaban Muguli,04-Oct-2025 03:38 PM,Rejected-AOC,Admitted,05-Jan-2026 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3109204,M/s SHREE INFRA AND CO,04-Oct-2025 01:38 PM,Rejected-Finance,Reject,31-Dec-2025 07:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3109193,M/S S. KARUNAKAR RAO,04-Oct-2025 02:12 PM,Rejected-Finance,Reject,31-Dec-2025 07:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3104448,PRASANTA KUMAR SAHU,01-Oct-2025 05:39 PM,Rejected-Finance,Reject,31-Dec-2025 07:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3104069,Rajani Kanta Nayak,02-Oct-2025 08:42 PM,Rejected-Finance,Reject,31-Dec-2025 07:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3109479,ROUTHU SUNIL KUMAR,04-Oct-2025 04:26 PM,Rejected-Finance,Reject,31-Dec-2025 07:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3109708,Sanjeev Kumar Devata,04-Oct-2025 04:32 PM,Rejected-Finance,Reject,31-Dec-2025 07:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3109364,SUBASH CHANDRA MOHAPATRA,04-Oct-2025 04:53 PM,Rejected-Finance,Reject,31-Dec-2025 07:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3108003,Subrat Kumar Patro,03-Oct-2025 08:04 PM,Rejected-Finance,Reject,31-Dec-2025 07:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
