Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFO(T) KJR-02/2025-26,2025_DFOKJ_119942_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"19,800",Yes,fixed,,Nil,Nil,Construction of RCC Check Dam on nallah-1 inside Tungurubahal DPF of Telkoi Range under OMBADC (DPR 2022-23),Construction of RCC Check Dam on nallah-1 inside Tungurubahal DPF of Telkoi Range under OMBADC (DPR 2022-23),Please refer Tender documents. ,NA ,"19,71,387",Civil Works - Water Works,NA ,Tender,120.0,90.0,Tungurubahal of Telkoi Range,758019.0,NA ,NA ,NA ,"Office of the Divisional Forest Officer, Keonjhar",No ,No,DFO Keonjhar,AT-PO-DIST- KEONJHAR-758001,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, PAN, GST, ContractorRegistration Certificate and Other Documents as per DTCN","6,000",Nil,Nil,No,29-Oct-2025 10:00 AM,12-Nov-2025 11:30 AM,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,29-Oct-2025 10:00 AM ,11-Nov-2025 05:00 PM ,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,1.0,ICICI BANK,AOC,"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,31-Jan-2026 04:07 PM,finsummary_558811.pdf (1537.77 KB),"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,31-Jan-2026 01:18 PM,techsummary_558811.pdf (3049.30 KB),Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2025_DFOKJ_119942_14,FEnCC-DFO(T) KJR-02/2025-26,Construction of RCC Check Dam on nallah-1 inside Tungurubahal DPF of Telkoi Range under OMBADC (DPR 2022-23),1.0,3211058.0,SEKH JAHUR,INR,"1,977,534",1,3172744,ALOK OJHA,03-Nov-2025 12:12 PM,Rejected-AOC,Not Selected,31-Jan-2026 04:11 PM,31-Jan-2026,"INR 1,977,534",90.0,Dhanraj Hanumant Dhamdhere,31-Jan-2026 04:11 PM,Workorder.pdf (488.00 KB),Work order issue to l1 bidder slected through lottery,Finance,Tender Open,Dhanraj Hanumant Dhamdhere,17-Nov-2025 11:32 AM,finance_558811.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2,3212465,BALARAM SENAPATI,11-Nov-2025 01:54 PM,Rejected-AOC,Not Selected,31-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3209516,BASANTA KUMAR MAHANTA,11-Nov-2025 12:01 AM,Rejected-AOC,Not Selected,31-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3188794,BISHNUPRASAD JENA,06-Nov-2025 01:31 PM,Rejected-AOC,Not Selected,31-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3211130,Chadan Maharana,11-Nov-2025 09:46 AM,Rejected-AOC,Not Selected,31-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3211802,CHHEDILAL KATARUKA,11-Nov-2025 12:18 PM,Rejected-AOC,Not Selected,31-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3212699,Chinmay Kumar Dash,11-Nov-2025 02:15 PM,Rejected-AOC,Not Selected,31-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3204934,JAGDEV PANDA,10-Nov-2025 01:57 PM,Rejected-AOC,Not Selected,31-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3208349,KOUSIK DAS,10-Nov-2025 04:53 PM,Rejected-AOC,Not Selected,31-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3179919,LOHITA RANI NAYAK,11-Nov-2025 12:59 PM,Rejected-AOC,Not Selected,31-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
