Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,Online -EERKL-17 of 2025-26,2025_CERWI_121754_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Repair and Renovation of Non-Residential Building Projects at SP Rourkela,Repair and Renovation of Non-Residential Building Projects at SP Rourkela,Please refer Tender documents. ,NA ,"5,88,297",Civil Works - Buildings,NA ,Tender,90.0,30.0,ROURKELA,769004.0,NA ,NA ,NA ,"Office of the Executive Engineer,RW Division,Rourk",No ,No,21-Nov-2025 06:00 PM,03-Dec-2025 09:00 AM,21-Nov-2025 06:00 PM,02-Dec-2025 05:00 PM,21-Nov-2025 06:00 PM ,01-Dec-2025 05:00 PM ,21-Nov-2025 06:00 PM,02-Dec-2025 05:00 PM,"Ececutive Engineer, RW Division,Rourkela","Office of the Executive Engineer,RW Division,Rourk","4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN Card, GSTN, Registration Certificate and other documents as per DTCN","5,880",Yes,fixed,,Nil,Nil,1,ICICI BANK,AOC,1,3269043,BRAJA MOHAN BEURA,01-Dec-2025 10:30 PM,Accepted-AOC,Awarded,13-Jan-2026 12:04 PM,13-Jan-2026,"INR 500,111",30.0,Dasharathi Sethy,13-Jan-2026 12:04 PM,01.pdf (677.00 KB),Awarded Cost,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,13-Jan-2026 11:55 AM,techsummary_566349.pdf (676.99 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_121754_1,Online -EERKL-17 of 2025-26,Repair and Renovation of Non-Residential Building Projects at SP Rourkela,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,13-Jan-2026 11:59 AM,finsummary_566349.pdf (677.00 KB),Finance,2 bidders applied,Dasharathi Sethy,13-Jan-2026 11:51 AM,,BOQ Comparative Chart,1.0,3269043.0,BRAJA MOHAN BEURA,INR,"500,111",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,2,ICICI NEFT/RTGS,AOC,2,3266172,SASMITA SAMAL,30-Nov-2025 09:27 PM,Rejected-AOC,Rejected by the committee,13-Jan-2026 12:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
