Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit GSTIN PAN RC and other papers as per DTCN,"28,710",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,EERWRGD Online 05 2025-26,2025_CERWI_120952_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Maintenance to PWD Road Pitajodi OR 27 268 road in Kashipur Block for the year 2025 26,Maintenance to PWD Road Pitajodi OR 27 268 road in Kashipur Block for the year 2025 26,NA ,NA ,"28,71,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Rayagada,765001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAYAGADA",No ,No,Executive Engineer,"RURAL WORKS DIVISION, RAYAGADA",08-Nov-2025 10:00 AM,18-Nov-2025 11:00 AM,08-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,08-Nov-2025 10:00 AM ,15-Nov-2025 05:00 PM ,08-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,AOC,Executive Engineer,Internal,,Prasanna Kumar Pattanaik,19-Jan-2026 12:45 PM,finsummary_562794.pdf (592.40 KB),CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,2025_CERWI_120952_1,EERWRGD Online 05 2025-26,Maintenance to PWD Road Pitajodi OR 27 268 road in Kashipur Block for the year 2025 26,1.0,3227761.0,SUNITA NAIK,INR,"2,440,626.765",Finance,verified,Prasanna Kumar Pattanaik,24-Nov-2025 05:24 PM,,BOQ Comparative Chart,1,3225628,AJAY NAIK,14-Nov-2025 05:55 PM,Rejected-AOC,1st LOWEST,19-Jan-2026 01:03 PM,19-Jan-2026,"INR 2,440,626.765",60.0,Prasanna Kumar Pattanaik,19-Jan-2026 01:03 PM,WORKORDERPITAJODI.pdf (2468.00 KB),Executive Engineer,Internal,,Prasanna Kumar Pattanaik,19-Jan-2026 12:35 PM,techsummary_562794.pdf (592.40 KB),AOC
,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3229313,BAPINA NAIK,16-Nov-2025 09:59 PM,Rejected-AOC,1st LOWEST,19-Jan-2026 01:03 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3231478,CHANDRA SEKHAR SAHUKAR,17-Nov-2025 12:25 PM,Rejected-AOC,1st LOWEST,19-Jan-2026 01:03 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3227094,Dhiren Kumar Nayak,15-Nov-2025 12:51 PM,Rejected-AOC,1st LOWEST,19-Jan-2026 01:03 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3229582,JAGANNATH SAHU,17-Nov-2025 07:59 AM,Rejected-AOC,1st LOWEST,19-Jan-2026 01:03 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3229154,JHUNU BAGH,16-Nov-2025 12:44 PM,Rejected-AOC,1st LOWEST,19-Jan-2026 01:03 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3232183,JULLY BEHERA,17-Nov-2025 03:56 PM,Rejected-AOC,1st LOWEST,19-Jan-2026 01:03 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3230295,MITHUN PATRA,17-Nov-2025 06:48 AM,Rejected-AOC,1st LOWEST,19-Jan-2026 01:03 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3225853,PABITRA HUIKA,15-Nov-2025 05:59 PM,Rejected-AOC,1st LOWEST,19-Jan-2026 01:03 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3225923,SANDU MAJHI,15-Nov-2025 10:04 AM,Rejected-AOC,1st LOWEST,19-Jan-2026 01:03 PM,,,,,,,,,,,,,AOC
