S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Stage
1.0,3086602.0,DILIP BISWAS,INR,"423,522",Finance,47 bidders participated for the above work,Gobinda Chandra Tudu,18-Jan-2026 01:00 PM,finance_552515.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,18-Jan-2026 01:14 PM,finsummary_552515.pdf (213.13 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,2025_CERWI_118011_1,Online Tender 07 RWD-UKT 2025-26 (15),Storage godown Building occupied by the JE Umerkote,Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,18-Jan-2026 01:07 PM,techsummary_552515.pdf (213.13 KB),18-Jan-2026,"INR 423,522",30.0,Gobinda Chandra Tudu,18-Jan-2026 01:22 PM,agmt15.pdf (613.00 KB),agmt value,1,3082823,AJAYA KUMAR BEHERA,19-Sep-2025 09:21 PM,Rejected-AOC,Disqualified in transparent lottery,18-Jan-2026 01:22 PM,AOC,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,Online Tender 07 RWD-UKT 2025-26 (15),2025_CERWI_118011_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,13-Sep-2025 04:00 PM,22-Sep-2025 11:00 AM,13-Sep-2025 04:00 PM,20-Sep-2025 05:00 PM,13-Sep-2025 04:00 PM ,19-Sep-2025 01:00 PM ,13-Sep-2025 04:00 PM,20-Sep-2025 05:00 PM,"4,982",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,Storage godown Building occupied by the JE Umerkote,Storage godown Building occupied by the JE Umerkote,NA ,NA ,"4,98,202",Civil Works - Buildings,NA ,Tender,90.0,30.0,Umerkote,764073.0,NA ,NA ,NA ,"EE, RW Division-II, Nabarangpur, Umerkote",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, Valid PAN, GST, CASTE, AFFIDAVIT AND Other Documents as per DTCN",1.0,ICICI BANK,"Executive Engineer, RW Division-II, Umerkote","O/o the Executive Engineer, Rural Works Division-II, Nabarangpur, Umerkote",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3088211,AJIT SWAIN,19-Sep-2025 02:15 PM,Rejected-AOC,Disqualified in transparent lottery,18-Jan-2026 01:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3085304,ALEKHA CHANDRA MOHANTY,17-Sep-2025 07:50 PM,Rejected-AOC,Disqualified in transparent lottery,18-Jan-2026 01:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3084275,ANJALI BISWAS,18-Sep-2025 12:06 PM,Rejected-AOC,Disqualified in transparent lottery,18-Jan-2026 01:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3089206,ARUN KUMAR SETHY,19-Sep-2025 09:10 PM,Rejected-AOC,Disqualified in transparent lottery,18-Jan-2026 01:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3090248,A SAI KUMAR,20-Sep-2025 02:07 PM,Rejected-AOC,Disqualified in transparent lottery,18-Jan-2026 01:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3087319,ASHOK MOHANTY,18-Sep-2025 11:32 PM,Rejected-AOC,Disqualified in transparent lottery,18-Jan-2026 01:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3090879,BALAJI KUMAR CHOUDHURY,20-Sep-2025 04:40 PM,Rejected-AOC,Disqualified in transparent lottery,18-Jan-2026 01:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3086881,BASANTA KUMAR TRIPATHY,18-Sep-2025 07:06 PM,Rejected-AOC,Disqualified in transparent lottery,18-Jan-2026 01:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3089415,BASANTI PARIDA,19-Sep-2025 11:03 PM,Rejected-AOC,Disqualified in transparent lottery,18-Jan-2026 01:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
