Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFO(T) KJR-02/2025-26,2025_DFOKJ_119942_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"19,800",Yes,fixed,,Nil,Nil,29-Oct-2025 10:00 AM,12-Nov-2025 11:30 AM,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,29-Oct-2025 10:00 AM ,11-Nov-2025 05:00 PM ,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,1.0,ICICI BANK,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, PAN, GST, ContractorRegistration Certificate and Other Documents as per DTCN",Construction of RCC Check Dam on nallah-1 inside Belda RF of Patna Range under OMBADC (DPR 2022-23),Construction of RCC Check Dam on nallah-1 inside Belda RF of Patna Range under OMBADC (DPR 2022-23),Please refer Tender documents. ,NA ,"19,71,387",Civil Works - Water Works,NA ,Tender,120.0,90.0,Belda RF of Patna Range,758030.0,NA ,NA ,NA ,"Office of the Divisional Forest Officer, Keonjhar",No ,No,DFO Keonjhar,AT-PO-DIST- KEONJHAR-758001,AOC,"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,27-Jan-2026 12:09 PM,finsummary_558782.pdf (885.54 KB),"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,27-Jan-2026 12:03 PM,techsummary_558782.pdf (1573.23 KB),Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2025_DFOKJ_119942_12,FEnCC-DFO(T) KJR-02/2025-26,Construction of RCC Check Dam on nallah-1 inside Belda RF of Patna Range under OMBADC (DPR 2022-23),1.0,3188667.0,BISHNUPRASAD JENA,INR,"1,977,534",1,3212433,BALARAM SENAPATI,11-Nov-2025 01:51 PM,Rejected-AOC,Not Selected,27-Jan-2026 12:19 PM,27-Jan-2026,"INR 1,977,534",90.0,Dhanraj Hanumant Dhamdhere,27-Jan-2026 12:19 PM,Workorder.pdf (480.00 KB),Work order issued to L1 Bidder selected through Lottery,Finance,TENDER OPEN,Dhanraj Hanumant Dhamdhere,14-Nov-2025 05:24 PM,finance_558782.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3188667,BISHNUPRASAD JENA,06-Nov-2025 01:20 PM,Accepted-AOC,Selected,27-Jan-2026 12:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3200907,DASMAT MAJHI,11-Nov-2025 01:18 PM,Rejected-AOC,Not Selected,27-Jan-2026 12:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3185274,GANGADHAR NAIK,07-Nov-2025 03:28 PM,Rejected-AOC,Not Selected,27-Jan-2026 12:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3213002,HEMANTA KUMAR NAIK,11-Nov-2025 02:07 PM,Rejected-AOC,Not Selected,27-Jan-2026 12:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3204901,JAGDEV PANDA,10-Nov-2025 02:00 PM,Rejected-AOC,Not Selected,27-Jan-2026 12:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3211007,JASHODA BEHERA,11-Nov-2025 08:57 AM,Rejected-AOC,Not Selected,27-Jan-2026 12:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3214158,MAHAVIR CONSTRUCTION,11-Nov-2025 04:51 PM,Rejected-AOC,Not Selected,27-Jan-2026 12:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3193183,MINATI MOHAPATRA,11-Nov-2025 01:39 AM,Rejected-AOC,Not Selected,27-Jan-2026 12:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3212668,NANDA KISHORE MAHANTA,11-Nov-2025 03:05 PM,Rejected-AOC,Not Selected,27-Jan-2026 12:19 PM,,,,,,,,,,,,,,AOC
