Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 08 /2025-26,2025_EICCL_118168_6,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper,EMD,PAN,GST,Affidavit,other documents as per DTCN",SE R and B Division No-II,Office of SE R and B Division No-II,22-Sep-2025 04:30 PM,09-Oct-2025 11:00 AM,22-Sep-2025 04:30 PM,08-Oct-2025 05:00 PM,NA ,NA ,22-Sep-2025 04:30 PM,08-Oct-2025 05:00 PM,"22,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Electrical Renovation work at CHC Building Muniguda,Electrical Work,Please refer tender doucment ,NA ,"21,46,349",Electrical Works,NA ,Tender,90.0,60.0,Muniguda,765020.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,AOC,1,3113163,AKASH RANA,08-Oct-2025 09:08 AM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,16-Jan-2026,"INR 1,824,611",60.0,Durga Madhaba Padhi,16-Jan-2026 10:40 PM,ER_MUNIGUDA_WO.pdf (305.00 KB),"Work is awarded to M/S Mahaveer Electricals through transparent lottery system, Vid Work order No-6511 Dt 19.12.2025 of R and B Division-II,Rayagada",SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,16-Jan-2026 10:02 PM,techsummary_552922.pdf (605.16 KB),SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,16-Jan-2026 10:22 PM,finsummary_552922.pdf (605.16 KB),EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2025_EICCL_118168_6,RC(RANDB) RGD NO. II/ 08 /2025-26,Electrical Renovation work at CHC Building Muniguda,1.0,3114544.0,M/S Mahaveer Electricals,INR,"1,824,611",Finance,Tender Opened,Durga Madhaba Padhi,16-Jan-2026 09:50 PM,finance_552922.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quatity,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,2,3114973,Ampere india associates,08-Oct-2025 10:39 AM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3113925,ARMAN ENGINEERING PROJECTS PRIVATE LIMITED,07-Oct-2025 12:29 PM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3116857,ASISH KUMAR PATTNAIK,08-Oct-2025 04:59 PM,Rejected-Finance,Second Lowest,16-Jan-2026 10:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3115990,BHUJABALA PATEL,08-Oct-2025 04:52 PM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3113983,DHANESWAR BARAD,07-Oct-2025 08:15 PM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3115936,KIKSHORE MOHAN PANI,08-Oct-2025 12:58 PM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3100980,M/s. Aditya Electricals,26-Sep-2025 02:14 PM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3114544,M/S Mahaveer Electricals,07-Oct-2025 05:21 PM,Accepted-AOC,First Lowest and awarded through transparent lottery system,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3116425,MS SHREEJA ENTERPRISES,08-Oct-2025 02:53 PM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3116850,M/S SHREELAXMI ENTERPRISERS,08-Oct-2025 03:42 PM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,3115505,M/S SRI SAI ELECTRICALS,08-Oct-2025 09:32 AM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,3113611,ONE STEP SOLUTIONS,07-Oct-2025 10:07 AM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,14,3098547,Rajendra Jena,27-Sep-2025 01:31 PM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,15,3107991,SANDIP KUMAR AGRAWAL,06-Oct-2025 07:38 PM,Rejected-AOC,First Lowest,16-Jan-2026 10:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
