Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,U,SIDDHARTHA SHANKAR DAS,22-Nov-2025 12:13 PM,finance_553339.pdf,BOQ Comparative Chart,1.0,3118911.0,NARAYANA JENA,INR,"1,156,974",CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,2025_KIDK_118339_46,BAID 02 OF 2025-26,Improvement to Right Bank Service Road of Karagola Minor From RD. 00 M TO 1100 M for the year 2025-2026,"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,22-Nov-2025 06:18 PM,finsummary_553339.pdf (405.30 KB),"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,22-Nov-2025 06:10 PM,techsummary_553339.pdf (405.30 KB),26-Jan-2026,"INR 1,156,974",120.0,Laxman Marandi,26-Jan-2026 02:44 PM,46.pdf (299.00 KB),AOC,1,3114428,BAILOCHANA BEHERA,07-Oct-2025 04:58 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Affidavit, RC, No Relationship etc.",25-Sep-2025 09:00 AM,10-Oct-2025 11:00 AM,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,NA ,NA ,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,1.0,ICICI BANK,"6,000",Nil,Nil,No,"SE, Baitarani Irrigation Division, Salapada","SE, Baitarani Irrigation Division, Salapada",Improvement to Right Bank Service Road of Karagola Minor From RD. 00 M TO 1100 M for the year 2025-2026,Improvement to Right Bank Service Road of Karagola Minor From RD. 00 M TO 1100 M for the year 2025-2026,Please refer Tender documents. ,NA ,"13,61,000",Civil Works - Canal,NA ,Tender,90.0,120.0,Salapada,758020.0,NA ,NA ,NA ,"SE, Baitarani Irrigation Division, Salapada",No ,No,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,BAID 02 OF 2025-26,2025_KIDK_118339_46,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"13,700",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3117181,BASANTA KUMAR NAIK,09-Oct-2025 12:30 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,.pdf,Other Document as per DTCN,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3118362,BHARATI NAYAK,09-Oct-2025 01:49 AM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3117622,CHITTARANJAN SAHOO,08-Oct-2025 07:04 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3112787,DILLIP KUMAR PATTANAYAK,06-Oct-2025 05:27 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3109886,GITA RANI SAHOO,04-Oct-2025 05:37 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3115938,IPSITA MOHAPATRA,08-Oct-2025 12:50 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3104661,JAGABANDHU JENA,01-Oct-2025 05:26 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3118448,JHUMALATA MALIK,09-Oct-2025 12:32 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3118911,NARAYANA JENA,09-Oct-2025 11:09 AM,Accepted-AOC,1ST LOWEST,26-Jan-2026 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3108451,NARAYAN SETHY,05-Oct-2025 11:44 AM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3114674,NIRANJAN SAHOO,08-Oct-2025 02:31 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3115373,PRAKASH GHADEI,08-Oct-2025 04:24 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3110314,RAJASHREE CHAKRA,04-Oct-2025 11:29 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3118639,RASHMI RANJAN BARIK,09-Oct-2025 02:23 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3102642,SAFALYA KUMAR PADHI,29-Sep-2025 01:13 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3101764,SANJAYA KUMAR JENA,28-Sep-2025 10:08 AM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3103503,SANJIP KUMAR SINGH,30-Sep-2025 01:09 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3105710,SARAT NAYAK,02-Oct-2025 04:20 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3118211,Satyabrata Das,08-Oct-2025 10:21 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3115690,SHRIKANTA KUMAR PATRA,08-Oct-2025 11:12 AM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3114709,SUBASINI PATRA,07-Oct-2025 06:30 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3119093,SUBHASIS MOHAPATRA,09-Oct-2025 12:57 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3110350,SUDAM KUNAR,06-Oct-2025 04:42 PM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3111693,SUDHIR KUMAR SWAIN,06-Oct-2025 08:56 AM,Rejected-Finance,r,22-Nov-2025 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
