Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"PAPER COST,EMD,LICENSE COPY,HT LICENSE,PAN,GSTIN,AFFIDAVIT,JOINT VENTURE AND OTHER AS PER DTCN","7,080",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Keonjhar,e-Procurement BID ID No. 05 EELID (KJR/2025-26),2025_OLIC_120279_17,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, L.I. Division, Keonjhar","At/Po- Dhrupada, Via- Raisuan, Dist- Keonjhar",Installation and energisation of Tuntuna-VII L.I. Project under Champua block in Keonjhar district,Installation and energisation of Tuntuna-VII L.I. Project under Champua block in Keonjhar district,Please refer Tender documents. ,NA ,,Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,Keonjhar,758001.0,NA ,NA ,NA ,"Office of the E.E., L.I. Division, Keonjhar",No ,No,"34,419",Yes,fixed,,Nil,Nil,1.0,NIT Corriggendum,Other,,01-Nov-2025 10:00 AM,11-Nov-2025 10:00 AM,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,01-Nov-2025 10:00 AM ,06-Nov-2025 05:00 PM ,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,20-Nov-2025 10:00 AM,1.0,ICICI BANK,AOC,Executive Engineer,Internal,,BADAL CHANDRA CHOUDHURY,07-Dec-2025 02:38 PM,finsummary_559641.pdf (547.07 KB),Technical,Ten nos. bidders participated in this tender and all are accepted,BADAL CHANDRA CHOUDHURY,19-Nov-2025 12:52 PM,,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Keonjhar,2025_OLIC_120279_17,e-Procurement BID ID No. 05 EELID (KJR/2025-26),Installation and energisation of Tuntuna-VII L.I. Project under Champua block in Keonjhar district,1.0,3175505.0,SUSANTA KUMAR MAJHI,INR,"2,925,979",1,3182191,ANNAPURNA ROUT,05-Nov-2025 12:12 PM,Rejected-Finance,v,07-Dec-2025 02:38 PM,20-Dec-2025,"INR 2,925,979",90.0,BADAL CHANDRA CHOUDHURY,17-Jan-2026 11:29 AM,P17.pdf (1858.00 KB),Finance,Financial bid opened for 10 nos. bidders.,BADAL CHANDRA CHOUDHURY,03-Dec-2025 04:44 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,BADAL CHANDRA CHOUDHURY,19-Nov-2025 05:57 PM,20-Nov-2025 10:00 AM,techsummary_559641.pdf (547.07 KB),AOC
2.0,Finance,.xls,BILL OF QUANTITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,2,3204497,BALARAM SENAPATI,10-Nov-2025 07:45 AM,Rejected-Finance,Failed in lottery,07-Dec-2025 02:38 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3199391,JAGDEV PANDA,08-Nov-2025 09:07 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 02:38 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3208681,KUANR SOREN,10-Nov-2025 04:26 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 02:38 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3199541,MADHUMITA CONSTRUCTION AND SERVICES PROP KAMAL LOCHAN NAYAK,08-Nov-2025 09:45 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 02:38 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3188061,M/S. SHREE KRISHNA ENGINEERING,07-Nov-2025 08:53 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 02:38 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3197271,ODISHA ELECTRICAL AND CONSTRUCTIONS.,08-Nov-2025 01:29 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 02:38 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3198440,SAGARIKA GIRI,08-Nov-2025 06:08 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 02:38 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3198680,SUPRAVA MISHRA,08-Nov-2025 06:54 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 02:38 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3175505,SUSANTA KUMAR MAJHI,10-Nov-2025 06:12 AM,Accepted-AOC,WO issued,17-Jan-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,AOC
