Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
20-Sep-2025 06:55 PM,06-Oct-2025 11:00 AM,20-Sep-2025 06:55 PM,04-Oct-2025 05:00 PM,20-Sep-2025 06:55 PM ,03-Oct-2025 05:00 PM ,20-Sep-2025 06:55 PM,04-Oct-2025 05:00 PM,21-Nov-2025 11:00 AM,Periodical Renewal work of 5 year completed PMGSY Post DLP roads for the financial year 2025-26 under State Budget Grant for the Package No. PM-RGD-03-2025-26,Periodical Renewal work of 5 year completed PMGSY Post DLP roads for the financial year 2025-26 under State Budget Grant for the Package No. PM-RGD-03-2025-26,Please refer Tender documents. ,NA ,"3,73,10,000",Civil Works - Roads,NA ,Tender,90.0,180.0,RAYAGADA,765001.0,NA ,NA ,NA ,"O/O CCE,RWC,RAYAGADA",No ,No,Chief Construction Engineer RWC Rayagada,"Chief Construction Engineer RWC Rayagada, at raniguda hatipathar road","3,73,100",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-RAYAGADA,NCB-17/RWCRGDA/2025-26,2025_CERWI_118305_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Experience,Bid security and other documents as per DTCN","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,30-Jan-2026,"INR 31,716,732.77",180.0,Binod Behari Das,30-Jan-2026 11:32 AM,MSshrerInfraRGD03.pdf (645.00 KB),Work Awarded to M/S Shree Infra and Co,1,3108749,JAY PRAKASH SHARMA,04-Oct-2025 04:20 PM,Rejected-Finance,Rejected,31-Dec-2025 07:24 PM,Finance,Verified.,Santoshi Mahapatra,21-Nov-2025 04:13 PM,finance_553200.pdf,BOQ Comparative Chart,"Chief Construction Engineer,RW Circle Rayagada",Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,17-Nov-2025 08:29 PM,21-Nov-2025 11:00 AM,techsummary_553200.pdf (7042.94 KB),OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,31-Dec-2025 07:24 PM,finsummary_553200.pdf (7731.48 KB),CE RW I||RWCIRCLE-RAYAGADA,2025_CERWI_118305_4,NCB-17/RWCRGDA/2025-26,Periodical Renewal work of 5 year completed PMGSY Post DLP roads for the financial year 2025-26 under State Budget Grant for the Package No. PM-RGD-03-2025-26,Technical,VERIFIED,Arjuna Muduli,06-Oct-2025 01:25 PM,,1.0,3109293.0,M/s SHREE INFRA AND CO,INR,"31,716,732.77",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantity,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2,3109293,M/s SHREE INFRA AND CO,04-Oct-2025 02:01 PM,Accepted-AOC,Work Awarded to M/S Shree Infra and Co,30-Jan-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3108168,Raghunandan Agrawal,04-Oct-2025 02:25 PM,Rejected-Finance,Rejected,31-Dec-2025 07:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3103318,RAMANI RANJAN PATI,30-Sep-2025 06:17 PM,Rejected-AOC,Work Awarded to M/S Shree Infra and Co,30-Jan-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3105828,Sunil Kumar Panigrahy,02-Oct-2025 06:21 PM,Rejected-Finance,Rejected,31-Dec-2025 07:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
