Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Providing and Fixing of Bulk Flow Meter at WTP, Old Pump House, Betaguda OGR, BPL Colony OGR etc. of Paralakhemundi Town","Providing and Fixing of Bulk Flow Meter at WTP, Old Pump House, Betaguda OGR, BPL Colony OGR etc. of Paralakhemundi Town",Please refer Tender documents. ,NA ,"26,06,874",Civil Works - Water Works,NA ,Tender,120.0,60.0,Paralakhemundi Town,761200.0,NA ,NA ,NA ,"O/o THE EXECUTIVE ENGINEER, P.H.DIVISION,RAYAGADA",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, PAN, GSTIN, registration certificate, other related as per DTCN",1.0,ICICI BANK,"26,069",Yes,percentage,1.0%,Nil,Nil,20-Nov-2025 03:00 PM,02-Dec-2025 11:00 AM,20-Nov-2025 03:00 PM,01-Dec-2025 05:00 PM,20-Nov-2025 03:00 PM ,26-Nov-2025 05:00 PM ,20-Nov-2025 03:00 PM,01-Dec-2025 05:00 PM,PHEO||PH Circle Bhawanipatna||PH Division Rayagada,EEPHDRAYAGADA 29/2025-26 DT.10.11.2025,2025_PHEO_121644_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"THE EXECUTIVE ENGINEER, P.H.DIVISION,RAYAGADA","O/o THE EXECUTIVE ENGINEER, P.H.DIVISION,RAYAGADA",AOC,PHEO||PH Circle Bhawanipatna||PH Division Rayagada,2025_PHEO_121644_1,EEPHDRAYAGADA 29/2025-26 DT.10.11.2025,"Providing and Fixing of Bulk Flow Meter at WTP, Old Pump House, Betaguda OGR, BPL Colony OGR etc. of Paralakhemundi Town",1.0,3267176.0,LAKKOJU DURGA RAO,INR,"2,216,104","Executive Engineer, P.H.Division, Rayagada",Internal,,Ayaskant Behera,28-Jan-2026 11:28 AM,techsummary_565920.pdf (406.87 KB),"Executive Engineer, P.H.Division, Rayagada",Internal,,Ayaskant Behera,28-Jan-2026 11:31 AM,finsummary_565920.pdf (406.87 KB),Finance,Bid Opening Summary,Ayaskant Behera,02-Dec-2025 11:55 AM,finance_565920.pdf,BOQ Comparative Chart,28-Jan-2026,"INR 2,216,104",60.0,Ayaskant Behera,28-Jan-2026 11:33 AM,Agreement.pdf (491.00 KB),1,3265029,AJAYA KUMAR ROUT,28-Nov-2025 07:35 PM,Rejected-Technical,NOT QUALIFIED IN TRANSPER LOTTERY,28-Jan-2026 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship ,Authorization Certificate form of affidavit/ Declaration and Other related document",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3265152,Allapa Ganapati Rao,28-Nov-2025 08:36 PM,Rejected-Technical,NOT QUALIFIED IN TRANSPER LOTTERY,28-Jan-2026 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3266924,Automatech Electric Co,01-Dec-2025 04:03 PM,Rejected-Technical,NOT QUALIFIED IN TRANSPER LOTTERY,28-Jan-2026 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3270115,CHANDRAJIT JENA,01-Dec-2025 04:49 PM,Rejected-Technical,NOT QUALIFIED IN TRANSPER LOTTERY,28-Jan-2026 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3269989,D.HARISH KUMAR,01-Dec-2025 03:44 PM,Rejected-Technical,NOT QUALIFIED IN TRANSPER LOTTERY,28-Jan-2026 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3269912,Drite Automation and Engineering,01-Dec-2025 03:16 PM,Rejected-Technical,NOT QUALIFIED IN TRANSPER LOTTERY,28-Jan-2026 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3267176,LAKKOJU DURGA RAO,29-Nov-2025 08:19 PM,Accepted-AOC,Qualified in Transparent lottery,28-Jan-2026 11:33 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3256903,MAKUL KUMAR MANDAL,26-Nov-2025 01:15 PM,Rejected-Technical,NOT QUALIFIED IN TRANSPER LOTTERY,28-Jan-2026 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3262382,M/S LAXMIPRIYA ACHARYA,01-Dec-2025 10:22 AM,Rejected-Technical,NOT QUALIFIED IN TRANSPER LOTTERY,28-Jan-2026 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3267552,SANTOSH KUMAR JENA,30-Nov-2025 09:29 AM,Rejected-Technical,NOT QUALIFIED IN TRANSPER LOTTERY,28-Jan-2026 11:28 AM,AOC
