S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3284002.0,SATYANARAYAN PUROHIT,INR,"4,343,660","CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Padampur",2025_CEMIB_121813_3,SNPMI_02_2025_26,Construction of Lakhani-3 in stream storage structure in Birmaharajpur Block of Subarnapur District,Technical,Tender Opened,Santosh Kumar Das,12-Dec-2025 01:12 PM,technical_566533.pdf,SriArunkumarjyotrimayaSuperintendingEngineer,Internal,SriAnilKumar1DAOasmemberSriSantoshkumarDasAEE(Estimator)asmemberSriKamalkantaSenapatiAEE(Estimator)asmember,ARUN KUMAR JYOTRIMAYA,09-Jan-2026 10:42 PM,finsummary_566533.pdf (507.48 KB),SriArunkumarjyotrimayaSuperintendingEngineer,Internal,SriAnilKumar1DAOasmemberSriSantoshkumarDasAEE(Estimator)asmemberSriKamalkantaSenapatiAEE(Estimator)asmember,ARUN KUMAR JYOTRIMAYA,15-Dec-2025 01:58 PM,15-Dec-2025 04:00 PM,techsummary_566533.pdf (422.64 KB),Finance,Tender Opened,Santosh Kumar Das,15-Dec-2025 06:18 PM,finance_566533.pdf,BOQ Comparative Chart,09-Jan-2026,"INR 4,343,660",180.0,ARUN KUMAR JYOTRIMAYA,09-Jan-2026 11:42 PM,WOFORLAKHANI3CD.pdf (846.00 KB),"The Work is awarded to Sri Satya Narayan Purohit ""B'' Class Contractor vide Agtt. No.13P1/2025-26.The DOC and Completion as dt. 30/12/2025 and 29/6/2026 for contract amount Rs. 4343660.00/-with GST18%",1,3276028,AMIYA RANJAN DASH,09-Dec-2025 01:10 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:42 PM,AOC,25-Nov-2025 11:00 AM,12-Dec-2025 11:00 AM,25-Nov-2025 11:00 AM,09-Dec-2025 05:00 PM,NA ,NA ,25-Nov-2025 11:00 AM,09-Dec-2025 05:00 PM,15-Dec-2025 04:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Contractor RC, Orginal Affidavits, GSTIN, NRC, EMD, PAN, and if any other documents as per DTCN.",Construction of Lakhani-3 in stream storage structure in Birmaharajpur Block of Subarnapur District,Construction of Lakhani-3 in stream storage structure over Lepei nalla near village Lakhani in Birmaharajpur Block of Subarnapur District under MATY-3 Scheme for the year 2025-26,As per DTCN ,NA ,"51,09,587",Civil Works - Others,NA ,Tender,90.0,180.0,Birmaharajapur Block,767018.0,NA ,NA ,NA ,"O/oThe Superintending Engineer,MI Division,Sonepur",No ,No,"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Padampur",SNPMI_02_2025_26,2025_CEMIB_121813_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"51,100",Yes,fixed,,Nil,Nil,"Superintending Engineer, MI Division, Sonepur","O/o The Superintending Engineer, MI Division, Sonepur. In front of Civil Court, Subarnapur, 767017","10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3285919,Asit Prakash Samantara,07-Dec-2025 02:03 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:42 PM,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3282761,BASUDEV HOTA,05-Dec-2025 06:18 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3291806,DEBABRATA BRAHMA,09-Dec-2025 03:43 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3273881,Debaranjan Tripathy,05-Dec-2025 10:43 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3290474,JAYAKISHAN AGRAWALA,08-Dec-2025 08:19 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3291396,MD NOAMAN RAZA KHAN,09-Dec-2025 03:43 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3291235,MOHAMMAD TAHIR KHAN,09-Dec-2025 02:25 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3275448,MOHAMMAD TAYYAB KHAN,09-Dec-2025 12:52 AM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3291637,RUDRAPRAKASH BEHERA,09-Dec-2025 02:22 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
