S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3226042.0,Bibekananda Biswas,INR,"755,446",Municipal Bodies||Malkangiri Municipal Council,2025_ORULB_120460_20,EOMKG/01/2025-26,"Construction of RCC Drain at Smart Colony inside, Ward No-16, Malkangiri Municipality",1,3196548,Anup Kumar Malakar,08-Nov-2025 12:11 PM,Rejected-AOC,Rejected,16-Jan-2026 05:43 PM,16-Jan-2026,"INR 755,446",60.0,Rajiba Lochan Nayak,16-Jan-2026 05:43 PM,20.pdf (1701.00 KB),,Manoj Barik,Internal,"Executive Officer, Malkangiri Municipality, Nizarat Officer, Collectorate Malkangiri, Municipal Engineer, Malkangiri Municipality, AEE, RWSS Malkangiri, Accountant, Malkangiri Municipality",Rajiba Lochan Nayak,15-Jan-2026 06:04 PM,finsummary_560671.pdf (192.62 KB),Technical,all bidders are Admitted,Rajiba Lochan Nayak,19-Nov-2025 01:35 PM,,Manoj Barik,Internal,"Executive Officer, Malkangiri Municipality, Nizarat Officer, Collectorate Malkangiri, Municipal Engineer, Malkangiri Municipality , AEE, RWSS Malkangiri, Accountant,Malkangiri Municipality",Rajiba Lochan Nayak,01-Dec-2025 04:35 PM,02-Dec-2025 10:00 AM,techsummary_560671.pdf (205.74 KB),Finance,,Rajiba Lochan Nayak,02-Dec-2025 12:39 PM,,BOQ Comparative Chart,AOC,"4,000",0.0,Nil,Nil,No,04-Nov-2025 10:00 AM,17-Nov-2025 11:00 AM,04-Nov-2025 10:00 AM,15-Nov-2025 05:00 PM,NA ,NA ,04-Nov-2025 10:00 AM,15-Nov-2025 05:00 PM,02-Dec-2025 10:00 AM,Municipal Bodies||Malkangiri Municipal Council,EOMKG/01/2025-26,2025_ORULB_120460_20,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Officer,Malkangiri Municipality,"8,890",Yes,fixed,,Nil,Nil,"Construction of RCC Drain at Smart Colony inside, Ward No-16, Malkangiri Municipality","Construction of RCC Drain at Smart Colony inside, Ward No-16, Malkangiri Municipality",NA ,NA ,"8,88,656",Civil Works - Others,NA ,Tender,180.0,60.0,Malkangiri Municipality,764045.0,NA ,NA ,NA ,Malkangiri Municipality,No ,No,1.0,Fee/PreQual/Technical,.pdf,eNoticeDTCN,AOC
,,,,,,,,,2,3227923,Bhabani Sarkar,15-Nov-2025 04:21 PM,Rejected-AOC,Rejected,16-Jan-2026 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,3,3225516,BHIMA MADAKAMI,14-Nov-2025 05:02 PM,Rejected-AOC,Rejected,16-Jan-2026 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3226042,Bibekananda Biswas,14-Nov-2025 09:12 PM,Accepted-AOC,Accepted,16-Jan-2026 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3226160,BIBEK KUMAR DEURI,15-Nov-2025 12:48 AM,Rejected-AOC,Rejected,16-Jan-2026 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3226773,BIKASH HALDAR,15-Nov-2025 03:32 PM,Rejected-AOC,Rejected,16-Jan-2026 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3225090,DANDASI LAXMAN RAO,15-Nov-2025 01:40 AM,Rejected-AOC,Rejected,16-Jan-2026 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3193207,DEVI PRASAD JAYASINGH,07-Nov-2025 01:21 PM,Rejected-Technical,Not submitted a valid schedule C Affidavit,01-Dec-2025 04:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3227678,DILIP KUMAR PARIDA,15-Nov-2025 04:10 PM,Rejected-AOC,Rejected,16-Jan-2026 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3223552,KANCHAN DEURI,14-Nov-2025 08:23 PM,Rejected-AOC,Rejected,16-Jan-2026 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
