S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,Construction of Asst. Conservator of Forests Quarter No.2 at Bamra,Building Works,Please refer Tender documents. ,NA ,"20,27,487",Civil Works - Buildings,NA ,Tender,60.0,60.0,Bamra,768221.0,NA ,NA ,NA ,O/o the DFO Bamra WL Division,No ,No,31-Dec-2025 06:00 PM,09-Jan-2026 05:30 PM,31-Dec-2025 06:00 PM,09-Jan-2026 05:00 PM,31-Dec-2025 06:00 PM ,09-Jan-2026 05:00 PM ,31-Dec-2025 06:00 PM,09-Jan-2026 05:00 PM,"6,000",Nil,Nil,No,"20,275",No,percentage,1.0%,Nil,Nil,Forest Environment and Climate Change Department||RCCF Sambalpur||DFO Bamra WL,1F-BMB/05/dt.29.12.25/2025-26,2025_DFOBW_124002_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, Valid RC, Affidavit and other document as per DTCN.",DFO Bamra WL Division,O/o the DFO Bamra WL Division,AOC,27-Jan-2026,"INR 1,723,567",90.0,Bikram Dev Pattanaik,27-Jan-2026 12:39 PM,WorkorderACFQuarterNo2.pdf (397.00 KB),1,3349453,BHESAJA KUMAR PATTA,09-Jan-2026 03:04 PM,Rejected-AOC,Not selected in lottery,27-Jan-2026 12:41 PM,"Sri Bikram Dev Pattanaik, D.F.O, Bamra WL Division",Internal,,Alok Kumar Sarangi,23-Jan-2026 12:35 PM,techsummary_573831.pdf (601.32 KB),"Sri Bikram Dev Pattanaik, D.F.O, Bamra WL Division",Internal,,Alok Kumar Sarangi,27-Jan-2026 11:54 AM,finsummary_573831.pdf (601.32 KB),Forest Environment and Climate Change Department||RCCF Sambalpur||DFO Bamra WL,2025_DFOBW_124002_1,1F-BMB/05/dt.29.12.25/2025-26,Construction of Asst. Conservator of Forests Quarter No.2 at Bamra,1.0,3349423.0,KUMOD BAGH,INR,"1,723,566.72",Finance,Tender Open,Alok Kumar Sarangi,23-Jan-2026 12:25 PM,finance_573831.pdf,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC,,,,,,,2,3349423,KUMOD BAGH,09-Jan-2026 01:35 PM,Accepted-AOC,Selected through lottery,27-Jan-2026 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
