S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3248623.0,M/s S.K Associates,INR,"1,812,277",Finance,BID OPENING SUMMARY,Nelson Tadingi,07-Jan-2026 12:51 PM,finance_561923.pdf,BOQ Comparative Chart,"Executive Engineer,PDD",Internal,"EE,PDD,Divisonal Accountant,Estimator",Nelson Tadingi,08-Jan-2026 11:25 AM,finsummary_561923.pdf (858.62 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Indravati Dam Circle Khatiguda||Podgada Dam Division Khatiguda,2025_PGDDK_120824_1,EEPDD-02(04)/2025-26,"IMPROVEMENT TO THE DAMAGED BITUMINOUS SERVICE ROAD FROM R and B ROAD JUNCTION TO PUMP HOUSE VIA PODAGADA VILLAGE LEADING TO PODAGADA DAM, UIDC, KHATIGUDA.","Executive Engineer,PDD",Internal,"EE,PDD,Divisional Accountant,Estimator",Nelson Tadingi,07-Jan-2026 07:07 PM,techsummary_561923.pdf (800.98 KB),27-Jan-2026,"INR 1,812,277",120.0,Nelson Tadingi,27-Jan-2026 05:12 PM,2.pdf (3259.00 KB),Successful bidder finalized through lottery.,1,3242613,AABID ASHRAF,20-Nov-2025 07:59 PM,Rejected-AOC,Rejected,27-Jan-2026 05:13 PM,AOC,"Executive Engineer, Podagada Dam Division","O/o The Executive Engineer, Podagada Dam Division, Khatiguda, Nabarangpur, Odisha, 764085",CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Indravati Dam Circle Khatiguda||Podgada Dam Division Khatiguda,EEPDD-02(04)/2025-26,2025_PGDDK_120824_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,11-Nov-2025 11:00 AM,25-Nov-2025 11:30 AM,11-Nov-2025 11:00 AM,24-Nov-2025 05:00 PM,11-Nov-2025 11:00 AM ,14-Nov-2025 05:00 PM ,11-Nov-2025 11:00 AM,24-Nov-2025 05:00 PM,"6,000",Nil,Nil,No,"IMPROVEMENT TO THE DAMAGED BITUMINOUS SERVICE ROAD FROM R and B ROAD JUNCTION TO PUMP HOUSE VIA PODAGADA VILLAGE LEADING TO PODAGADA DAM, UIDC, KHATIGUDA.","IMPROVEMENT TO THE DAMAGED BITUMINOUS SERVICE ROAD FROM R and B ROAD JUNCTION TO PUMP HOUSE VIA PODAGADA VILLAGE LEADING TO PODAGADA DAM, UIDC, KHATIGUDA.",Please refer Tender documents. ,NA ,"21,31,840",Civil Works - Roads,NA ,Tender,90.0,120.0,KHATIGUDA,764085.0,NA ,NA ,NA ,"O/o The Executive Engineer, Podagada Dam Division,",No ,No,"21,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Scanned copy of Tender Fee, EMD, PAN, Aadhar Card, GST, R.C. of contractor.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3245282,BICHITRA NANDA DAS,21-Nov-2025 08:10 PM,Rejected-AOC,Rejected,27-Jan-2026 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit from Notary for authenticity of documents, EMD ,Bid information furnished Annexure-A",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3247870,BRUNDABAN BHARATI,23-Nov-2025 09:21 PM,Rejected-AOC,Rejected,27-Jan-2026 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Authentication of Documents and No Relation Certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3244546,ESWAR HARIJAN,21-Nov-2025 03:24 PM,Rejected-AOC,Rejected,27-Jan-2026 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Information regarding current litigation, Affidavit for exemption of EMD incase of Engg. contractor.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3242302,HEMANTA KUMAR MOHANTY,20-Nov-2025 04:31 PM,Rejected-AOC,Rejected,27-Jan-2026 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit towards availing facilities in case of SC/ST Contractor with valid caste certificate.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3243943,ISRAEL KHAN,21-Nov-2025 01:07 PM,Rejected-AOC,Rejected,27-Jan-2026 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other document felt necessary furnished as per DTCN.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3248541,JHUNULATA PATRA,23-Nov-2025 06:14 PM,Rejected-AOC,Rejected,27-Jan-2026 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Price Bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3248748,KHYAMANIDHI HARIJAN,23-Nov-2025 07:28 PM,Rejected-AOC,Rejected,27-Jan-2026 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3244581,KISTO HARIJAN,21-Nov-2025 03:34 PM,Rejected-AOC,Rejected,27-Jan-2026 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3237800,KUMAR CHIRANJEEB GOCHHAYAT,19-Nov-2025 01:15 PM,Rejected-AOC,Rejected,27-Jan-2026 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
