Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Twenty Two bids Downloaded Successfully.,SUBRAT PATNAIK,06-Dec-2025 03:03 PM,,BOQ Comparative Chart,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Chikiti Irrigation Divn Berhampur",2025_CEBMB_121634_12,e-CHID-06/2025-26,Flood protection work on left bank of river Bahuda near village Daulipada from Siva temple to bathing ghat in Chikiti Block.,1.0,3267695.0,BUDHIMANTA NAHAK,INR,"2,334,831",1,3276228,AMIT KUMAR CHOUDHURY,04-Dec-2025 01:08 PM,Rejected-AOC,Lottery Looser,14-Jan-2026 12:57 PM,14-Jan-2026,"INR 2,334,831",120.0,Nandini Devi,14-Jan-2026 12:57 PM,AOC_12.pdf (732.00 KB),Award to the Lottery Winner,Subrat Kumar Patnaik,Internal,,Nandini Devi,31-Dec-2025 03:04 PM,techsummary_566075.pdf (225.68 KB),Subrat Kumar Patnaik,Internal,,Nandini Devi,02-Jan-2026 12:42 PM,finsummary_566075.pdf (225.68 KB),AOC,"S.E., Chikiti Irr. Divn., Berhampur","S.E., Chikiti Irr. Divn., Courtpeta, Berhampur","27,500",Yes,fixed,,Nil,Nil,21-Nov-2025 10:00 AM,06-Dec-2025 11:30 AM,21-Nov-2025 10:00 AM,05-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,02-Dec-2025 05:00 PM ,21-Nov-2025 10:00 AM,05-Dec-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD, Registration Certificate, GSTIN, PAN, Other documents as per DTCN",Flood protection work on left bank of river Bahuda near village Daulipada from Siva temple to bathing ghat in Chikiti Block.,Flood protection work,Please refer Tender documents. ,NA ,"27,47,000",Civil Works - Others,NA ,Tender,90.0,120.0,Berhampur,760004.0,NA ,NA ,NA ,"O/o S.E., Chikiti Irr. Divn., Berhampur",No ,No,1.0,ICICI BANK,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Chikiti Irrigation Divn Berhampur",e-CHID-06/2025-26,2025_CEBMB_121634_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3282177,Anil Sethi,05-Dec-2025 03:08 PM,Rejected-AOC,Lottery Looser,14-Jan-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3264781,BARIKA PRADHAN,28-Nov-2025 05:57 PM,Rejected-AOC,Lottery Looser,14-Jan-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3267737,BIDYADHARA BADATYA,30-Nov-2025 12:42 PM,Rejected-AOC,Lottery Looser,14-Jan-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3267695,BUDHIMANTA NAHAK,30-Nov-2025 12:14 PM,Accepted-AOC,Lottery Winner,14-Jan-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3279088,DURYODHAN PRADHAN,05-Dec-2025 02:04 PM,Rejected-AOC,Lottery Looser,14-Jan-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3281774,GOURI KUMAR PANIGRAHI,05-Dec-2025 01:53 PM,Rejected-AOC,Lottery Looser,14-Jan-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3264891,G PINTU DORA,29-Nov-2025 10:43 AM,Rejected-AOC,Lottery Looser,14-Jan-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3272540,JAGAN CONSTRUCTION,04-Dec-2025 09:43 AM,Rejected-AOC,Lottery Looser,14-Jan-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3282438,Jhunu Pradhan,05-Dec-2025 04:42 PM,Rejected-AOC,Lottery Looser,14-Jan-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
