Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
Finance,Cover1,Himansu Kumar Sethi,10-Jan-2026 02:43 PM,,BOQ Comparative Chart,1.0,3171276.0,Chaitanya Dehuri,INR,"1,685,834",CE RW I||RWCIRCLE-KEONJHAR||RW Division Bansapal,2025_CERWI_120034_1,Road Online NCB No. 04 of 2025-26,SR to RD Road to Dimirimunda Road for the year 2025-26,Superintending Engineer,Internal,S.E./ D.A./ ESTIMATOR,Himansu Kumar Sethi,10-Jan-2026 02:53 PM,finsummary_558122.pdf (536.47 KB),Superintending Engineer,Internal,S.E./ D.A./ ESTIMATOR,Himansu Kumar Sethi,10-Jan-2026 02:46 PM,techsummary_558122.pdf (2710.21 KB),1,3181069,AJIT KUMAR SAHU,04-Nov-2025 03:09 PM,Rejected-Finance,Not Selected in the Lottery,10-Jan-2026 02:53 PM,10-Jan-2026,"INR 1,685,834",30.0,Himansu Kumar Sethi,10-Jan-2026 02:57 PM,125.pdf (2031.00 KB),AOC,25-Oct-2025 09:00 AM,06-Nov-2025 11:00 AM,25-Oct-2025 09:00 AM,04-Nov-2025 05:00 PM,25-Oct-2025 09:00 AM ,03-Nov-2025 05:00 PM ,25-Oct-2025 09:00 AM,04-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-KEONJHAR||RW Division Bansapal,Road Online NCB No. 04 of 2025-26,2025_CERWI_120034_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,SR to RD Road to Dimirimunda Road for the year 2025-26,pothole repair with PMC SC and Flank dressing,Please refer Tender documents. ,NA ,"16,80,594",Civil Works - Roads,NA ,Tender,90.0,30.0,telkoi,758019.0,NA ,NA ,NA ,se rwd banspal AT Gambharia Keonjhar,No ,No,"6,000",0.0,Nil,Nil,No,SE RWD BANSPAL,Office of the superintending Engineer RWD Banspal,"16,806",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,GST PAN LICENSE AND OTHER DOCUMENTS AS PER DTCN,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3171182,ANIL KUMAR NAYAK,01-Nov-2025 04:33 PM,Rejected-Finance,Not Selected in the Lottery,10-Jan-2026 02:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3171276,Chaitanya Dehuri,02-Nov-2025 09:29 PM,Accepted-AOC,Work has been Awarded to Chaitanya Dehuri,10-Jan-2026 02:57 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CHECKLIST,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3172082,CHHEDILAL KATARUKA,01-Nov-2025 02:36 PM,Rejected-Finance,Not Selected in the Lottery,10-Jan-2026 02:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3176422,MIHIR KUMAR SAHU,03-Nov-2025 02:04 PM,Rejected-Finance,Not Selected in the Lottery,10-Jan-2026 02:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3177675,PRADIP PATRA,03-Nov-2025 02:33 PM,Rejected-Finance,Not Selected in the Lottery,10-Jan-2026 02:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3180758,PRITIPRAVA GHADEI,04-Nov-2025 03:12 PM,Rejected-Finance,Not Selected in the Lottery,10-Jan-2026 02:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3174267,SAROJINI JENA,02-Nov-2025 05:16 PM,Rejected-Finance,Not Selected in the Lottery,10-Jan-2026 02:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3180869,SONAMUNI MUNDA,04-Nov-2025 03:08 PM,Rejected-Finance,Submit willingness to come to L1,10-Jan-2026 02:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3169401,S S CROP AND CONSTRUCTION,31-Oct-2025 12:05 PM,Rejected-Finance,Not Selected in the Lottery,10-Jan-2026 02:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
