Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Executive Engineer, R W Div., Sonepur","O/o the S E, R.W. Division, Sonepur",S/R to Lachhipur Outpost.,S/R Buildings Work,Please refer Tender documents. ,NA ,"3,36,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o the S E, R.W. Division, Sonepur",No ,No,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CERTIFICATE VALID CONTRACT LICENCE AFFIDAVIT AS PER DTCN ETC,01-Nov-2025 05:00 PM,12-Nov-2025 11:00 AM,01-Nov-2025 05:00 PM,11-Nov-2025 05:00 PM,01-Nov-2025 05:00 PM ,10-Nov-2025 04:00 PM ,01-Nov-2025 05:00 PM,11-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,BI No.Tender Online SNPR-07 of 2025-26.,2025_CERWI_120518_47,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"3,360",Yes,fixed,,Nil,Nil,AOC,Er Subhrata Meher,Internal,,Subhrata Meher,08-Jan-2026 08:14 PM,techsummary_561028.pdf (359.71 KB),Er Subhrata Meher,Internal,,Subhrata Meher,08-Jan-2026 08:18 PM,finsummary_561028.pdf (359.71 KB),Finance,11 Bidders,Subhrata Meher,22-Nov-2025 01:21 PM,,BOQ Comparative Chart,08-Jan-2026,"INR 285,739",120.0,Subhrata Meher,08-Jan-2026 08:20 PM,Result.pdf (485.00 KB),1,3179942,ANANDA KUMAR PANDA,11-Nov-2025 02:11 AM,Rejected-AOC,Rejected,08-Jan-2026 08:20 PM,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,2025_CERWI_120518_47,BI No.Tender Online SNPR-07 of 2025-26.,S/R to Lachhipur Outpost.,1.0,3198167.0,PRAYAS KUMAR SAHU,INR,"285,739",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3201283,DILIP KUMAR PANDA,09-Nov-2025 04:47 PM,Rejected-AOC,Rejected,08-Jan-2026 08:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3177310,LAXMIKANTA MISHRA,10-Nov-2025 11:35 PM,Rejected-AOC,Rejected,08-Jan-2026 08:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3211832,NAGENDRA PANIGRAHI,11-Nov-2025 11:58 AM,Rejected-AOC,Rejected,08-Jan-2026 08:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3213329,Pratap Sahu,11-Nov-2025 02:50 PM,Rejected-AOC,Rejected,08-Jan-2026 08:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3198167,PRAYAS KUMAR SAHU,08-Nov-2025 05:21 PM,Accepted-AOC,Work awarded in regular lottery system,08-Jan-2026 08:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3207211,PURNA CHANDRA SAHU,10-Nov-2025 01:49 PM,Rejected-AOC,Rejected,08-Jan-2026 08:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3209110,RAM KUMAR JATI,11-Nov-2025 11:30 AM,Rejected-AOC,Rejected,08-Jan-2026 08:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3190267,Rasmanjali Sa,07-Nov-2025 10:46 AM,Rejected-AOC,Rejected,08-Jan-2026 08:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3209828,RENUKA HOTA,11-Nov-2025 12:53 AM,Rejected-AOC,Rejected,08-Jan-2026 08:20 PM,,,,,,,,,,AOC
