Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
30-Jan-2026,"INR 2,974,765",60.0,Raju Dhaunlia,30-Jan-2026 08:49 PM,Kans149.pdf (633.00 KB),149P-1,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,2025_CERWI_119974_25,Online AGL-06,R.D road (Khajurikhaman) tO Kansar,1.0,3167555.0,"SHRI GANESH CONSTRUCTION,PROP-SAPAN KUMAR SAHU",INR,"2,974,765",1,3164284,ARCHANA PRADHAN,29-Oct-2025 06:10 AM,Rejected-Finance,Not won,30-Jan-2026 08:46 PM,Finance,11 Bid found,Raju Dhaunlia,30-Jan-2026 08:41 PM,finance_557994.pdf,BOQ Comparative Chart,EE,Internal,DAO Est,Raju Dhaunlia,30-Jan-2026 08:46 PM,finsummary_557994.pdf (197.77 KB),EE,Internal,DAO Est,Raju Dhaunlia,30-Jan-2026 08:43 PM,techsummary_557994.pdf (197.77 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD Online, RC PAN GST Affidavit regarding correctness No relation Certificate","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,R.D road (Khajurikhaman) tO Kansar,R.D road (Khajurikhaman) tO Kansar,Please refer Tender documents. ,NA ,"29,66,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Angul,759143.0,NA ,NA ,NA ,"O/O Executive Engineer, R.W.Division, Angul",No ,No,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,Online AGL-06,2025_CERWI_119974_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Oct-2025 02:45 PM,30-Oct-2025 06:00 PM,24-Oct-2025 02:45 PM,30-Oct-2025 05:00 PM,24-Oct-2025 02:45 PM ,29-Oct-2025 05:00 PM ,24-Oct-2025 02:45 PM,30-Oct-2025 05:00 PM,"Executive Engineer, R.W.Division, Angul","Executive Engineer, R.W.Division, Angul","29,670",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,3165569,DEVEN KUMAR AGARWALLA,30-Oct-2025 10:29 AM,Rejected-Finance,Not won,30-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other documents as per DTCN,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3159723,PRANAB KUMAR PRADHAN,28-Oct-2025 07:29 AM,Rejected-Finance,Not won,30-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3166803,PRATAP KUMAR PANI,30-Oct-2025 11:22 AM,Rejected-Finance,Not won,30-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3167520,Prativa Sahoo,30-Oct-2025 01:18 PM,Rejected-Finance,Not won,30-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3164217,RAJESH KUMAR BEHERA,29-Oct-2025 06:25 AM,Rejected-Finance,Not won,30-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3168066,SARBESWAR SAHOO,30-Oct-2025 03:20 PM,Rejected-Finance,Not won,30-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3167555,"SHRI GANESH CONSTRUCTION,PROP-SAPAN KUMAR SAHU",30-Oct-2025 03:25 PM,Accepted-AOC,OK,30-Jan-2026 08:49 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3167040,SNEHALATA MOHANTY,30-Oct-2025 11:20 AM,Rejected-Finance,Not won,30-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3157985,SURESH CHANDRA DAS,28-Oct-2025 11:08 AM,Rejected-Finance,Not won,30-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,3167630,Tusarkanta Sahoo,30-Oct-2025 01:24 PM,Rejected-Finance,Not won,30-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
