Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
25-Oct-2025 06:00 PM,03-Nov-2025 11:00 AM,25-Oct-2025 06:00 PM,01-Nov-2025 05:00 PM,25-Oct-2025 06:00 PM ,31-Oct-2025 05:00 PM ,25-Oct-2025 06:00 PM,01-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-08/2025-26,2025_CERWI_119906_55,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD, PAN, Affidavit,correctness and No relation certificate","27,738",Yes,percentage,1.0%,Nil,Nil,S/R to Laxminarayanpur to Bidyadharpur road for the Year 2025-26,S/R to Laxminarayanpur to Bidyadharpur road for the Year 2025-26,Refer tender documents ,NA ,"27,73,753",Civil Works - Roads,NA ,Tender,90.0,30.0,"S.E, R.W.Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,"S.E, R.W.Division, Cuttack","At.-REO Colony, P.O.-Nayabazar, Dist.-Cuttack","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,Superintending Engineer,Internal,DAO and A.E (Estimators),Debipriya Mohanty,21-Dec-2025 10:20 PM,techsummary_558249.pdf (1174.05 KB),Superintending Engineer,Internal,DAO and A.E (Estimators),Debipriya Mohanty,21-Dec-2025 10:29 PM,finsummary_558249.pdf (1174.05 KB),Finance,All Bidder are accepted.,Debipriya Mohanty,19-Nov-2025 12:48 PM,,BOQ Comparative Chart,01-Jan-2026,"INR 2,357,967",30.0,Sudhakar Naik,09-Jan-2026 11:10 AM,142.pdf (982.00 KB),Work awarded to Sri Saurav Biswal vide Divisional Agreement No.142 P1 OF 2025-26,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_119906_55,RWD CTC-08/2025-26,S/R to Laxminarayanpur to Bidyadharpur road for the Year 2025-26,1.0,3155211.0,SAURAV BISWAL,INR,"2,357,967",1,3172084,AURODEEP ROUT,01-Nov-2025 01:38 PM,Rejected-Finance,Other than L1,21-Dec-2025 10:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3154386,BANDITA BHUYAN,31-Oct-2025 01:31 PM,Rejected-Finance,Other than L1,21-Dec-2025 10:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3170071,KAMALAKANTA ROUT,31-Oct-2025 03:52 PM,Rejected-Finance,Other than L1,21-Dec-2025 10:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3169085,LIPU KUMAR MALL,31-Oct-2025 11:49 PM,Rejected-Finance,Other than L1,21-Dec-2025 10:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3168550,MAHESWAR BEHURA,30-Oct-2025 06:01 PM,Rejected-Finance,Other than L1,21-Dec-2025 10:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3170154,RAKESH KUMAR SAMAL,31-Oct-2025 04:31 PM,Rejected-Finance,Other than L1,21-Dec-2025 10:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3167482,SANATAN JENA,30-Oct-2025 01:12 PM,Rejected-Finance,Other than L1,21-Dec-2025 10:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3155211,SAURAV BISWAL,31-Oct-2025 04:21 PM,Accepted-AOC,Work awarded to Sri Saurav Biswal vide Divisional Agreement No.142 P1 OF 2025-26,09-Jan-2026 11:10 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3171146,SHRAMISTHA SWAIN,01-Nov-2025 12:18 AM,Rejected-Finance,Other than L1,21-Dec-2025 10:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3168559,SPANDAN DAS,31-Oct-2025 02:36 PM,Rejected-Finance,Other than L1,21-Dec-2025 10:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3168895,SUBRAT KUMAR ROUT,31-Oct-2025 01:28 PM,Rejected-Finance,Other than L1,21-Dec-2025 10:29 PM,AOC
