S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
1.0,3128403.0,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,INR,"1,488,010.91",Finance,ALL BID DOCUMENTS ARE DOWNLOADED,KISHORE KUMAR BEHERA,23-Oct-2025 04:10 PM,,BOQ Comparative Chart,"ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BHUBANESWAR",Internal,,KISHORE KUMAR BEHERA,09-Jan-2026 12:05 PM,finsummary_554777.pdf (384.32 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,2025_CEMWR_118993_1,ACEM/MDB-36/2025-26,"Supply, Fabrication Transportation and Erection of Gates and Hoists for Teisipur to Nadakhanda (DCNo. 38) under Doab-VII at Brahmanbada at RD 3300m under Drainage Division, Puri for the year of 2025-26","ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE,BHUBANESWAR",Internal,,KISHORE KUMAR BEHERA,15-Nov-2025 04:54 PM,techsummary_554777.pdf (779.79 KB),09-Jan-2026,"INR 1,488,010.91",60.0,KISHORE KUMAR BEHERA,09-Jan-2026 04:14 PM,mdb36aoc.pdf (642.00 KB),1,3135735,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",19-Oct-2025 03:34 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 12:05 PM,AOC,"17,600",No,fixed,,Nil,Nil,"Supply, Fabrication Transportation and Erection of Gates and Hoists for Teisipur to Nadakhanda (DCNo. 38) under Doab-VII at Brahmanbada at RD 3300m under Drainage Division, Puri for the year of 2025-26","Supply, Fabrication Transportation and Erection of Gates and Hoists for Teisipur to Nadakhanda (DCNo. 38) under Doab-VII at Brahmanbada at RD 3300m under Drainage Division, Puri for the year of 2025-26",Please refer Tender documents. ,NA ,"17,50,395",Mechanical Works,NA ,Tender,90.0,60.0,"Brahmanbada, Puri",752046.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,"6,000",0.0,Nil,Nil,No,10-Oct-2025 10:00 AM,23-Oct-2025 12:00 PM,10-Oct-2025 10:00 AM,22-Oct-2025 05:30 PM,10-Oct-2025 10:00 AM ,22-Oct-2025 05:30 PM ,10-Oct-2025 10:00 AM,22-Oct-2025 05:30 PM,"ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE,BHUBANESWAR","O/O THE ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE,BHUBANESWAR,DELTA SQUARE",1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,ACEM/MDB-36/2025-26,2025_CEMWR_118993_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3134710,BANASHREE BHUYAN,21-Oct-2025 10:15 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3129488,LAXMIDHRA BHUYAN,22-Oct-2025 11:44 AM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3140583,M/S ADITYA INDUSTRIAL ENTERPRISERS(PROP.SUKANTA SAHOO),21-Oct-2025 06:08 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3128403,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,21-Oct-2025 08:00 PM,Accepted-AOC,WINNER OF THE LOTTERY,09-Jan-2026 04:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3128385,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,21-Oct-2025 07:29 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3142634,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,22-Oct-2025 02:54 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3140852,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,21-Oct-2025 11:21 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3140768,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",21-Oct-2025 10:31 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3134813,POOJARINI ENTERPRISERS,22-Oct-2025 02:59 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
