S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1.0,2928538.0,HAREKRUSHNA ROUT,INR,"1,885,860",Finance,TENDER OPENED,SUJIT KUMAR MOHANTY,23-May-2025 01:58 PM,finance_539336.pdf,BOQ Comparative Chart,EXECUTIVE ENGINEER,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,02-Jan-2026 01:50 PM,finsummary_539336.pdf (1123.78 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",2025_OLIC_113371_15,BID NO-1280/2025-26 DT.09.05.2025,REVIVAL AND RE-ENERGISATION OF ORUALI-IV LIP UNDER PURI SADAR BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,EXECUTIVE ENGINEER,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,02-Jan-2026 01:47 PM,techsummary_539336.pdf (1123.78 KB),02-Jan-2026,"INR 1,885,860",90.0,SUJIT KUMAR MOHANTY,02-Jan-2026 01:51 PM,OrualiIvharekrushna15.pdf (1124.00 KB),Work order and agreement completed,1,2927813,ABHILASH PRADHAN,21-May-2025 11:46 PM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,"7,080",0.0,Nil,Nil,Yes,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",BID NO-1280/2025-26 DT.09.05.2025,2025_OLIC_113371_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"18,856",Yes,percentage,1.0%,Nil,Nil,REVIVAL AND RE-ENERGISATION OF ORUALI-IV LIP UNDER PURI SADAR BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,REVIVAL AND RE-ENERGISATION OF ORUALI-IV LIP UNDER PURI SADAR BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,PLEASE REFER TENDER DOCUMENTS ,NA ,"18,85,560",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,PURI SADAR,752001.0,NA ,NA ,NA ,EE LI DIVISION BHUBANESWAR,No ,No,1.0,ICICI BANK,15-May-2025 10:00 AM,23-May-2025 11:00 AM,15-May-2025 10:00 AM,22-May-2025 05:00 PM,15-May-2025 10:00 AM ,21-May-2025 05:00 PM ,15-May-2025 10:00 AM,22-May-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,PAPER COST EMD AND ALL OTHER DOCUMENTS AS PER DTCN,EE LI DIVISION BHUBANESWAR,EE LI DIVISION BHUBANESWAR,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2928894,ABUBAKAR SIDDIQU,22-May-2025 04:42 PM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2925682,AGRAWALLA POWER INFRASTRUCTURE,22-May-2025 10:51 AM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2928816,ALOK KUMAR SETHY,22-May-2025 04:02 PM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2927546,ASHOK PANI,21-May-2025 04:31 PM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2928538,HAREKRUSHNA ROUT,22-May-2025 01:19 PM,Accepted-AOC,Work order and agreement completed,02-Jan-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2928145,JITENDRA SARANGI,22-May-2025 09:49 AM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2923736,LOKANATH DASH,22-May-2025 02:47 PM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2925440,MS Shree Shyam and Co,21-May-2025 07:11 PM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2928640,PRATAP JENA,22-May-2025 03:51 PM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2928610,SAMBIT BISOYI,22-May-2025 01:40 PM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2927272,SHREE KISHAN ENTERPRISES,21-May-2025 06:23 PM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2927841,S.R CONSTRUCTIONS PROP-SUJATA RAY,21-May-2025 07:41 PM,Rejected-Technical,Rejected,02-Jan-2026 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
