S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,2869902.0,DIBYAJIBAN SAHOO,INR,"6,586,164.71",Technical,14 nos bidders,Binod Chandra Panda,03-Apr-2025 10:45 AM,technical_533076.pdf,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||KENDUJHAR SADAR Block,2025_PRKSB_111645_1,03 Keonjhar Sadar (KJR-2024-2025),Construction of Mini Stadium at Karanjiapada under Raikala GP,BDO Sadar,Internal,,Binod Chandra Panda,16-Jan-2026 07:41 PM,finsummary_533076.pdf (392.08 KB),BDO SADAR,Internal,14 NOS BIDDER PARTICIPATED,Binod Chandra Panda,03-Apr-2025 10:50 AM,03-Apr-2025 11:30 AM,techsummary_533076.pdf (338.14 KB),Finance,14 nos,Binod Chandra Panda,16-Jan-2026 07:38 PM,,BOQ Comparative Chart,16-Jan-2026,"INR 6,586,164.71",180.0,Binod Chandra Panda,16-Jan-2026 07:44 PM,bid.pdf (392.00 KB),1,2870895,BHABANI SHANKAR MAHANTA,27-Mar-2025 04:09 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:44 PM,AOC,13-Mar-2025 10:00 AM,28-Mar-2025 11:00 AM,13-Mar-2025 10:00 AM,27-Mar-2025 05:00 PM,13-Mar-2025 10:00 AM ,24-Mar-2025 05:00 PM ,13-Mar-2025 10:00 AM,27-Mar-2025 05:00 PM,03-Apr-2025 11:30 AM,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||KENDUJHAR SADAR Block,03 Keonjhar Sadar (KJR-2024-2025),2025_PRKSB_111645_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"81,058",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of Mini Stadium at Karanjiapada under Raikala GP,CIVIL WORK,Please refer Tender documents. ,NA ,"81,05,818",Civil Works - Others,NA ,Tender,120.0,180.0,KEONJHAR,758001.0,NA ,NA ,NA ,"OFFICE OF THE PANCHAYAT SAMITI SADAR BLOCK,KEONJHA",No ,No,1.0,TENDER NOTICE,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,"PAPER COST, EMD,PAN,GST,LICENSE, AFFIDAVIT AND OTHER AS PER DTCN","10,000",Nil,Nil,No,"OFFICE OF THE PANCHAYAT SAMITI SADAR BLOCK,KEONJHA","OFFICE OF THE PANCHAYAT SAMITI SADAR BLOCK,KEONJHA",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2869902,DIBYAJIBAN SAHOO,26-Mar-2025 08:51 PM,Accepted-AOC,qualified,16-Jan-2026 07:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NOTICE,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2870679,JYOSNAMAYEE BEHERA,27-Mar-2025 02:00 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2870670,LIPUN KUMAR BEHERA,27-Mar-2025 01:56 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2870760,MALAYA KUMAR MAHANTA,27-Mar-2025 02:27 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2863137,MITRABHANU NAIK,24-Mar-2025 07:58 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2870838,RISHANK CONSTRUCTION,27-Mar-2025 03:02 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2869777,SAMIR KUMAR SETHY,26-Mar-2025 07:39 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2869868,SANJAY KUMAR SETHI,27-Mar-2025 09:32 AM,Rejected-AOC,Dis qualified,16-Jan-2026 07:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2870956,Siba prasad Nayak,27-Mar-2025 04:40 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
