Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
06-Jan-2026,"INR 678,320.72",30.0,Nilamadhab Nag,19-Jan-2026 06:32 PM,77.pdf (335.00 KB),work order issued,1.0,3317236.0,LAXMI AGRAWAL,INR,"678,320.72",Municipal Bodies||Kuchinda NAC,2025_ORULB_123154_19,KCDA/NAC-6/2025-26,Const. of Drain from Gagan Sharma house to Bihari Pada Chowk in W.No-3,1,3316395,ANANTA NARAYAN BEHERA,19-Dec-2025 11:43 AM,Rejected-AOC,Rejected,19-Jan-2026 06:33 PM,Finance,ok,Nilamadhab Nag,22-Dec-2025 01:05 PM,finance_571588.pdf,BOQ Comparative Chart,Pradyut kumar Mohanty,Internal,"B K Sa,N Nag,M Suna",Nilamadhab Nag,31-Dec-2025 04:01 PM,finsummary_571588.pdf (923.50 KB),Pradyut Kumar Mohanty,Internal,"B K Sa,N nag, M Suna",Nilamadhab Nag,30-Dec-2025 04:42 PM,techsummary_571588.pdf (923.50 KB),AOC,1.0,ICICI BANK,Const. of Drain from Gagan Sharma house to Bihari Pada Chowk in W.No-3,Const. of Drain from Gagan Sharma house to Bihari Pada Chowk in W.No-3,As per DTCN ,NA ,"6,78,321",Civil Works - Others,NA ,Tender,90.0,30.0,Ward No-3 NAC Kuchinda,768222.0,NA ,NA ,NA ,Office of the NAC Kuchinda,No ,No,Municipal Bodies||Kuchinda NAC,KCDA/NAC-6/2025-26,2025_ORULB_123154_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer,"NAC KUCHINDA,AT/PO-KUCHINDA,DIST-SAMBALPUR",13-Dec-2025 10:00 AM,20-Dec-2025 10:00 AM,13-Dec-2025 10:00 AM,19-Dec-2025 06:30 PM,13-Dec-2025 10:00 AM ,19-Dec-2025 05:30 PM ,13-Dec-2025 10:00 AM,19-Dec-2025 06:30 PM,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,783",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,3310385,BINAPANI PATEL,18-Dec-2025 09:07 PM,Rejected-AOC,Rejected,19-Jan-2026 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3317953,BISHAL AGRAWAL,19-Dec-2025 05:45 PM,Rejected-AOC,Rejected,19-Jan-2026 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3315957,GOVIND MEHER,19-Dec-2025 04:56 PM,Rejected-AOC,Rejected,19-Jan-2026 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3312339,KULAMANI SAHANSIA,18-Dec-2025 10:27 AM,Rejected-AOC,Rejected,19-Jan-2026 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3317236,LAXMI AGRAWAL,19-Dec-2025 02:57 PM,Accepted-AOC,Awarded through lottery system,19-Jan-2026 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3317302,Sanjit Kumar Sharma,19-Dec-2025 02:58 PM,Rejected-AOC,Rejected,19-Jan-2026 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3316340,SHAKTI SWARUP MOHANTY,19-Dec-2025 11:45 AM,Rejected-AOC,Rejected,19-Jan-2026 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3315875,SUJIT KUMAR AGARWAL,19-Dec-2025 08:49 AM,Rejected-AOC,Rejected,19-Jan-2026 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3315931,Sushanta Kumar Dwibedy,19-Dec-2025 06:58 AM,Rejected-AOC,Rejected,19-Jan-2026 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
