Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage
Rourkela Municipal Corporation,MC/RMC/39/2025,2025_RMC_119937_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Renovation of drain from ZZ 12 to GGG 08 at Civil Township under RMC, Rourkela",Civil Works,Please refer Tender documents. ,NA ,"17,82,000",Civil Works - Others,NA ,Tender,90.0,60.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"6,000",Nil,Nil,No,"17,820",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, GST, EMD, Paper Cost and other documents as per DTCN",23-Oct-2025 03:00 PM,06-Nov-2025 11:00 AM,23-Oct-2025 03:00 PM,04-Nov-2025 05:00 PM,NA ,NA ,23-Oct-2025 03:00 PM,04-Nov-2025 05:00 PM,1.0,ICICI BANK,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",AOC,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,03-Jan-2026 04:33 PM,techsummary_557684.pdf (8242.84 KB),1,3181027,ABINASH NAYAK,04-Nov-2025 02:34 PM,Rejected-Technical,By The Tender Committee,03-Jan-2026 04:33 PM,Finance,EMD refund,Manas Biswal,03-Jan-2026 01:30 PM,finance_557684.pdf,BOQ Comparative Chart,1.0,3181165.0,GAYADHAR SWAIN,INR,"1,515,049.81",30-Jan-2026,"INR 1,515,049.81",60.0,Birendra Nanda,30-Jan-2026 12:25 PM,BID39.pdf (8243.00 KB),Awarded to Gayadhar Swain,Rourkela Municipal Corporation,2025_RMC_119937_7,MC/RMC/39/2025,"Renovation of drain from ZZ 12 to GGG 08 at Civil Township under RMC, Rourkela",Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,30-Jan-2026 11:50 AM,finsummary_557684.pdf (8242.85 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,2,3160534,ARADHYA CONSTRUCTION,27-Oct-2025 05:37 PM,Rejected-Technical,By The Tender Committee,03-Jan-2026 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3164275,ARATI TRIPATHY,28-Oct-2025 05:35 PM,Rejected-Technical,By The Tender Committee,03-Jan-2026 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3176907,BABU CHANDAN KUMAR SAHOO,03-Nov-2025 12:32 PM,Rejected-Technical,By The Tender Committee,03-Jan-2026 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3169467,BABULI CHANDRA PAIKARAY,31-Oct-2025 12:22 PM,Rejected-Technical,By The Tender Committee,03-Jan-2026 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3175772,BRAJA MOHAN BEURA,03-Nov-2025 11:04 AM,Rejected-Technical,By The Tender Committee,03-Jan-2026 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3181289,BUILDSCAPE,04-Nov-2025 03:51 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,03-Jan-2026 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3181165,GAYADHAR SWAIN,04-Nov-2025 03:15 PM,Accepted-AOC,By The Tender Committee,30-Jan-2026 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3175718,MANORANJAN JENA,03-Nov-2025 10:26 AM,Rejected-Technical,By The Tender Committee,03-Jan-2026 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3178873,MITRA SEKHAR PARIDA,03-Nov-2025 07:17 PM,Rejected-Technical,By The Tender Committee,03-Jan-2026 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
