Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Bank Name,Tender Stage
Finance,Tender Opening,Nibedita Tadingi,19-Jan-2026 06:52 PM,finance_555718.pdf,BOQ Comparative Chart,1.0,3136545.0,CHANDRA HARIJAN,INR,"431,837",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2025_CERWI_119391_21,EERWNGP Online 07 2025 26,S/R to Dahadamal jn. to Dahadamal road such as Pothole repair and Berm filling (Ch-0/000 to 2/134 Km) in Papadahandi Block for the year 2025-26,1,3137173,AMLAN JYOTI MADALA,20-Oct-2025 12:37 AM,Rejected-AOC,Disqualified in transparent lottery,20-Jan-2026 12:13 PM,20-Jan-2026,"INR 507,983",60.0,Jay Prakash Soren,20-Jan-2026 12:13 PM,WO21.pdf (226.00 KB),Executive Engineer,Internal,"Estimator,DAO-I,EE",Jay Prakash Soren,20-Jan-2026 11:56 AM,techsummary_555718.pdf (814.76 KB),Executive Engineer,Internal,"Estimator, DAO-I,EE",Jay Prakash Soren,20-Jan-2026 12:05 PM,finsummary_555718.pdf (814.76 KB),AOC,"5,080",Yes,percentage,1.0%,Nil,Nil,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR","4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN Affidavit and as per DTCN,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 07 2025 26,2025_CERWI_119391_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Dahadamal jn. to Dahadamal road such as Pothole repair and Berm filling (Ch-0/000 to 2/134 Km) in Papadahandi Block for the year 2025-26,S/R to Dahadamal jn. to Dahadamal road such as Pothole repair and Berm filling (Ch-0/000 to 2/134 Km) in Papadahandi Block for the year 2025-26,Please refer to tender documents ,NA ,"5,07,983",Civil Works - Roads,NA ,Tender,90.0,60.0,Papadahandi,764071.0,NA ,NA ,NA ,"RURAL WORKS DIVISION-I, NAWARANGPUR",No ,No,1.0,Modification of class of Contractor,Other,,14-Oct-2025 10:00 AM,22-Oct-2025 11:00 AM,14-Oct-2025 10:00 AM,20-Oct-2025 03:00 PM,14-Oct-2025 10:00 AM ,20-Oct-2025 03:00 PM ,14-Oct-2025 10:00 AM,20-Oct-2025 03:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3137549,ASHOK KUMAR CHOUDHURY,20-Oct-2025 02:29 PM,Rejected-AOC,Disqualified in transparent lottery,20-Jan-2026 12:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,3133156,BHAGABAN BEHERA,19-Oct-2025 11:32 AM,Rejected-AOC,Disqualified in transparent lottery,20-Jan-2026 12:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3128217,BIJAYA KUMAR BISHOYI,14-Oct-2025 07:04 PM,Rejected-AOC,Disqualified in transparent lottery,20-Jan-2026 12:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3131493,Brajendra Naik,19-Oct-2025 12:13 PM,Rejected-AOC,Disqualified in transparent lottery,20-Jan-2026 12:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3136545,CHANDRA HARIJAN,19-Oct-2025 10:09 PM,Accepted-AOC,Awarded of Contract,20-Jan-2026 12:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3138326,GOPALCHEETY PAVANI,20-Oct-2025 02:52 PM,Rejected-AOC,Disqualified in transparent lottery,20-Jan-2026 12:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3134338,GOURI PRASAD PATRO,19-Oct-2025 01:26 PM,Rejected-AOC,Disqualified in transparent lottery,20-Jan-2026 12:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3136904,JITENDRA KUMAR JENA,19-Oct-2025 09:46 PM,Rejected-AOC,Disqualified in transparent lottery,20-Jan-2026 12:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3137296,KISHORE CHANDRA HARIJAN,20-Oct-2025 03:06 AM,Rejected-AOC,Disqualified in transparent lottery,20-Jan-2026 12:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
