Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Stage
Finance,All documents download and go to technical evaluation,Sujata Behera,07-Dec-2025 06:57 PM,finance_557565.pdf,BOQ Comparative Chart,05-Jan-2026,"INR 1,643,060.06",30.0,Amir Kumar Sethy,05-Jan-2026 11:30 AM,119918_11AOC.pdf (420.00 KB),1.0,3170762.0,Gouraranjan Das,INR,"1,643,060.06",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119918_11,E-TCN No.06 of 2025-26,S/R to L022-Soro To Ulasahadagapur Road for the year 2025-26.,1,3175238,AMULYA KUMAR MOHANTY,02-Nov-2025 07:40 PM,Rejected-AOC,Rejected,05-Jan-2026 11:30 AM,"superintending Engineer,R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,05-Jan-2026 11:18 AM,techsummary_557565.pdf (197.32 KB),"superintending Engineer,R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,05-Jan-2026 11:24 AM,finsummary_557565.pdf (198.23 KB),AOC,"SERW Division-II, Balasore","O/o the SERW Division-II, Balasore","6,000",0.0,Nil,Nil,No,"19,328",Yes,percentage,1.0%,Nil,Nil,1.0,Add DTCN and Corrigendum,Other,,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,E-TCN No.06 of 2025-26,2025_CERWI_119918_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Oct-2025 05:00 PM,04-Nov-2025 11:00 AM,24-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,24-Oct-2025 05:00 PM ,03-Nov-2025 03:00 PM ,24-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"P Cost, EMD Online, RC, PAN, Valid GSTIN, Affidavit, No relation certificate and other as per DTCN",S/R to L022-Soro To Ulasahadagapur Road for the year 2025-26.,S/R to L022-Soro To Ulasahadagapur Road for the year 2025-26.,Please refer Tender documents. ,NA ,"19,32,784",Civil Works - Roads,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"O/o the SERW Division-II, Balasore",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,2,3171259,ARUN KUMAR NAYAK,01-Nov-2025 01:45 AM,Rejected-AOC,Rejected,05-Jan-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,3,3174777,BINAYA KUMAR RANA,02-Nov-2025 05:09 PM,Rejected-AOC,Rejected,05-Jan-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3174437,BINODINI PANDA,03-Nov-2025 11:44 AM,Rejected-AOC,Rejected,05-Jan-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3172321,DURGAMADHAB MOHAPATRA,02-Nov-2025 04:41 PM,Rejected-AOC,Rejected,05-Jan-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3170762,Gouraranjan Das,31-Oct-2025 08:12 PM,Accepted-AOC,Awarded through lottery winner vide Agrt No. 104 P1 of 2025-26,05-Jan-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3171834,MAYADHAR BEHERA,01-Nov-2025 12:43 PM,Rejected-AOC,Rejected,05-Jan-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3168840,NARENDRA GHADEI,30-Oct-2025 08:59 PM,Rejected-AOC,Rejected,05-Jan-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3177523,NILAMADHABA BEHERA,03-Nov-2025 02:04 PM,Rejected-AOC,Rejected,05-Jan-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3170338,PRAFULLA KUMAR MALIK,01-Nov-2025 10:24 PM,Rejected-AOC,Rejected,05-Jan-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
