S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,BG - Bank Guarantee,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Sambalpur||RAIRAKHOL Block,P.S/RAIR/SBP/DEV/01/2025-26,2025_PRRAI_117306_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Offline,No,No,No,"24,415",Yes,percentage,1.0%,Block Development Officer,Rairakhol,"Construction of 50 MT Godown and Office Building at Tribanpur PACS, Rairakhol Block","Construction of 50 MT Godown and Office Building at Tribanpur PACS, Rairakhol Block",Please refer Tender documents. ,NA ,"24,41,483",Civil Works - Buildings,NA ,Tender,90.0,NA ,Tribanpur,768106.0,NA ,NA ,NA ,"Panchayat Samiti, Rairakhol",No ,No,25-Aug-2025 12:00 PM,10-Oct-2025 11:00 AM,25-Aug-2025 12:00 PM,22-Sep-2025 05:00 PM,NA ,NA ,25-Aug-2025 12:00 PM,22-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,Block Development Officer,"Panchayat Samiti, Rairakhol",1.0,Date corrigendum,Date,,"6,000",Block Development Officer,Rairakhol,No,AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Sambalpur||RAIRAKHOL Block,2025_PRRAI_117306_1,P.S/RAIR/SBP/DEV/01/2025-26,"Construction of 50 MT Godown and Office Building at Tribanpur PACS, Rairakhol Block",Rajendra Narayan Senapati,Internal,"Supriya Biswal, khirabdhi Tanaya Padhy, Sanghamitra Seth, Kodanda Pradhan, Tikun Kishan, Indramani Munda, Sudhanshu Sekhar Singh, Debabrata Behera",Rajendra Narayan Senapati,08-Jan-2026 06:41 PM,finsummary_550398.pdf (86.64 KB),Finance,All the 15 nos of BID Admitted,Rajendra Narayan Senapati,17-Oct-2025 01:54 PM,finance_550398.pdf,BOQ Comparative Chart,1.0,3082357.0,SHREEMA PRADHAN,INR,"2,439,041",1,3092673,ANANDA MAJHI,21-Sep-2025 06:11 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:09 PM,08-Jan-2026,"INR 2,439,041",120.0,Rajendra Narayan Senapati,08-Jan-2026 07:09 PM,PACSTRIBANPUR.pdf (153.00 KB),Shreema Pradhan selected through Transparent Lottery Process and done Agreement on Dtd.16-12-2025,Rajendra Narayan Senapati,Internal,"BDO, Addl EO (Tech), Aee, AE, BFO, JE, CP, SO, SRA, JRA",Rajendra Narayan Senapati,23-Nov-2025 07:24 AM,techsummary_550398.pdf (883.76 KB),AOC
2.0,TD- Term Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3095107,ANIL KUMAR BEHERA,22-Sep-2025 04:21 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3085778,ARIN PRADHAN,19-Sep-2025 02:14 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3091645,ASHOK KUMAR SAHOO,21-Sep-2025 12:24 AM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3094249,BINAYAKA SAHOO,22-Sep-2025 12:44 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3082207,BISWARANJAN PRADHAN,15-Sep-2025 06:46 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3087890,DEBI PRASAD MOHARANA,19-Sep-2025 12:34 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3091649,JANANI PRADHAN,21-Sep-2025 11:50 AM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3089108,NATABARA MEHER,20-Sep-2025 01:54 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3085618,PRADEEP KUMAR PRADHAN,17-Sep-2025 09:18 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:09 PM,,,,,,,,,,,,,,AOC
