Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Total 11 Nos bidder are participated in the online tender,Soumya Ranjan Dwibedi,11-Sep-2025 04:32 PM,,BOQ Comparative Chart,1.0,3070281.0,SURESH KUMAR PRADHAN,INR,"610,560",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2025_EICCL_117518_1,TCN No 25 of 2025-26,Construction of Transgender Toilet in Premises of Court Complex (Civil Judge-cum-JMFC) at Konark for the year 2025-26,Er. Soumya Ranjan Dwibedi,Internal,Sri Abadhuta Prasad Das Smt Smita Pal,Soumya Ranjan Dwibedi,02-Jan-2026 11:30 AM,finsummary_550865.pdf (598.33 KB),Er. Soumya Ranjan Dwibedi,Internal,Sri Abadhuta Prasad Das Smt Smita Pal,Soumya Ranjan Dwibedi,11-Oct-2025 06:35 PM,techsummary_550865.pdf (534.55 KB),1,3065589,DEBENDRANATH MAHARI,08-Sep-2025 07:42 PM,Rejected-AOC,Rejected,02-Jan-2026 11:42 AM,02-Jan-2026,"INR 610,560",30.0,Soumya Ranjan Dwibedi,02-Jan-2026 11:41 AM,AOC.pdf (1539.00 KB),The bidder has won the transparency lottery among the qualified bidder so that the work has been awarded to him,AOC,Er.Soumya Ranjan Dwibedi,O/o the S E R and B Division Puri,01-Sep-2025 04:00 PM,11-Sep-2025 11:00 AM,01-Sep-2025 04:00 PM,10-Sep-2025 05:00 PM,NA ,NA ,01-Sep-2025 04:00 PM,10-Sep-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,EMD,COST OF TENDER PAPER,AFFIDAVIT,ALL SCHEDULE AND OTHER DOCUMENTS AS PER APPROVED DTCN",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN No 25 of 2025-26,2025_EICCL_117518_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,"7,182",Yes,percentage,1.0%,Nil,Nil,Construction of Transgender Toilet in Premises of Court Complex (Civil Judge-cum-JMFC) at Konark for the year 2025-26,Construction of Transgender Toilet in Premises of Court Complex (Civil Judge-cum-JMFC) at Konark for the year 2025-26,Please refer Tender documents. ,NA ,"7,18,221",Civil Works - Buildings,NA ,Tender,90.0,30.0,Puri,752001.0,NA ,NA ,NA ,O/o the S E R and B Division Puri,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3063162,DEEPAK KUMAR MOHANTY,10-Sep-2025 01:04 PM,Rejected-AOC,Rejected,02-Jan-2026 11:42 AM,,,,,,,,AOC,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3074018,DIPAK KUMAR SAHOO,10-Sep-2025 02:07 PM,Rejected-AOC,Rejected,02-Jan-2026 11:42 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3060035,GAGAN BIHARI PATRA,09-Sep-2025 06:41 PM,Rejected-Technical,The bidder has not furnished the No Relationship Certificate in complete shape as per Clause No-12 of DTCN,11-Oct-2025 06:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3071766,PRATAP CHANDRA SWAIN,09-Sep-2025 01:57 PM,Rejected-AOC,Rejected,02-Jan-2026 11:42 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3063942,RANJAN KUMAR SASMAL,05-Sep-2025 10:35 PM,Rejected-AOC,Rejected,02-Jan-2026 11:42 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3068373,RANJITA BISWAL,09-Sep-2025 04:03 PM,Rejected-AOC,Rejected,02-Jan-2026 11:42 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3070239,SAMBIT MALLICK,08-Sep-2025 08:20 PM,Rejected-AOC,Rejected,02-Jan-2026 11:42 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3070281,SURESH KUMAR PRADHAN,08-Sep-2025 08:20 PM,Accepted-AOC,The bidder has won the transparency lottery among the qualified bidder so that the work has been awarded to him,02-Jan-2026 11:42 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3063798,TOFAN PANDIA,10-Sep-2025 10:17 AM,Rejected-AOC,Rejected,02-Jan-2026 11:42 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
